Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d                 
2005      1         12        0.03                0.37                15.16               
2005      1         13        0.03                0.37                14.09               
2005      2         10        0.03                0.42                10.72               
2005      3         10        0.02                0.34                12.24               
2005      4         7         0.01                0.35                15.24               
2005      5         5         0.01                0.33                9.58                
2005      6         9         0.01                0.28                16.28               
2005      7         7         0.05                0.61                64.03               
2005      8         4         0.03                0.38                51.81               
2005      9         8         0.04                0.31                33.76               
2005      10        6         0.02                0.35                35.78               
2005      11        10        0.01                0.46                17.89               
2005      12        8         0.01                0.73                113.63              
2006      1         11        0.01                0.41                10.25               
2006      2         8         0.01                0.45                2.37                
2006      3         8         0.01                0.34                0.96                
2006      4         5         0.004               0.56                14.25               
2006      5         3         0.03                0.28                53.23               
2006      6         7         0.03                0.58                278.41              
2006      7         5         0.01                0.35                56.17               
2006      9         6         0.01                0.27                75.36               
2006      10        4         0.01                0.31                28.73               
2006      11        15        0.01                0.29                28.86               
2006      12        6         0.01                0.18                9.47                
2007      1         10        0.03                0.13                2.39                
2007      2         7         0.005               0.22                0.11                
2007      3         21        0.009               0.22                5.46                
2007      4         18        0.009               0.3                 6.37                
2007      5         15        0.02                0.36                7.18                
2007      6         13        0.01                0.24                28.97               
2007      7         18        0.01                0.51                804.63              
2007      8         14        0.02                0.33                103.02              
2007      9         12        0.04                0.26                41.32               
2007      10        16        0.008               0.26                35.53               
2007      11        13        0.006               0.43                46.76               
2007      12        12        0.02                0.32                22.77               
2008      1         15        0.03                0.34                10.98               
2008      2         12        0.02                0.3                 28.92               
2008      3         17        0.05                0.34                11.22               
2008      4         16        0.02                0.29                7.17                
2008      5         14        0.01                0.25                10.62               
2008      6         11        0.01                0.14                14.77               
2008      7         16        0.01                0.28                13.03               
2008      8         20        0.01                0.42                101.08              
2008      9         18        0.01                0.35                24.38               
2008      10        15        0.01                0.28                12.92               
2008      11        19        0.009               0.28                6.08                
2008      12        17        0.005               0.46                163.48              
2009      1         14        0.003               0.51                8.53                
2009      2         18        0.01                0.45                7.04                
2009      3         18        0.007               0.38                1.73                
2009      4         22        0.003               0.36                7.22                
2009      5         20        0.006               0.28                5.01                
2009      6         17        0.01                0.3                 34.09               
2009      7         29        0.022               0.22                32.35               
2009      8         26        0.005               0.16                13.94               
2009      9         23        0.009               0.14                32.96               
2009      10        21        0.039               0.27                58.33               
2009      11        17        0.002               0.18                7.28                
2009      12        16        0.014               0.31                3.76                
2010      2         16        0.034               0.23                74.42               
2010      3         17        0.002               0.24                6.01                
2010      5         19        0.004               0.26                10.61               
2010      6         15        0.081               0.68                93.88               
2010      7         19        0.017               0.28                32.01               
2010      8         16        0.094               0.49                180.98              
2010      9         22        0.011               0.33                16.01               
2010      10        20        0.01                0.33                53.9                
2010      11        17        0.019               0.4                 11.45               
2010      12        14        0.022               0.33                20.89               
2011      1         18        0.014               0.54                2.97                
2011      2         15        0.013               0.39                4.97                
2011      3         15        0.013               0.42                3.33                
2011      4         20        0.024               0.52                68.26               
2011      5         25        0.017               0.6                 93.77               
2011      6         22        0.036               0.44                287.1               
2011      7         19        0.028               0.37                85.82               
2011      8         16        0.022               0.4                 184.33              
2011      9         13        0.028               0.38                122.13              
2011      10        18        0.03                0.39                38.12               
2011      11        15        0.029               0.5                 56.06               
2011      12        14        0.039               0.5                 26.32               
2012      1         17        0.024               0.42                19.42               
2012      2         21        0.013               0.36                21.1                
2012      3         14        0.02                0.83                466.4               
2012      4         17        0.031               0.49                37.68               
2012      5         22        0.025               0.48                85.93               
2012      7         25        0.024               0.31                71.68               
2012      8         21        0.035               0.86                2021.08             
2012      9         18        0.021               0.29                94.0                
2012      10        18        0.023               0.31                60.26               
2012      11        22        0.021               0.36                78.02               
2012      12        18        0.029               0.5                 25.1                
2013      1         15        0.063               0.38                10.65               
2013      2         12        0.008               0.31                10.54               
2013      3         14        0.009               0.48                11.66               
2013      4         16        0.011               0.29                10.26               
2013      5         21        0.026               0.24                20.85               
2013      6         18        0.024               0.76                5649.97             
2013      7         16        0.023               0.35                109.15              
2013      8         21        0.024               0.29                62.34               
2013      9         19        0.018               0.42                521.41              
2013      10        15        0.021               0.35                68.06               
2013      11        19        0.014               0.55                112.21              
2013      12        17        0.012               0.55                59.45               
2014      1         21        0.006               0.51                10.44               
2014      2         18        0.016               0.37                7.36                
2014      3         18        0.011               0.37                10.52               
2014      4         8         0.007               0.47                113.6               
2014      5         13        0.016               0.62                71.66               
2014      6         18        0.037               0.82                2017.98             
2014      7         10        0.017               0.44                435.37              
2014      7         10        0.017               0.44                435.37              
2014      8         12        0.02                0.34                138.41              
2014      9         9         0.009               0.53                761.72              
2014      10        14        0.028               0.56                600.21              
2014      11        11        0.021               0.43                47.79               
2014      12        9         0.004               0.83                1678.5              
2015      1         13        0.016               0.01                104.58              
2015      1         13        0.017               0.77                104.58              
2015      2         10        0.009               0.79                111.99              
2015      3         17        0.021               0.57                36.99               
2015      4         21        0.003               0.61                1037.22             
2015      5         26        0.01                0.4                 144.46              
2015      6         23        0.022               0.32                236.29              
2015      7         21        0.016               0.5                 1541.22             
2015      8         18        0.016               0.36                180.16              
2015      9         9         0.014               0.28                356.17              
2015      11        17        0.019               0.4                 164.9               
2015      12        15        0.021               0.32                42.87               
2016      1         19        0.01                0.34                25.76               
2016      2         16        0.021               0.48                38.01               
2016      3         22        0.016               0.34                36.94               
2016      4         19        0.025               0.26                27.22               
2016      5         17        0.02                0.25                26.22               
2016      6         21        0.02                1.6                 1337.22             
2016      7         19        0.015               0.46                135.63              
2016      8         16        0.018               0.38                71.88               
2016      9         20        0.009               0.46                197.63              
2016      10        20        0.025               0.36                125.76              
2016      11        16        0.018               0.45                102.06              
2016      12        13        0.016               0.34                36.65               
2017      1         17        0.007               0.44                18.27               
2017      2         21        0.011               0.28                14.23               
2017      3         22        0.013               0.29                12.0                
2017      4         26        0.014               0.26                20.94               
2017      5         24        0.014               0.26                57.5                
2017      6         20        0.009               0.31                27.94               
2017      7         18        0.016               0.38                23.35               
2017      8         15        0.01                0.27                32.54               
2017      9         25        0.009               0.27                25.17               
2017      10        24        0.013               0.32                25.64               
2017      11        28        0.026               0.27                10.92               
2018      1         17        0.017               0.32                32.3                
2018      2         21        0.012               0.26                7.67                
2018      3         20        0.008               0.29                3.83                
2018      4         17        0.003               0.27                3.74                
2018      5         30        0.01                0.22                7.77                
2018      6         19        0.013               0.23                34.08               
2018      7         17        0.011               0.3                 58.17               
2018      8         14        0.01                0.24                8.66                
2018      9         18        0.006               0.2                 10.09               
2018      10        23        0.012               0.22                15.91               
2018      11        20        0.011               0.21                5.46                
2018      12        19        0.009               0.38                65.97               
