Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         4         0.01                0.74                32.49               
2005      2         1         0.02                0.85                26.16               
2005      3         16        0.005               0.72                18.88               
2005      4         13        0.02                0.62                0.79                
2005      5         4         0.02                0.64                0.07                
2005      6         14        0.01                0.59                2.05                
2005      7         4         0.02                0.59                1.15                
2005      8         2         0.01                0.55                1.89                
2005      9         6         0.007               0.56                1.22                
2005      10        5         0.008               0.62                0.9                 
2005      11        3         0.41                0.6                 1.99                
2005      12        6         0.003               0.66                0.27                
2006      2         2         0.003               1.0                 0.0                 
2006      3         2         0.01                0.71                0.0                 
2006      4         4         0.01                1.3                 0.0                 
2006      5         2         0.05                0.59                0.0                 
2006      6         15        0.11                0.88                0.0                 
2006      7         5         0.12                0.97                0.0                 
2006      8         1         0.15                1.3                 0.0                 
2006      9         4         0.12                0.68                0.0                 
2006      10        3         0.01                0.73                0.0                 
2006      11        6         0.05                1.0                 0.0                 
2006      12        6         0.009               0.42                0.0                 
2007      1         3         0.01                1.5                 0.0                 
2007      2         8         0.06                0.58                0.0                 
2007      3         1         0.01                0.8                 0.0                 
2007      4         3         0.008               0.71                0.0                 
2007      5         9         0.02                1.5                 0.0                 
2007      6         5         0.03                0.7                 1.61                
2007      7         2         0.02                1.2                 0.43                
2007      8         2         0.009               0.85                0.6                 
2007      9         5         0.003               0.85                0.08                
2007      10        2         0.01                0.82                0.0                 
2007      11        12        0.009               1.1                 0.46                
2007      12        3         0.006               0.88                0.0                 
2008      1         2         0.01                1.1                 0.0                 
2008      2         4         0.006               1.2                 0.0                 
2008      3         3         0.01                1.5                 0.0                 
2008      4         2         0.003               1.2                 0.0                 
2008      5         6         0.16                1.8                 0.0                 
2008      7         29        0.45                2.0                 0.0                 
2008      8         18        0.37                1.3                 0.0                 
2008      9         8         0.35                1.9                 0.0                 
2008      10        2         0.28                1.5                 0.08                
2008      11        3         0.23                2.1                 0.0                 
2008      12        1         0.06                0.97                0.0                 
2009      1         5         0.04                1.3                 0.0                 
2009      2         2         0.009               1.8                 0.0                 
2009      3         2         0.008               1.9                 0.0                 
2009      4         1         0.003               1.8                 0.0                 
2009      5         4         0.02                2.5                 0.0                 
2009      6         1         0.12                2.9                 0.0                 
2009      7         6         0.192               2.17                0.0                 
2009      8         3         0.195               1.05                1.86                
2009      9         1         0.084               0.98                2.09                
2009      10        1         0.133               1.13                416.83              
2009      11        3         0.091               1.08                17.9                
2010      1         4         0.016               1.05                1.26                
2010      2         2         0.002               1.37                0.0                 
2010      3         1         0.002               1.09                0.0                 
2010      4         7         0.002               0.53                0.0                 
2010      5         4         0.009               1.48                0.0                 
2010      6         3         0.082               1.63                0.0                 
2010      7         6         0.18                1.5                 0.0                 
2010      8         4         0.052               1.2                 1.23                
2010      9         1         0.24                1.6                 1139.44             
2010      10        4         0.14                1.8                 10.7                
2010      11        3         0.004               1.9                 13.83               
2010      12        1         0.036               1.4                 142.39              
2011      1         4         0.014               2.5                 33.9                
2011      2         1         0.074               2.3                 448.28              
2011      3         2         0.084               1.6                 559.15              
2011      4         4         0.025               2.0                 22.7                
2011      5         3         0.046               1.5                 15.03               
2011      6         2         0.14                1.2                 151.47              
2011      7         5         0.12                1.3                 127.31              
2011      8         3         0.13                0.96                485.47              
2011      9         7         0.12                1.5                 9.39                
2011      10        6         0.004               1.5                 21.1                
2011      11        1         0.004               1.1                 49.85               
2011      12        1         0.01                1.3                 58.48               
2012      1         9         0.042               1.8                 8.02                
2012      2         2         0.003               1.8                 0.0                 
2012      3         7         0.009               2.0                 1.1                 
2012      4         4         0.012               1.2                 70.32               
2012      5         2         0.003               1.0                 10.61               
2012      6         6         0.049               0.91                21.0                
2012      7         4         0.01                1.1                 113.72              
2012      8         2         0.086               0.83                215.44              
2012      9         4         0.048               0.94                158.44              
2012      10        1         0.041               1.1                 47.14               
2012      11        7         0.003               1.1                 4.45                
2012      12        3         0.006               1.2                 105.3               
2013      1         2         0.003               1.5                 0.1                 
2013      2         4         0.008               1.5                 53.25               
2013      3         12        0.009               0.96                65.24               
2013      4         2         0.033               0.93                22.75               
2013      5         1         0.03                0.85                18.82               
2013      6         4         0.054               1.1                 30.55               
2013      7         2         0.051               1.7                 35.46               
2013      8         5         0.003               0.01                39.04               
2013      9         4         0.011               1.2                 53.5                
2013      10        1         0.04                1.3                 106.49              
2013      11        6         0.037               1.6                 16.93               
2013      12        4         0.15                1.6                 20.3                
2014      1         2         0.024               1.0                 39.25               
2014      2         4         0.006               1.3                 18.25               
2014      3         6         0.01                1.4                 46.05               
2014      4         2         0.006               1.1                 0.92                
2014      5         1         0.034               1.5                 48.73               
2014      6         3         0.067               1.0                 32.78               
2014      7         2         0.074               0.74                120.44              
2014      8         5         0.063               0.87                44.23               
2014      9         3         0.067               0.79                28.47               
