Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         17        0.01                135.08              
2005      2         21        0.007               143.82              
2005      3         30        0.01                100.5               
2005      4         12        0.006               126.6               
2005      5         17        0.007               72.89               
2005      6         28        0.009               104.14              
2005      7         12        0.02                140.59              
2005      8         9         0.009               172.46              
2005      9         14        0.02                390.24              
2005      10        11        0.008               275.97              
2005      11        2         0.005               120.41              
2005      12        1         0.01                245.05              
2006      2         14        0.01                86.8                
2006      3         15        0.005               76.89               
2006      4         26        0.008               163.84              
2006      5         9         0.01                160.3               
2006      6         14        0.005               108.03              
2006      7         25        0.005               136.56              
2006      8         15        0.005               119.75              
2006      9         14        0.008               170.48              
2006      10        24        0.01                80.46               
2006      11        28        0.007               74.16               
2006      12        14        0.009               48.01               
2007      1         16        0.01                44.33               
2007      2         20        0.009               50.1                
2007      3         14        0.01                37.28               
2007      4         11        0.01                47.69               
2007      5         15        0.04                42.65               
2007      6         26        0.008               123.98              
2007      7         10        0.02                806.43              
2007      8         8         0.02                273.15              
2007      9         19        0.02                338.04              
2007      10        10        0.005               154.55              
2007      11        13        0.005               164.96              
2007      12        6         0.006               89.36               
2008      1         9         0.01                57.87               
2008      2         20        0.01                71.91               
2008      3         12        0.005               55.43               
2008      4         28        0.005               74.44               
2008      5         7         0.005               70.66               
2008      6         17        0.008               110.82              
2008      7         22        0.02                195.16              
2008      8         25        0.007               192.76              
2008      9         18        0.007               209.3               
2008      10        16        0.01                150.14              
2008      11        12        0.01                101.54              
2008      12        10        0.01                180.8               
2009      1         14        0.007               92.63               
2009      2         18        0.01                57.52               
2009      3         19        0.02                79.62               
2009      4         22        0.006               49.82               
2009      5         21        0.005               67.98               
2009      6         17        0.005               88.79               
2009      7         29        0.005               108.04              
2009      8         19        0.005               145.57              
2009      9         16        0.008               161.99              
2009      10        20        0.005               370.43              
2009      11        10        0.024               99.06               
2009      12        8         0.005               87.71               
2010      1         19        0.005               359.01              
2010      2         17        0.013               208.16              
2010      3         10        0.008               111.05              
2010      4         20        0.009               58.81               
2010      5         18        0.007               111.23              
2010      6         16        0.005               153.93              
2010      7         21        0.005               131.57              
2010      8         18        0.005               301.07              
2010      9         23        0.013               225.32              
2010      10        20        0.024               360.74              
2010      11        17        0.012               189.55              
2010      12        15        0.008               165.42              
2011      1         19        0.014               109.86              
2011      2         16        0.005               106.31              
2011      3         16        0.013               132.9               
2011      4         20        0.005               206.41              
2011      5         18        0.011               321.77              
2011      6         15        0.007               298.17              
2011      7         20        0.016               924.72              
2011      8         17        0.009               373.54              
2011      9         21        0.034               522.52              
2011      10        26        0.016               314.34              
2011      11        16        0.019               352.75              
2011      12        21        0.005               246.94              
2012      1         18        0.006               158.78              
2012      2         22        0.01                118.08              
2012      3         21        0.01                222.43              
2012      4         19        0.006               141.47              
2012      5         16        0.015               476.64              
2012      6         20        0.008               400.92              
2012      7         18        0.008               303.78              
2012      8         15        0.008               332.43              
2012      9         26        0.01                348.11              
2012      10        16        0.01                426.44              
2012      11        21        0.008               170.84              
2012      12        12        0.01                136.47              
2013      1         21        0.016               81.65               
2013      2         19        0.014               60.59               
2013      3         21        0.011               65.04               
2013      4         17        0.01                91.0                
2013      5         22        0.014               196.47              
2013      6         18        0.036               1396.1              
2013      7         18        0.012               126.7               
2013      8         21        0.016               274.27              
2013      9         25        0.012               174.51              
2013      10        22        0.009               177.56              
2013      11        27        0.012               291.38              
2013      12        17        0.013               179.24              
2014      1         22        0.012               92.25               
2014      2         25        0.01                78.18               
2014      3         20        0.011               74.57               
2014      4         15        0.021               201.92              
2014      5         21        0.005               117.69              
2014      6         17        0.022               264.92              
2014      7         22        0.008               275.58              
2014      8         19        0.069               832.78              
2014      9         17        0.009               231.28              
2014      10        21        0.005               221.16              
2014      11        20        0.009               151.49              
2014      12        16        0.009               147.04              
2015      1         21        0.014               119.16              
2015      2         17        0.013               105.74              
2015      3         17        0.008               89.28               
2015      4         21        0.015               160.73              
2015      5         21        0.013               262.38              
2015      6         16        0.005               160.58              
2015      7         21        0.007               246.47              
2015      8         18        0.058               304.97              
2015      9         23        0.025               341.08              
2015      10        27        0.009               125.09              
2015      11        17        0.009               106.26              
2015      12        15        0.01                86.35               
2016      1         20        0.009               70.89               
2016      2         16        0.01                74.24               
2016      3         22        0.01                136.44              
2016      4         19        0.006               76.97               
2016      5         17        0.005               84.17               
2016      6         15        0.018               152.87              
2016      7         19        0.006               226.07              
2016      8         18        0.007               156.53              
2016      9         28        0.011               300.89              
2016      10        19        0.039               414.49              
2016      11        23        0.008               323.57              
2016      12        13        0.008               147.52              
2017      1         17        0.013               78.78               
2017      2         23        0.009               96.96               
2017      3         21        0.012               55.46               
2017      4         20        0.007               71.52               
2017      5         25        0.008               77.87               
2017      6         22        0.006               89.87               
2017      7         20        0.095               265.86              
2017      8         23        0.016               170.29              
2017      9         26        0.038               492.21              
2017      10        17        0.009               185.21              
2017      11        21        0.014               123.16              
2017      12        12        0.01                207.64              
2018      1         9         0.012               86.06               
2018      2         20        0.011               58.62               
2018      3         20        0.01                58.8                
2018      4         17        0.008               106.2               
2018      5         23        0.074               524.46              
2018      6         19        0.049               318.96              
2018      7         17        0.007               126.93              
2018      8         22        0.012               197.64              
2018      9         11        0.009               256.78              
2018      10        23        0.011               144.05              
2018      11        20        0.014               74.15               
2018      12        18        0.011               122.49              
