Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.7873 	5.7333 
2015 	4 	1.0170 	3.0367 
2015 	5 	1.4840 	2.9000 
2015 	6 	1.0860 	5.5069 
2015 	7 	1.4640 	8.5161 
2015 	8 	0.5110 	4.2132 
2015 	9 	0.1070 	2.7314 
2015 	10 	0.0640 	3.2067 
2015 	11 	0.5650 	2.2867 
2015 	12 	0.7873 	2.3000 
2016 	3 	0.9089 	3.5077 
2016 	4 	0.5970 	3.3767 
2016 	5 	1.9040 	3.6645 
2016 	6 	0.4540 	3.1820 
2016 	7 	0.0980 	16.3814 
2016 	8 	0.0620 	7.0569 
2016 	9 	0.9970 	5.1190 
2016 	10 	1.3960 	3.8667 
2016 	11 	1.7630 	3.4667 
2016 	12 	0.9089 	2.7333 
2017 	3 	0.0706 	3.6769 
2017 	4 	0.0400 	3.0800 
2017 	5 	0.0800 	2.3467 
2017 	6 	0.1400 	7.3924 
2017 	7 	0.0300 	2.1555 
2017 	8 	0.0900 	17.1149 
2017 	9 	0.1200 	4.8248 
2017 	10 	0.0150 	3.7900 
2017 	11 	0.0500 	3.2200 
2017 	12 	0.0706 	2.9400 
2018 	3 	0.9100 	3.9923 
2018 	4 	5.1800 	3.0867 
2018 	5 	0.0700 	3.0868 
2018 	6 	0.3600 	3.1513 
2018 	7 	0.4400 	2.8625 
2018 	8 	0.1600 	2.3551 
2018 	9 	0.3200 	2.5686 
2018 	10 	0.1100 	2.3100 
2018 	11 	0.6400 	2.6400 
2018 	12 	0.9100 	2.7100 
2019 	1 	2.9200 	2.2100 
2019 	2 	0.7791 	1.9333 
2019 	3 	1.4600 	2.7846 
2019 	4 	0.1500 	2.5727 
2019 	5 	0.3500 	10.1421 
2019 	6 	1.9400 	7.0203 
2019 	7 	0.3600 	5.0157 
2019 	8 	0.3600 	18.6350 
2019 	9 	0.1400 	4.9890 
2019 	10 	0.0400 	3.7333 
2019 	11 	0.0500 	2.8833 
2019 	12 	0.8000 	2.6833 
2020 	1 	0.9800 	2.6167 
2020 	2 	0.9700 	2.6667 
2020 	3 	0.0300 	3.1846 
2020 	4 	0.0833 	3.0400 
2020 	5 	0.0712 	2.8145 
2020 	6 	0.0725 	3.3890 
2020 	7 	0.0689 	2.0738 
2020 	8 	0.0733 	10.0651 
2020 	9 	0.0712 	20.2076 
2020 	10 	0.0653 	3.8167 
2020 	11 	0.3081 	4.2367 
2020 	12 	0.0478 	2.3000 
			
			
			
			
			
			
			
			
			
