Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	1.1689 	12.5742 
2015 	4 	1.8750 	16.1333 
2015 	5 	0.6430 	116.9743 
2015 	6 	0.5870 	54.4633 
2015 	7 	0.5550 	57.9570 
2015 	8 	1.8150 	165.5152 
2015 	9 	0.5260 	21.8033 
2015 	10 	1.2850 	18.2219 
2015 	11 	2.0650 	15.5300 
2015 	12 	1.1689 	14.3406 
2016 	3 	0.9831 	12.6139 
2016 	4 	4.9200 	13.9452 
2016 	5 	0.1360 	229.0313 
2016 	6 	0.7430 	75.6267 
2016 	7 	0.3760 	125.9951 
2016 	8 	0.0770 	108.1014 
2016 	9 	0.0250 	77.9533 
2016 	10 	0.8380 	31.5742 
2016 	11 	0.7500 	26.9200 
2016 	12 	0.9831 	25.9290 
2017 	3 	0.6663 	35.3452 
2017 	4 	1.5600 	38.7000 
2017 	5 	0.2700 	142.0690 
2017 	6 	0.2550 	113.7846 
2017 	7 	0.2200 	62.8305 
2017 	8 	0.1100 	43.9931 
2017 	9 	0.4450 	35.1000 
2017 	10 	1.1950 	24.4839 
2017 	11 	1.2750 	21.3033 
2017 	12 	0.6663 	23.5742 
2018 	3 	1.7900 	14.5677 
2018 	4 	4.4600 	14.2600 
2018 	5 	3.5100 	187.7968 
2018 	6 	1.7600 	64.0813 
2018 	7 	0.4800 	50.6773 
2018 	8 	0.1100 	78.7736 
2018 	9 	0.8600 	37.7500 
2018 	10 	1.8600 	23.0517 
2018 	11 	1.2800 	21.1933 
2018 	12 	1.7900 	24.5645 
2019 	1 	2.4000 	34.6323 
2019 	2 	1.4000 	34.0875 
2019 	3 	0.4700 	23.3100 
2019 	4 	0.3300 	22.2267 
2019 	5 	0.2600 	224.2429 
2019 	6 	0.0150 	52.5324 
2019 	7 	0.3700 	51.5313 
2019 	8 	0.3700 	162.8704 
2019 	9 	0.4300 	108.8541 
2019 	10 	0.7300 	20.7032 
2019 	11 	0.3000 	18.7667 
2019 	12 	2.4500 	18.6452 
2020 	1 	2.2700 	21.0645 
2020 	2 	2.3900 	17.1241 
2020 	3 	2.4900 	13.6645 
2020 	4 	0.2657 	30.9088 
2020 	5 	0.0963 	202.7738 
2020 	6 	1.3320 	136.0604 
2020 	7 	1.0325 	63.5464 
2020 	8 	1.3160 	130.9391 
2020 	9 	1.3360 	451.4430 
2020 	10 	1.2679 	48.7677 
2020 	11 	0.7169 	27.6667 
2020 	12 	1.1233 	29.6968 
