Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.4125 	34.6154 
2015 	4 	2.0400 	33.4306 
2015 	5 	0.2500 	101.9189 
2015 	6 	0.2700 	61.6188 
2015 	7 	0.1300 	44.9914 
2015 	8 	0.1600 	40.1835 
2015 	9 	0.0900 	22.3043 
2015 	10 	0.2000 	28.6667 
2015 	11 	0.1600 	31.0000 
2015 	12 	0.4125 	14.1000 
2016 	3 	0.5865 	34.8800 
2016 	4 	0.2350 	19.7471 
2016 	5 	3.5300 	62.5946 
2016 	6 	0.1220 	67.6000 
2016 	7 	0.1790 	593.9965 
2016 	8 	0.1760 	228.2600 
2016 	9 	0.1730 	222.8333 
2016 	10 	0.2010 	208.5000 
2016 	11 	0.0760 	115.2667 
2016 	12 	0.5865 	51.0000 
2017 	3 	0.1861 	50.2500 
2017 	4 	0.7230 	92.3676 
2017 	5 	0.1390 	131.3244 
2017 	6 	0.0700 	34.8796 
2017 	7 	0.1320 	95.3697 
2017 	8 	0.0660 	158.0494 
2017 	9 	0.0820 	79.4591 
2017 	10 	0.0700 	48.6333 
2017 	11 	0.2070 	31.8667 
2017 	12 	0.1861 	13.3333 
2018 	3 	0.3013 	22.8506 
2018 	4 	1.3700 	18.6782 
2018 	5 	0.2000 	109.7923 
2018 	6 	0.1300 	25.7625 
2018 	7 	0.3400 	30.2316 
2018 	8 	0.1200 	45.2130 
2018 	9 	0.0700 	103.1286 
2018 	10 	0.0500 	42.5500 
2018 	11 	0.1300 	31.7667 
2018 	12 	0.3013 	22.5000 
2019 	3 	0.1550 	28.5462 
2019 	4 	0.2300 	21.9670 
2019 	5 	0.0900 	40.7445 
2019 	6 	0.4200 	45.3873 
2019 	7 	0.0600 	25.8790 
2019 	8 	0.1400 	692.1570 
2019 	9 	0.0400 	406.1724 
2019 	10 	0.0150 	156.6667 
2019 	11 	0.0800 	83.8000 
2019 	12 	0.3200 	39.6667 
2020 	1 	1.7500 	30.7667 
2020 	2 	1.4900 	30.5000 
2020 	3 	0.7800 	80.0714 
2020 	4 	0.0810 	52.5067 
2020 	5 	0.0954 	117.7147 
2020 	6 	0.8326 	69.3049 
2020 	7 	0.6209 	49.7577 
2020 	8 	0.7103 	172.5122 
2020 	9 	0.7209 	577.6000 
2020 	10 	0.7363 	253.0000 
2020 	11 	0.1139 	80.3000 
2020 	12 	0.7356 	87.3333 
