Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1331 	0.3100 
2015 	4 	0.0120 	1.1400 
2015 	5 	0.0590 	0.6540 
2015 	6 	0.9000 	5.4945 
2015 	7 	0.0120 	5.4923 
2015 	8 	0.0300 	1.9491 
2015 	9 	0.0280 	0.2137 
2015 	10 	0.0120 	0.1533 
2015 	11 	0.0120 	0.3550 
2015 	12 	0.1331 	0.1277 
2016 	3 	0.0515 	0.2583 
2016 	4 	0.0660 	0.7080 
2016 	5 	0.0120 	0.6928 
2016 	6 	0.0260 	0.3333 
2016 	7 	0.1030 	22.5327 
2016 	8 	0.0120 	5.4513 
2016 	9 	0.0460 	0.7558 
2016 	10 	0.1100 	0.2923 
2016 	11 	0.0370 	0.5393 
2016 	12 	0.0515 	0.5143 
2017 	3 	0.0676 	0.6183 
2017 	4 	0.0510 	0.6880 
2017 	5 	0.3500 	0.3803 
2017 	6 	0.0300 	0.8550 
2017 	7 	0.0600 	5.9047 
2017 	8 	0.0300 	235.9827 
2017 	9 	0.0500 	2.0863 
2017 	10 	0.0150 	1.1733 
2017 	11 	0.0150 	1.0740 
2017 	12 	0.0676 	0.2310 
2018 	3 	0.1788 	0.4413 
2018 	4 	0.0200 	1.2560 
2018 	5 	0.0500 	0.6363 
2018 	6 	0.0900 	12.4467 
2018 	7 	0.3200 	1.6763 
2018 	8 	0.0600 	2.2718 
2018 	9 	0.1600 	0.3065 
2018 	10 	0.1200 	0.2160 
2018 	11 	0.6100 	0.2510 
2018 	12 	0.1788 	0.3127 
2019 	1 	0.0500 	0.0767 
2019 	2 	0.1150 	0.0463 
2019 	3 	0.1800 	1.9477 
2019 	4 	0.0150 	0.9980 
2019 	5 	0.0600 	33.0441 
2019 	6 	0.0150 	6.1022 
2019 	7 	0.2300 	8.7304 
2019 	8 	0.2400 	22.0867 
2019 	9 	0.1300 	1.2552 
2019 	10 	0.0400 	0.7167 
2019 	11 	0.1900 	0.5010 
2019 	12 	0.1150 	0.3160 
2020 	1 	0.1900 	0.2180 
2020 	2 	0.1300 	0.2370 
2020 	3 	0.2400 	0.5947 
2020 	4 	0.0143 	1.2175 
2020 	5 	0.0127 	0.8283 
2020 	6 	0.0933 	0.3946 
2020 	7 	0.0821 	31.9782 
2020 	8 	0.0915 	61.1991 
2020 	9 	0.1026 	15.7740 
2020 	10 	0.0926 	0.9207 
2020 	11 	0.0282 	0.7297 
2020 	12 	0.0252 	0.6723 
