Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.6761 	0.7200 
2015 	4 	0.8600 	0.8417 
2015 	5 	0.7220 	1.9943 
2015 	6 	0.3790 	3.3823 
2015 	7 	0.6000 	5.7907 
2015 	8 	1.4300 	7.0229 
2015 	9 	0.5200 	1.8330 
2015 	10 	0.5180 	1.5167 
2015 	11 	0.3800 	0.7267 
2015 	12 	0.6761 	0.5833 
2016 	3 	0.7330 	0.9407 
2016 	4 	1.9700 	3.6433 
2016 	5 	1.0900 	15.2287 
2016 	6 	0.7430 	8.3490 
2016 	7 	0.4260 	6.9808 
2016 	8 	0.4300 	9.8588 
2016 	9 	0.1860 	7.6040 
2016 	10 	0.4990 	2.4327 
2016 	11 	0.5200 	0.9843 
2016 	12 	0.7330 	0.8990 
2017 	3 	0.4631 	0.7187 
2017 	4 	1.9000 	5.6010 
2017 	5 	0.4000 	0.3717 
2017 	6 	0.3500 	3.0160 
2017 	7 	0.1700 	3.0353 
2017 	8 	0.2400 	3.8940 
2017 	9 	0.0300 	1.3113 
2017 	10 	0.2500 	0.4707 
2017 	11 	0.3650 	0.4570 
2017 	12 	0.4631 	0.3800 
2018 	3 	0.3850 	0.3103 
2018 	4 	0.9600 	0.3293 
2018 	5 	0.5600 	0.2273 
2018 	6 	0.4800 	2.6855 
2018 	7 	0.1100 	3.4068 
2018 	8 	0.0200 	44.4611 
2018 	9 	0.2800 	2.8791 
2018 	10 	0.2900 	1.2700 
2018 	11 	0.3800 	1.0300 
2018 	12 	0.3850 	0.9307 
2019 	1 	0.8600 	0.8378 
2019 	2 	0.8800 	0.8440 
2019 	3 	0.8300 	0.5173 
2019 	4 	0.8700 	0.4980 
2019 	5 	0.0600 	3.3217 
2019 	6 	0.2800 	6.1873 
2019 	7 	0.0600 	3.5614 
2019 	8 	0.5036 	34.7980 
2019 	9 	0.1100 	7.0724 
2019 	10 	0.8100 	1.3943 
2019 	11 	0.5000 	0.8783 
2019 	12 	0.2800 	0.8293 
2020 	1 	0.9900 	0.7060 
2020 	2 	0.9100 	0.5893 
2020 	3 	0.7200 	0.6583 
2020 	4 	0.2083 	0.5180 
2020 	5 	0.1649 	2.1577 
2020 	6 	0.4557 	5.3440 
2020 	7 	0.4327 	3.6709 
2020 	8 	0.4828 	36.6311 
2020 	9 	0.4768 	53.8705 
2020 	10 	0.5862 	2.3850 
2020 	11 	0.1832 	3.9350 
2020 	12 	0.1611 	4.6300 
