Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.7206 	14.3385 
2015 	4 	1.2400 	18.1467 
2015 	5 	0.1480 	131.9300 
2015 	6 	0.8370 	44.4677 
2015 	7 	0.2650 	49.7321 
2015 	8 	0.6720 	148.8935 
2015 	9 	0.3220 	21.0409 
2015 	10 	0.9510 	13.5667 
2015 	11 	1.3300 	12.3667 
2015 	12 	0.7206 	10.8000 
2016 	3 	0.9704 	11.3769 
2016 	4 	5.0300 	13.3371 
2016 	5 	1.3300 	202.8125 
2016 	6 	0.0860 	53.3000 
2016 	7 	0.6800 	97.9707 
2016 	8 	0.1010 	95.4648 
2016 	9 	0.0870 	63.6810 
2016 	10 	0.0980 	18.8333 
2016 	11 	0.3510 	14.8333 
2016 	12 	0.9704 	15.2000 
2017 	3 	0.5138 	24.6923 
2017 	4 	0.7750 	33.3000 
2017 	5 	0.2300 	129.6821 
2017 	6 	0.8000 	125.4088 
2017 	7 	0.3500 	60.1914 
2017 	8 	0.1400 	26.5527 
2017 	9 	0.3700 	21.8714 
2017 	10 	0.5600 	17.6000 
2017 	11 	0.8850 	15.8000 
2017 	12 	0.5138 	14.0000 
2018 	3 	1.2700 	12.9538 
2018 	4 	4.1800 	11.9543 
2018 	5 	1.9700 	187.4677 
2018 	6 	1.4400 	62.2091 
2018 	7 	0.0200 	34.7773 
2018 	8 	0.2400 	68.8767 
2018 	9 	0.0300 	27.0433 
2018 	10 	0.9200 	17.3400 
2018 	11 	1.3600 	13.5333 
2018 	12 	1.2700 	15.2333 
2019 	2 	0.3115 	22.1667 
2019 	3 	1.8500 	14.7308 
2019 	4 	0.1900 	19.6927 
2019 	5 	0.0400 	230.5278 
2019 	6 	0.1800 	71.7081 
2019 	7 	0.2000 	41.7918 
2019 	8 	0.0150 	133.4130 
2019 	9 	0.0900 	119.7462 
2019 	10 	0.4700 	14.2000 
2020 	1 	0.0400 	8.5000 
2020 	2 	1.7800 	7.1333 
2020 	3 	1.7800 	8.1538 
2020 	4 	0.4550 	38.5271 
2020 	5 	0.6977 	218.1079 
2020 	6 	0.8325 	100.5683 
2020 	7 	0.8012 	87.4568 
2020 	8 	0.8021 	109.3438 
2020 	9 	0.8215 	515.6522 
2020 	10 	0.9264 	77.7333 
2020 	11 	0.1766 	16.9600 
2020 	12 	0.8215 	16.6000 
