Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	1.1648 	0.5810 
2015 	4 	0.8610 	0.5100 
2015 	5 	0.9930 	1.3412 
2015 	6 	1.6300 	0.7742 
2015 	7 	1.8800 	2.9838 
2015 	8 	0.2550 	5.2847 
2015 	9 	1.1648 	1.0882 
2015 	10 	1.3700 	0.5003 
2015 	11 	1.3590 	0.4713 
2015 	12 	1.3590 	0.5360 
2016 	3 	1.5052 	0.5007 
2016 	4 	1.5052 	0.4227 
2016 	5 	1.5700 	3.6450 
2016 	6 	1.7700 	2.7303 
2016 	7 	1.5000 	1.3160 
2016 	8 	1.5052 	0.8472 
2016 	9 	1.5900 	2.5086 
2016 	10 	0.9510 	0.4150 
2016 	11 	1.6500 	0.4343 
2016 	12 	1.5052 	0.4453 
2017 	5 	1.5900 	0.9133 
2017 	6 	0.5300 	1.1970 
2017 	7 	1.3700 	1.0023 
2017 	8 	0.5390 	0.8696 
2017 	9 	0.4010 	0.9351 
2017 	10 	5.1100 	0.7197 
2017 	11 	1.5900 	0.5217 
2017 	12 	1.5900 	0.4627 
2018 	3 	1.9400 	0.4367 
2018 	4 	7.6200 	0.4567 
2018 	5 	1.9400 	0.4418 
2018 	6 	0.4800 	0.9681 
2018 	7 	0.6100 	0.5098 
2018 	8 	3.8200 	11.4611 
2018 	9 	0.2000 	1.3524 
2018 	10 	0.2100 	1.7300 
2018 	11 	0.6400 	1.5033 
2018 	12 	1.9400 	1.4867 
2019 	1 	0.2300 	1.4700 
2019 	2 	0.7117 	1.4700 
2019 	3 	0.5000 	1.5100 
2019 	4 	0.0400 	1.4267 
2019 	5 	0.6400 	1.9785 
2019 	6 	0.4700 	1.4713 
2019 	7 	0.7200 	0.6828 
2019 	8 	2.9200 	6.9858 
2019 	9 	0.2300 	4.1301 
2019 	10 	0.2100 	1.6790 
2019 	11 	0.1400 	1.7890 
2019 	12 	2.4400 	0.8410 
2020 	1 	2.4400 	0.8157 
2020 	2 	0.6000 	0.9073 
2020 	3 	0.2000 	2.1863 
2020 	4 	0.0650 	1.3357 
2020 	5 	0.5007 	3.3090 
2020 	6 	0.6500 	2.0330 
2020 	7 	0.4433 	1.7124 
2020 	8 	0.5454 	9.5375 
2020 	9 	0.6454 	119.5517 
2020 	10 	0.5327 	7.7167 
2020 	11 	0.0665 	3.8433 
2020 	12 	0.6454 	4.0400 
			
			
			
			
			
			
			
			
			
			
