Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0425 	22.5750 
2015 	4 	0.0120 	18.6429 
2015 	5 	0.0610 	6.0516 
2015 	6 	0.0440 	14.4150 
2015 	7 	0.0560 	37.2594 
2015 	8 	0.0370 	118.2288 
2015 	9 	0.0380 	59.3929 
2015 	10 	0.0390 	71.5000 
2015 	11 	0.0530 	10.6250 
2015 	12 	0.0425 	2.1600 
2016 	3 	0.0546 	53.1308 
2016 	4 	0.0120 	64.8410 
2016 	5 	0.0120 	49.0613 
2016 	6 	0.0270 	8.2767 
2016 	7 	0.0990 	14.8506 
2016 	8 	0.0120 	50.3032 
2016 	9 	0.2040 	44.7878 
2016 	10 	0.0300 	5.6800 
2016 	11 	0.0410 	6.8000 
2016 	12 	0.0546 	5.2867 
2017 	3 	0.0638 	3.0277 
2017 	4 	0.0300 	69.0830 
2017 	5 	0.0300 	28.5575 
2017 	6 	0.0300 	4.8918 
2017 	7 	0.2600 	18.8949 
2017 	8 	0.0400 	49.8814 
2017 	9 	0.0300 	85.9547 
2017 	10 	0.0600 	36.0043 
2017 	11 	0.1500 	25.6807 
2017 	12 	0.0638 	32.8665 
2018 	3 	0.0950 	20.9252 
2018 	4 	0.0400 	71.9833 
2018 	5 	0.0200 	55.7397 
2018 	6 	0.2100 	15.9920 
2018 	7 	0.0800 	17.1341 
2018 	8 	0.0700 	14.5752 
2018 	9 	0.0700 	100.0667 
2018 	10 	0.1900 	82.4000 
2018 	11 	0.0800 	58.2167 
2018 	12 	0.0950 	82.4000 
2019 	1 	0.0200 	50.9633 
2019 	2 	0.0600 	72.8000 
2019 	3 	0.0700 	6.6893 
2019 	4 	0.0350 	6.2829 
2019 	5 	0.0350 	3.3142 
2019 	6 	0.0350 	0.6035 
2019 	7 	0.0150 	14.2129 
2019 	8 	0.0150 	91.1916 
2019 	9 	0.0150 	32.6227 
2019 	10 	0.0700 	1.9000 
2019 	11 	0.0150 	0.9520 
2019 	12 	0.0350 	0.9520 
2020 	1 	0.0400 	0.8743 
2020 	2 	0.2000 	48.5133 
2020 	3 	0.1200 	50.0313 
2020 	4 	0.0215 	59.9993 
2020 	5 	0.0153 	32.5102 
2020 	6 	0.0853 	9.5408 
2020 	7 	0.0568 	17.2372 
2020 	8 	0.0783 	66.0238 
2020 	9 	0.0638 	293.4126 
2020 	10 	0.0763 	1.7100 
2020 	11 	0.0250 	2.6250 
2020 	12 	0.0250 	3.4500 
