Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	1.6200 	6.8746 
2015 	4 	4.6500 	5.2137 
2015 	5 	0.7300 	5.3625 
2015 	6 	0.3200 	6.1322 
2015 	7 	1.6200 	5.4860 
2015 	8 	1.6200 	3.6876 
2015 	9 	1.6200 	7.0062 
2015 	10 	0.7800 	3.9000 
2015 	11 	1.6200 	3.7833 
2016 	3 	0.5825 	4.3275 
2016 	4 	1.8600 	4.5777 
2016 	5 	0.5825 	5.0806 
2016 	6 	0.5825 	3.8878 
2016 	7 	0.2170 	5.4063 
2016 	8 	0.1990 	6.2121 
2016 	9 	0.2110 	5.5632 
2016 	10 	0.3460 	2.5667 
2016 	11 	0.6620 	1.3333 
2016 	12 	0.5825 	10.8667 
2017 	3 	0.4914 	3.2077 
2017 	4 	1.9400 	3.0327 
2017 	5 	0.2710 	2.8332 
2017 	6 	0.3230 	3.6303 
2017 	7 	0.2500 	7.0386 
2017 	8 	0.3470 	10.0409 
2017 	9 	0.1700 	4.6057 
2017 	10 	0.2500 	33.8333 
2017 	11 	0.3800 	3.7000 
2017 	12 	0.4914 	3.2667 
2018 	3 	0.5163 	5.3892 
2018 	4 	0.4700 	13.9617 
2018 	5 	0.2200 	8.1448 
2018 	6 	1.9700 	6.1950 
2018 	7 	0.7600 	8.7916 
2018 	8 	0.0200 	11.5494 
2018 	9 	0.1100 	13.6024 
2018 	10 	0.2200 	2.2750 
2018 	11 	0.3600 	6.5333 
2018 	12 	0.5163 	7.3667 
2019 	1 	1.4600 	4.3900 
2019 	2 	1.8600 	6.4200 
2019 	3 	1.8800 	19.2885 
2019 	4 	0.2800 	18.6253 
2019 	5 	0.0700 	26.0268 
2019 	6 	0.0150 	27.5663 
2019 	7 	0.6800 	17.4572 
2019 	8 	0.2800 	21.6735 
2019 	9 	0.0600 	25.4557 
2019 	10 	0.0800 	6.2533 
2019 	11 	0.0150 	10.9600 
2019 	12 	0.0800 	27.9000 
2020 	1 	0.3900 	7.7000 
2020 	2 	1.0400 	19.5000 
2020 	3 	0.4700 	27.4000 
2020 	4 	0.0900 	15.0000 
2020 	5 	0.1000 	11.7533 
2020 	6 	0.6239 	17.9670 
2020 	7 	0.7327 	9.5795 
2020 	8 	0.6199 	22.1348 
2020 	9 	0.6236 	27.7178 
2020 	10 	0.6237 	37.9800 
2020 	11 	0.6199 	48.2500 
2020 	12 	1.6293 	8.9000 
