Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.4809 	10.2269 
2015 	4 	1.0200 	4.9147 
2015 	5 	0.3620 	83.0353 
2015 	6 	0.0790 	19.4836 
2015 	7 	0.0410 	15.3447 
2015 	8 	0.0250 	13.7216 
2015 	9 	0.0330 	7.1916 
2015 	10 	0.8670 	4.4200 
2015 	11 	1.4200 	3.4400 
2015 	12 	0.4809 	1.7725 
2016 	3 	0.5366 	1.7731 
2016 	4 	1.4600 	3.6348 
2016 	5 	0.3690 	38.9750 
2016 	6 	0.0280 	18.1586 
2016 	7 	0.5220 	259.1217 
2016 	8 	0.4800 	69.0644 
2016 	9 	0.5000 	54.5857 
2016 	10 	0.4910 	52.5333 
2016 	11 	0.4430 	13.0333 
2016 	12 	0.5366 	7.0000 
2017 	3 	0.3163 	11.3038 
2017 	4 	0.0820 	15.1207 
2017 	5 	0.1320 	94.9393 
2017 	6 	0.2570 	29.2830 
2017 	7 	0.0970 	30.9060 
2017 	8 	0.0580 	9.1579 
2017 	9 	0.0540 	4.8018 
2017 	10 	1.8200 	3.5000 
2017 	11 	0.0300 	2.2300 
2017 	12 	0.3163 	1.9367 
2018 	3 	0.9825 	1.3715 
2018 	4 	3.5500 	2.0253 
2018 	5 	1.9400 	103.2606 
2018 	6 	0.1400 	13.0347 
2018 	7 	0.6900 	9.7404 
2018 	8 	0.0900 	8.8318 
2018 	9 	0.4000 	7.0719 
2018 	10 	0.9500 	2.2000 
2018 	11 	0.1000 	2.2000 
2018 	12 	0.9825 	1.3967 
2019 	1 	2.2000 	1.0163 
2019 	2 	2.5400 	0.8467 
2019 	3 	2.3600 	1.1887 
2019 	4 	3.2000 	0.6611 
2019 	5 	0.7200 	50.9794 
2019 	6 	0.1400 	8.8688 
2019 	7 	0.1700 	5.3159 
2019 	8 	0.3600 	193.7022 
2019 	9 	0.1800 	58.3143 
2019 	10 	0.0150 	20.0000 
2019 	11 	0.9900 	6.2700 
2019 	12 	1.4300 	2.7300 
2020 	1 	3.3100 	2.8200 
2020 	2 	1.2200 	2.6800 
2020 	3 	0.9500 	3.0092 
2020 	4 	0.5853 	1.9077 
2020 	5 	0.3901 	78.2576 
2020 	6 	1.0362 	26.9100 
2020 	7 	1.1326 	22.1801 
2020 	8 	1.1326 	45.1254 
2020 	9 	1.0263 	208.2918 
2020 	10 	1.3526 	81.8333 
2020 	11 	0.3387 	10.7333 
2020 	12 	0.3900 	23.5000 
