Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.4566 	2.5046 
2015 	4 	1.2300 	1.5533 
2015 	5 	1.0800 	0.8750 
2015 	6 	0.2740 	10.3892 
2015 	7 	0.1020 	10.0261 
2015 	8 	0.6050 	9.3589 
2015 	9 	0.1350 	4.3333 
2015 	10 	0.0120 	2.0667 
2015 	11 	0.2150 	1.7667 
2015 	12 	0.4566 	0.7333 
2016 	3 	0.4860 	1.3731 
2016 	4 	0.9840 	0.9500 
2016 	5 	1.2100 	11.9057 
2016 	6 	0.1030 	13.0617 
2016 	7 	0.2460 	228.5905 
2016 	8 	0.1910 	42.4031 
2016 	9 	0.2280 	45.2538 
2016 	10 	0.8350 	11.3333 
2016 	11 	0.0910 	3.7500 
2016 	12 	0.4860 	1.8333 
2017 	3 	0.4161 	1.9975 
2017 	4 	1.3500 	1.7548 
2017 	5 	0.4610 	0.5367 
2017 	6 	0.6910 	12.7447 
2017 	7 	0.1060 	28.5068 
2017 	8 	0.0550 	5.8510 
2017 	9 	0.4780 	3.0076 
2017 	10 	0.1600 	1.9333 
2017 	11 	0.0280 	1.4333 
2017 	12 	0.4161 	0.4333 
2018 	3 	1.1420 	1.4608 
2018 	4 	2.1400 	0.7694 
2018 	5 	1.3300 	0.6193 
2018 	8 	1.1420 	5.7374 
2018 	9 	1.2400 	6.8654 
2018 	10 	0.1000 	3.1000 
2018 	11 	0.9000 	2.1333 
2018 	12 	1.1420 	0.6667 
2019 	3 	0.2802 	0.7308 
2019 	4 	0.1100 	0.5615 
2019 	5 	0.1900 	0.8750 
2019 	6 	0.6400 	0.0000 
2019 	7 	0.2800 	32.3031 
2019 	8 	0.2800 	189.4978 
2019 	9 	0.5800 	26.0583 
2019 	10 	0.1100 	2.5000 
2019 	11 	0.0900 	2.0000 
2019 	12 	0.2400 	1.4333 
2020 	1 	0.7800 	0.8000 
2020 	2 	0.7100 	0.8667 
2020 	3 	1.4600 	1.4846 
2020 	4 	0.5707 	1.0233 
2020 	5 	0.0280 	4.6588 
2020 	6 	0.5322 	2.6917 
2020 	7 	0.6231 	0.5920 
2020 	8 	0.5811 	54.6029 
2020 	9 	0.5707 	107.5709 
2020 	10 	0.5017 	5.0667 
2020 	11 	0.2629 	3.2333 
2020 	12 	0.1834 	2.4133 
