Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0473 	4.8867 
2015 	4 	0.0120 	5.1000 
2015 	5 	0.0120 	32.1857 
2015 	6 	0.1000 	17.4259 
2015 	7 	0.1700 	20.6783 
2015 	8 	0.0480 	10.5001 
2015 	11 	0.0120 	3.3733 
2015 	12 	0.0473 	2.1967 
2016 	3 	0.4783 	13.2713 
2016 	4 	1.2700 	3.4497 
2016 	5 	0.7800 	9.7658 
2016 	6 	0.1260 	6.6747 
2016 	7 	0.1370 	21.2478 
2016 	8 	0.0290 	10.6994 
2016 	9 	0.3080 	6.2352 
2016 	10 	0.4820 	4.8533 
2016 	11 	0.6940 	5.4800 
2016 	12 	0.4783 	2.1333 
2017 	3 	0.1156 	2.1531 
2017 	4 	0.0550 	4.0533 
2017 	5 	0.0300 	20.9832 
2017 	6 	0.0500 	11.5125 
2017 	7 	0.0400 	4.4848 
2017 	8 	0.0300 	70.0196 
2017 	9 	0.3500 	32.4857 
2017 	10 	0.2200 	5.6200 
2017 	11 	0.1500 	3.0533 
2017 	12 	0.1156 	3.2800 
2018 	3 	0.3038 	9.4200 
2018 	4 	0.2400 	8.2080 
2018 	5 	0.1900 	38.7906 
2018 	6 	0.3400 	75.5559 
2018 	7 	0.1600 	16.3109 
2018 	8 	0.7700 	14.9742 
2018 	9 	0.1800 	12.7943 
2018 	10 	0.2000 	2.1900 
2018 	11 	0.3500 	2.5100 
2018 	12 	0.3038 	2.0333 
2019 	1 	2.6000 	2.0533 
2019 	2 	2.6000 	2.1267 
2019 	3 	1.0200 	3.1108 
2019 	4 	0.1000 	17.5630 
2019 	5 	0.0150 	37.3037 
2019 	6 	0.8600 	13.7567 
2019 	7 	2.3000 	13.2228 
2019 	8 	0.3700 	37.2023 
2019 	9 	0.2000 	20.8048 
2019 	10 	0.0150 	6.0133 
2019 	11 	0.1700 	4.3600 
2019 	12 	0.6300 	5.9033 
2020 	1 	0.3500 	5.2367 
2020 	2 	0.5800 	4.3033 
2020 	3 	0.2200 	4.0338 
2020 	4 	0.0100 	15.1790 
2020 	5 	0.0266 	30.9677 
2020 	6 	0.2875 	16.6967 
2020 	7 	0.3275 	11.5468 
2020 	8 	0.2975 	20.3119 
2020 	9 	0.3026 	27.1791 
2020 	10 	0.2975 	9.3200 
2020 	11 	0.2438 	5.3933 
2020 	12 	0.6523 	5.5967 
