Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.2800 	0.5810 
2015 	4 	0.3800 	0.5100 
2015 	5 	0.3700 	1.3412 
2015 	6 	0.3100 	0.7742 
2015 	7 	0.3500 	2.9838 
2015 	8 	0.1800 	5.2847 
2015 	9 	0.2800 	1.0882 
2015 	10 	0.0900 	0.5003 
2015 	11 	0.3267 	0.4713 
2015 	12 	0.3267 	0.5360 
2016 	3 	0.2727 	0.5007 
2016 	4 	0.2727 	0.4227 
2016 	5 	0.1740 	3.6450 
2016 	6 	0.2600 	2.7303 
2016 	7 	0.3900 	1.3160 
2016 	8 	0.2727 	0.8472 
2016 	9 	0.3520 	2.5086 
2016 	10 	0.1800 	0.4150 
2016 	11 	0.2800 	0.4343 
2016 	12 	0.2727 	0.4453 
2017 	5 	0.2520 	0.9133 
2017 	6 	0.1400 	1.1970 
2017 	7 	0.2900 	1.0023 
2017 	8 	0.2500 	0.8696 
2017 	9 	0.1500 	0.9351 
2017 	10 	0.4300 	0.7197 
2017 	11 	0.2520 	0.5217 
2017 	12 	0.2520 	0.4627 
2018 	3 	0.3800 	0.4367 
2018 	4 	1.4400 	0.4567 
2018 	5 	0.3800 	0.4418 
2018 	6 	0.1900 	0.9681 
2018 	7 	0.3900 	0.5098 
2018 	8 	0.4400 	11.4611 
2018 	9 	0.0700 	1.3524 
2018 	10 	0.0800 	1.7300 
2018 	11 	0.0500 	1.5033 
2018 	12 	0.3800 	1.4867 
2019 	1 	0.0700 	1.4700 
2019 	2 	0.1288 	1.4700 
2019 	3 	0.1900 	1.5100 
2019 	4 	0.2100 	1.4267 
2019 	5 	0.1400 	1.9785 
2019 	6 	0.1400 	1.4713 
2019 	7 	0.0600 	0.6828 
2019 	8 	0.2300 	6.9858 
2019 	9 	0.1100 	4.1301 
2019 	10 	0.0200 	1.6790 
2019 	11 	0.1200 	1.7890 
2019 	12 	0.2560 	0.8410 
2020 	1 	0.2560 	0.8157 
2020 	2 	0.0400 	0.9073 
2020 	3 	0.0300 	2.1863 
2020 	4 	0.1938 	1.3357 
2020 	5 	0.1127 	3.3090 
2020 	6 	0.1193 	2.0330 
2020 	7 	0.1010 	1.7124 
2020 	8 	0.1223 	9.5375 
2020 	9 	0.1093 	119.5517 
2020 	10 	0.1827 	7.7167 
2020 	11 	0.0235 	3.8433 
2020 	12 	0.1093 	4.0400 
