Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.2088 	5.7333 
2015 	4 	0.1900 	3.0367 
2015 	5 	0.2700 	2.9000 
2015 	6 	0.2400 	5.5069 
2015 	7 	0.2100 	8.5161 
2015 	8 	0.2200 	4.2132 
2015 	9 	0.2500 	2.7314 
2015 	10 	0.2000 	3.2067 
2015 	11 	0.0900 	2.2867 
2015 	12 	0.2088 	2.3000 
2016 	3 	0.2525 	3.5077 
2016 	4 	0.2200 	3.3767 
2016 	5 	0.1500 	3.6645 
2016 	6 	0.2200 	3.1820 
2016 	7 	0.2200 	16.3814 
2016 	8 	0.1700 	7.0569 
2016 	9 	0.3900 	5.1190 
2016 	10 	0.3400 	3.8667 
2016 	11 	0.3100 	3.4667 
2016 	12 	0.2525 	2.7333 
2017 	3 	0.2175 	3.6769 
2017 	4 	0.1400 	3.0800 
2017 	5 	0.2600 	2.3467 
2017 	6 	0.2000 	7.3924 
2017 	7 	0.2700 	2.1555 
2017 	8 	0.2300 	17.1149 
2017 	9 	0.1800 	4.8248 
2017 	10 	0.2000 	3.7900 
2017 	11 	0.2600 	3.2200 
2017 	12 	0.2175 	2.9400 
2018 	3 	0.2750 	3.9923 
2018 	4 	0.2600 	3.0867 
2018 	5 	0.2400 	3.0868 
2018 	6 	0.2800 	3.1513 
2018 	7 	0.1900 	2.8625 
2018 	8 	0.2300 	2.3551 
2018 	9 	0.2900 	2.5686 
2018 	10 	0.2700 	2.3100 
2018 	11 	0.4400 	2.6400 
2018 	12 	0.2750 	2.7100 
2019 	1 	0.8000 	2.2100 
2019 	2 	0.3912 	1.9333 
2019 	3 	0.2100 	2.7846 
2019 	4 	0.5600 	2.5727 
2019 	5 	0.8100 	10.1421 
2019 	6 	0.5400 	7.0203 
2019 	7 	0.3400 	5.0157 
2019 	8 	0.2600 	18.6350 
2019 	9 	0.3330 	4.9890 
2019 	10 	0.2300 	3.7333 
2019 	11 	0.1800 	2.8833 
2019 	12 	0.0400 	2.6833 
2020 	1 	0.1000 	2.6167 
2020 	2 	0.0200 	2.6667 
2020 	3 	0.2220 	3.1846 
2020 	4 	0.2773 	3.0400 
2020 	5 	0.3314 	2.8145 
2020 	6 	0.1533 	3.3890 
2020 	7 	0.1378 	2.0738 
2020 	8 	0.1137 	10.0651 
2020 	9 	0.1460 	20.2076 
2020 	10 	0.1526 	3.8167 
2020 	11 	0.1747 	4.2367 
2020 	12 	0.2389 	2.3000 
