Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0169 	22.5750 
2015 	4 	0.0100 	18.6429 
2015 	5 	0.0100 	6.0516 
2015 	6 	0.0200 	14.4150 
2015 	7 	0.0300 	37.2594 
2015 	8 	0.0300 	118.2288 
2015 	9 	0.0100 	59.3929 
2015 	10 	0.0200 	71.5000 
2015 	11 	0.0050 	10.6250 
2015 	12 	0.0169 	2.1600 
2016 	3 	0.0338 	53.1308 
2016 	4 	0.0300 	64.8410 
2016 	5 	0.0400 	49.0613 
2016 	6 	0.0100 	8.2767 
2016 	7 	0.0300 	14.8506 
2016 	8 	0.0300 	50.3032 
2016 	9 	0.0700 	44.7878 
2016 	10 	0.0500 	5.6800 
2016 	11 	0.0100 	6.8000 
2016 	12 	0.0338 	5.2867 
2017 	3 	0.0431 	3.0277 
2017 	4 	0.0600 	69.0830 
2017 	5 	0.0300 	28.5575 
2017 	6 	0.0600 	4.8918 
2017 	7 	0.0700 	18.8949 
2017 	8 	0.0600 	49.8814 
2017 	9 	0.0500 	85.9547 
2017 	10 	0.0050 	36.0043 
2017 	11 	0.0100 	25.6807 
2017 	12 	0.0431 	32.8665 
2018 	3 	0.0200 	20.9252 
2018 	4 	0.0100 	71.9833 
2018 	5 	0.0100 	55.7397 
2018 	6 	0.0300 	15.9920 
2018 	7 	0.0400 	17.1341 
2018 	8 	0.0200 	14.5752 
2018 	9 	0.0100 	100.0667 
2018 	10 	0.0300 	82.4000 
2018 	11 	0.0100 	58.2167 
2018 	12 	0.0200 	82.4000 
2019 	1 	0.0300 	50.9633 
2019 	2 	0.0100 	72.8000 
2019 	3 	0.0100 	6.6893 
2019 	4 	0.0469 	6.2829 
2019 	5 	0.0469 	3.3142 
2019 	6 	0.0469 	0.6035 
2019 	7 	0.0600 	14.2129 
2019 	8 	0.1800 	91.1916 
2019 	9 	0.0600 	32.6227 
2019 	10 	0.0200 	1.9000 
2019 	11 	0.0050 	0.9520 
2019 	12 	0.0469 	0.9520 
2020 	1 	0.0130 	0.8743 
2020 	2 	0.0450 	48.5133 
2020 	3 	0.0500 	50.0313 
2020 	4 	0.0113 	59.9993 
2020 	5 	0.0126 	32.5102 
2020 	6 	0.0226 	9.5408 
2020 	7 	0.0236 	17.2372 
2020 	8 	0.0233 	66.0238 
2020 	9 	0.0226 	293.4126 
2020 	10 	0.0357 	1.7100 
2020 	11 	0.0129 	2.6250 
2020 	12 	0.0137 	3.4500 
