Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1865 	12.5742 
2015 	4 	0.1540 	16.1333 
2015 	5 	0.1640 	116.9743 
2015 	6 	0.1340 	54.4633 
2015 	7 	0.1240 	57.9570 
2015 	8 	0.1260 	165.5152 
2015 	9 	0.1580 	21.8033 
2015 	10 	0.3190 	18.2219 
2015 	11 	0.3130 	15.5300 
2015 	12 	0.1865 	14.3406 
2016 	3 	0.1631 	12.6139 
2016 	4 	0.3450 	13.9452 
2016 	5 	0.1730 	229.0313 
2016 	6 	0.1040 	75.6267 
2016 	7 	0.1060 	125.9951 
2016 	8 	0.1200 	108.1014 
2016 	9 	0.0940 	77.9533 
2016 	10 	0.1680 	31.5742 
2016 	11 	0.1950 	26.9200 
2016 	12 	0.1631 	25.9290 
2017 	3 	0.1925 	35.3452 
2017 	4 	0.3750 	38.7000 
2017 	5 	0.1950 	142.0690 
2017 	6 	0.1900 	113.7846 
2017 	7 	0.1150 	62.8305 
2017 	8 	0.1150 	43.9931 
2017 	9 	0.1800 	35.1000 
2017 	10 	0.1500 	24.4839 
2017 	11 	0.2200 	21.3033 
2017 	12 	0.1925 	23.5742 
2018 	3 	0.1863 	14.5677 
2018 	4 	0.2000 	14.2600 
2018 	5 	0.1600 	187.7968 
2018 	6 	0.1100 	64.0813 
2018 	7 	0.1600 	50.6773 
2018 	8 	0.1500 	78.7736 
2018 	9 	0.1000 	37.7500 
2018 	10 	0.3900 	23.0517 
2018 	11 	0.2200 	21.1933 
2018 	12 	0.1863 	24.5645 
2019 	1 	0.2900 	34.6323 
2019 	2 	0.1800 	34.0875 
2019 	3 	0.1800 	23.3100 
2019 	4 	0.2400 	22.2267 
2019 	5 	0.2100 	224.2429 
2019 	6 	0.0700 	52.5324 
2019 	7 	0.1600 	51.5313 
2019 	8 	0.1800 	162.8704 
2019 	9 	0.0600 	108.8541 
2019 	10 	0.1700 	20.7032 
2019 	11 	0.2500 	18.7667 
2019 	12 	0.2100 	18.6452 
2020 	1 	0.2500 	21.0645 
2020 	2 	0.1900 	17.1241 
2020 	3 	0.1600 	13.6645 
2020 	4 	0.3550 	30.9088 
2020 	5 	0.2524 	202.7738 
2020 	6 	0.2358 	136.0604 
2020 	7 	0.2254 	63.5464 
2020 	8 	0.2153 	130.9391 
2020 	9 	0.2053 	451.4430 
2020 	10 	0.1821 	48.7677 
2020 	11 	0.0839 	27.6667 
2020 	12 	0.1461 	29.6968 
