Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1925 	34.6154 
2015 	4 	0.2500 	33.4306 
2015 	5 	0.2900 	101.9189 
2015 	6 	0.0700 	61.6188 
2015 	7 	0.0400 	44.9914 
2015 	8 	0.2000 	40.1835 
2015 	9 	0.5600 	22.3043 
2015 	10 	0.0400 	28.6667 
2015 	11 	0.0900 	31.0000 
2015 	12 	0.1925 	14.1000 
2016 	3 	0.1130 	34.8800 
2016 	4 	0.0890 	19.7471 
2016 	5 	0.1290 	62.5946 
2016 	6 	0.1070 	67.6000 
2016 	7 	0.0850 	593.9965 
2016 	8 	0.2560 	228.2600 
2016 	9 	0.0920 	222.8333 
2016 	10 	0.0550 	208.5000 
2016 	11 	0.0910 	115.2667 
2016 	12 	0.1130 	51.0000 
2017 	3 	0.1064 	50.2500 
2017 	4 	0.1500 	92.3676 
2017 	5 	0.0880 	131.3244 
2017 	6 	0.0810 	34.8796 
2017 	7 	0.0850 	95.3697 
2017 	8 	0.1400 	158.0494 
2017 	9 	0.1250 	79.4591 
2017 	10 	0.0550 	48.6333 
2017 	11 	0.1270 	31.8667 
2017 	12 	0.1064 	13.3333 
2018 	3 	0.1175 	22.8506 
2018 	4 	0.2400 	18.6782 
2018 	5 	0.1300 	109.7923 
2018 	6 	0.1100 	25.7625 
2018 	7 	0.1500 	30.2316 
2018 	8 	0.0900 	45.2130 
2018 	9 	0.0700 	103.1286 
2018 	10 	0.0900 	42.5500 
2018 	11 	0.0600 	31.7667 
2018 	12 	0.1175 	22.5000 
2019 	3 	0.1244 	28.5462 
2019 	4 	0.1000 	21.9670 
2019 	5 	0.0900 	40.7445 
2019 	6 	0.0800 	45.3873 
2019 	7 	0.0800 	25.8790 
2019 	8 	0.1600 	692.1570 
2019 	9 	0.2100 	406.1724 
2019 	10 	0.1700 	156.6667 
2019 	11 	0.1300 	83.8000 
2019 	12 	0.1000 	39.6667 
2020 	1 	0.0790 	30.7667 
2020 	2 	0.0660 	30.5000 
2020 	3 	0.0650 	80.0714 
2020 	4 	0.0773 	52.5067 
2020 	5 	0.0739 	117.7147 
2020 	6 	0.0524 	69.3049 
2020 	7 	0.0833 	49.7577 
2020 	8 	0.0739 	172.5122 
2020 	9 	0.0737 	577.6000 
2020 	10 	0.0653 	253.0000 
2020 	11 	0.0865 	80.3000 
2020 	12 	0.0682 	87.3333 
