Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.2725 	6.8746 
2015 	4 	0.3900 	5.2137 
2015 	5 	0.3000 	5.3625 
2015 	6 	0.3100 	6.1322 
2015 	7 	0.2725 	5.4860 
2015 	8 	0.2725 	3.6876 
2015 	9 	0.2725 	7.0062 
2015 	10 	0.0900 	3.9000 
2015 	11 	0.2725 	3.7833 
2016 	3 	0.1285 	4.3275 
2016 	4 	0.3640 	4.5777 
2016 	5 	0.1285 	5.0806 
2016 	6 	0.1285 	3.8878 
2016 	7 	0.1590 	5.4063 
2016 	8 	0.1080 	6.2121 
2016 	9 	0.0340 	5.5632 
2016 	10 	0.0230 	2.5667 
2016 	11 	0.0830 	1.3333 
2016 	12 	0.1285 	10.8667 
2017 	3 	0.2024 	3.2077 
2017 	4 	0.2380 	3.0327 
2017 	5 	0.1800 	2.8332 
2017 	6 	0.2710 	3.6303 
2017 	7 	0.1700 	7.0386 
2017 	8 	0.1000 	10.0409 
2017 	9 	0.1400 	4.6057 
2017 	10 	0.2600 	33.8333 
2017 	11 	0.2600 	3.7000 
2017 	12 	0.2024 	3.2667 
2018 	3 	0.3775 	5.3892 
2018 	4 	0.3600 	13.9617 
2018 	5 	0.2700 	8.1448 
2018 	6 	0.4500 	6.1950 
2018 	7 	0.6100 	8.7916 
2018 	8 	0.8900 	11.5494 
2018 	9 	0.1600 	13.6024 
2018 	10 	0.1500 	2.2750 
2018 	11 	0.1300 	6.5333 
2018 	12 	0.3775 	7.3667 
2019 	1 	0.2000 	4.3900 
2019 	2 	0.0700 	6.4200 
2019 	3 	0.1200 	19.2885 
2019 	4 	0.1800 	18.6253 
2019 	5 	0.2200 	26.0268 
2019 	6 	0.1200 	27.5663 
2019 	7 	0.1100 	17.4572 
2019 	8 	0.1800 	21.6735 
2019 	9 	0.0900 	25.4557 
2019 	10 	0.1600 	6.2533 
2019 	11 	0.1400 	10.9600 
2019 	12 	0.0300 	27.9000 
2020 	1 	0.1000 	7.7000 
2020 	2 	0.1100 	19.5000 
2020 	3 	0.1400 	27.4000 
2020 	4 	1.4000 	15.0000 
2020 	5 	0.1260 	11.7533 
2020 	6 	0.3726 	17.9670 
2020 	7 	0.4327 	9.5795 
2020 	8 	0.3557 	22.1348 
2020 	9 	0.4026 	27.7178 
2020 	10 	0.3676 	37.9800 
2020 	11 	0.3327 	48.2500 
2020 	12 	0.2580 	8.9000 
