Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1031 	10.2269 
2015 	4 	0.1600 	4.9147 
2015 	5 	0.1300 	83.0353 
2015 	6 	0.0600 	19.4836 
2015 	7 	0.0200 	15.3447 
2015 	8 	0.0050 	13.7216 
2015 	9 	0.0500 	7.1916 
2015 	10 	0.2600 	4.4200 
2015 	11 	0.1400 	3.4400 
2015 	12 	0.1031 	1.7725 
2016 	3 	0.2013 	1.7731 
2016 	4 	0.2100 	3.6348 
2016 	5 	0.1100 	38.9750 
2016 	6 	0.2100 	18.1586 
2016 	7 	0.2500 	259.1217 
2016 	8 	0.2900 	69.0644 
2016 	9 	0.1300 	54.5857 
2016 	10 	0.2400 	52.5333 
2016 	11 	0.1700 	13.0333 
2016 	12 	0.2013 	7.0000 
2017 	3 	0.2063 	11.3038 
2017 	4 	0.1700 	15.1207 
2017 	5 	0.2200 	94.9393 
2017 	6 	0.2500 	29.2830 
2017 	7 	0.2100 	30.9060 
2017 	8 	0.0700 	9.1579 
2017 	9 	0.1400 	4.8018 
2017 	10 	0.2900 	3.5000 
2017 	11 	0.3000 	2.2300 
2017 	12 	0.2063 	1.9367 
2018 	3 	0.1700 	1.3715 
2018 	4 	0.6100 	2.0253 
2018 	5 	0.2100 	103.2606 
2018 	6 	0.1600 	13.0347 
2018 	7 	0.1200 	9.7404 
2018 	8 	0.0600 	8.8318 
2018 	9 	0.0600 	7.0719 
2018 	10 	0.0500 	2.2000 
2018 	11 	0.0900 	2.2000 
2018 	12 	0.1700 	1.3967 
2019 	1 	0.1300 	1.0163 
2019 	2 	0.0500 	0.8467 
2019 	3 	0.0400 	1.1887 
2019 	4 	0.2000 	0.6611 
2019 	5 	0.0700 	50.9794 
2019 	6 	0.0700 	8.8688 
2019 	7 	0.0600 	5.3159 
2019 	8 	0.0900 	193.7022 
2019 	9 	0.1400 	58.3143 
2019 	10 	0.1500 	20.0000 
2019 	11 	0.1000 	6.2700 
2019 	12 	0.0700 	2.7300 
2020 	1 	0.3000 	2.8200 
2020 	2 	0.1260 	2.6800 
2020 	3 	0.1550 	3.0092 
2020 	4 	0.0953 	1.9077 
2020 	5 	0.0851 	78.2576 
2020 	6 	0.1335 	26.9100 
2020 	7 	0.1643 	22.1801 
2020 	8 	0.1326 	45.1254 
2020 	9 	0.1258 	208.2918 
2020 	10 	0.1258 	81.8333 
2020 	11 	0.0701 	10.7333 
2020 	12 	0.0491 	23.5000 
