Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0613 	0.7200 
2015 	4 	0.0400 	0.8417 
2015 	5 	0.0500 	1.9943 
2015 	6 	0.0700 	3.3823 
2015 	7 	0.0500 	5.7907 
2015 	8 	0.1300 	7.0229 
2015 	9 	0.0300 	1.8330 
2015 	10 	0.0400 	1.5167 
2015 	11 	0.0800 	0.7267 
2015 	12 	0.0613 	0.5833 
2016 	3 	0.0725 	0.9407 
2016 	4 	0.0900 	3.6433 
2016 	5 	0.2000 	15.2287 
2016 	6 	0.0700 	8.3490 
2016 	7 	0.0500 	6.9808 
2016 	8 	0.0400 	9.8588 
2016 	9 	0.0700 	7.6040 
2016 	10 	0.0200 	2.4327 
2016 	11 	0.0400 	0.9843 
2016 	12 	0.0725 	0.8990 
2017 	3 	0.1163 	0.7187 
2017 	4 	0.1600 	5.6010 
2017 	5 	0.2900 	0.3717 
2017 	6 	0.1300 	3.0160 
2017 	7 	0.0400 	3.0353 
2017 	8 	0.0900 	3.8940 
2017 	9 	0.1000 	1.3113 
2017 	10 	0.0700 	0.4707 
2017 	11 	0.0500 	0.4570 
2017 	12 	0.1163 	0.3800 
2018 	3 	0.0863 	0.3103 
2018 	4 	0.0700 	0.3293 
2018 	5 	0.1200 	0.2273 
2018 	6 	0.0900 	2.6855 
2018 	7 	0.0800 	3.4068 
2018 	8 	0.0800 	44.4611 
2018 	9 	0.0700 	2.8791 
2018 	10 	0.0600 	1.2700 
2018 	11 	0.1200 	1.0300 
2018 	12 	0.0863 	0.9307 
2019 	1 	0.0900 	0.8378 
2019 	2 	0.1100 	0.8440 
2019 	3 	0.0900 	0.5173 
2019 	4 	0.0800 	0.4980 
2019 	5 	0.0900 	3.3217 
2019 	6 	0.1400 	6.1873 
2019 	7 	0.0500 	3.5614 
2019 	8 	0.0836 	34.7980 
2019 	9 	0.1000 	7.0724 
2019 	10 	0.0400 	1.3943 
2019 	11 	0.0600 	0.8783 
2019 	12 	0.0700 	0.8293 
2020 	1 	0.1100 	0.7060 
2020 	2 	0.1570 	0.5893 
2020 	3 	0.1480 	0.6583 
2020 	4 	0.1540 	0.5180 
2020 	5 	0.1367 	2.1577 
2020 	6 	0.1255 	5.3440 
2020 	7 	0.1025 	3.6709 
2020 	8 	0.1144 	36.6311 
2020 	9 	0.1327 	53.8705 
2020 	10 	0.1024 	2.3850 
2020 	11 	0.0550 	3.9350 
2020 	12 	0.0402 	4.6300 
