Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1713 	2.5046 
2015 	4 	0.2400 	1.5533 
2015 	5 	0.1300 	0.8750 
2015 	6 	0.1900 	10.3892 
2015 	7 	0.3400 	10.0261 
2015 	8 	0.1100 	9.3589 
2015 	9 	0.1600 	4.3333 
2015 	10 	0.0900 	2.0667 
2015 	11 	0.1100 	1.7667 
2015 	12 	0.1713 	0.7333 
2016 	3 	0.1900 	1.3731 
2016 	4 	0.1700 	0.9500 
2016 	5 	0.1900 	11.9057 
2016 	6 	0.2600 	13.0617 
2016 	7 	0.2400 	228.5905 
2016 	8 	0.3000 	42.4031 
2016 	9 	0.1000 	45.2538 
2016 	10 	0.1400 	11.3333 
2016 	11 	0.1200 	3.7500 
2016 	12 	0.1900 	1.8333 
2017 	3 	0.1338 	1.9975 
2017 	4 	0.2400 	1.7548 
2017 	5 	0.1700 	0.5367 
2017 	6 	0.0400 	12.7447 
2017 	7 	0.2300 	28.5068 
2017 	8 	0.0700 	5.8510 
2017 	9 	0.0500 	3.0076 
2017 	10 	0.1100 	1.9333 
2017 	11 	0.1600 	1.4333 
2017 	12 	0.1338 	0.4333 
2018 	3 	0.2400 	1.4608 
2018 	4 	0.2100 	0.7694 
2018 	5 	0.2500 	0.6193 
2018 	8 	0.2400 	5.7374 
2018 	9 	0.3000 	6.8654 
2018 	10 	0.3400 	3.1000 
2018 	11 	0.1000 	2.1333 
2018 	12 	0.2400 	0.6667 
2019 	3 	0.1096 	0.7308 
2019 	4 	0.1700 	0.5615 
2019 	5 	0.1200 	0.8750 
2019 	6 	0.2300 	0.0000 
2019 	7 	0.1086 	32.3031 
2019 	8 	0.1086 	189.4978 
2019 	9 	0.1300 	26.0583 
2019 	10 	0.0400 	2.5000 
2019 	11 	0.0300 	2.0000 
2019 	12 	0.0400 	1.4333 
2020 	1 	0.1600 	0.8000 
2020 	2 	0.2130 	0.8667 
2020 	3 	0.3650 	1.4846 
2020 	4 	0.0533 	1.0233 
2020 	5 	0.0544 	4.6588 
2020 	6 	0.1523 	2.6917 
2020 	7 	0.1125 	0.5920 
2020 	8 	0.1125 	54.6029 
2020 	9 	0.1348 	107.5709 
2020 	10 	0.0327 	5.0667 
2020 	11 	0.0704 	3.2333 
2020 	12 	0.0277 	2.4133 
