Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.1800 	14.3385 
2015 	4 	0.2500 	18.1467 
2015 	5 	0.1900 	131.9300 
2015 	6 	0.1700 	44.4677 
2015 	7 	0.1700 	49.7321 
2015 	8 	0.1600 	148.8935 
2015 	9 	0.2000 	21.0409 
2015 	10 	0.1000 	13.5667 
2015 	11 	0.2000 	12.3667 
2015 	12 	0.1800 	10.8000 
2016 	3 	0.1938 	11.3769 
2016 	4 	0.3300 	13.3371 
2016 	5 	0.2800 	202.8125 
2016 	6 	0.0900 	53.3000 
2016 	7 	0.1700 	97.9707 
2016 	8 	0.1300 	95.4648 
2016 	9 	0.1300 	63.6810 
2016 	10 	0.2700 	18.8333 
2016 	11 	0.1500 	14.8333 
2016 	12 	0.1938 	15.2000 
2017 	3 	0.1125 	24.6923 
2017 	4 	0.1950 	33.3000 
2017 	5 	0.1150 	129.6821 
2017 	6 	0.1550 	125.4088 
2017 	7 	0.0700 	60.1914 
2017 	8 	0.1000 	26.5527 
2017 	9 	0.0950 	21.8714 
2017 	10 	0.0800 	17.6000 
2017 	11 	0.0900 	15.8000 
2017 	12 	0.1125 	14.0000 
2018 	3 	0.1131 	12.9538 
2018 	4 	0.2200 	11.9543 
2018 	5 	0.2400 	187.4677 
2018 	6 	0.0050 	62.2091 
2018 	7 	0.1200 	34.7773 
2018 	8 	0.1000 	68.8767 
2018 	9 	0.0600 	27.0433 
2018 	10 	0.0800 	17.3400 
2018 	11 	0.0800 	13.5333 
2018 	12 	0.1131 	15.2333 
2019 	2 	0.0890 	22.1667 
2019 	3 	0.1500 	14.7308 
2019 	4 	0.1300 	19.6927 
2019 	5 	0.0600 	230.5278 
2019 	6 	0.0500 	71.7081 
2019 	7 	0.0800 	41.7918 
2019 	8 	0.0500 	133.4130 
2019 	9 	0.0500 	119.7462 
2019 	10 	0.0800 	14.2000 
2020 	1 	0.1200 	8.5000 
2020 	2 	0.1030 	7.1333 
2020 	3 	0.1030 	8.1538 
2020 	4 	0.1160 	38.5271 
2020 	5 	0.1338 	218.1079 
2020 	6 	0.1425 	100.5683 
2020 	7 	0.1372 	87.4568 
2020 	8 	0.1103 	109.3438 
2020 	9 	0.1032 	515.6522 
2020 	10 	0.1124 	77.7333 
2020 	11 	0.0435 	16.9600 
2020 	12 	0.1032 	16.6000 
