Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0826 	4.8867 
2015 	4 	0.1400 	5.1000 
2015 	5 	0.0800 	32.1857 
2015 	6 	0.0600 	17.4259 
2015 	7 	0.1600 	20.6783 
2015 	8 	0.0650 	10.5001 
2015 	11 	0.0980 	3.3733 
2015 	12 	0.0826 	2.1967 
2016 	3 	0.1604 	13.2713 
2016 	4 	0.1310 	3.4497 
2016 	5 	0.1790 	9.7658 
2016 	6 	0.2100 	6.6747 
2016 	7 	0.0830 	21.2478 
2016 	8 	0.2800 	10.6994 
2016 	9 	0.1000 	6.2352 
2016 	10 	0.2000 	4.8533 
2016 	11 	0.1000 	5.4800 
2016 	12 	0.1604 	2.1333 
2017 	3 	0.1338 	2.1531 
2017 	4 	0.0900 	4.0533 
2017 	5 	0.1400 	20.9832 
2017 	6 	0.0600 	11.5125 
2017 	7 	0.1000 	4.4848 
2017 	8 	0.0800 	70.0196 
2017 	9 	0.0700 	32.4857 
2017 	10 	0.4600 	5.6200 
2017 	11 	0.0700 	3.0533 
2017 	12 	0.1338 	3.2800 
2018 	3 	0.0663 	9.4200 
2018 	4 	0.0700 	8.2080 
2018 	5 	0.0700 	38.7906 
2018 	6 	0.0500 	75.5559 
2018 	7 	0.0700 	16.3109 
2018 	8 	0.0600 	14.9742 
2018 	9 	0.0900 	12.7943 
2018 	10 	0.0500 	2.1900 
2018 	11 	0.0700 	2.5100 
2018 	12 	0.0663 	2.0333 
2019 	1 	0.1700 	2.0533 
2019 	2 	0.0900 	2.1267 
2019 	3 	0.0600 	3.1108 
2019 	4 	0.0900 	17.5630 
2019 	5 	0.2000 	37.3037 
2019 	6 	0.2100 	13.7567 
2019 	7 	0.1500 	13.2228 
2019 	8 	0.2000 	37.2023 
2019 	9 	0.1200 	20.8048 
2019 	10 	0.2100 	6.0133 
2019 	11 	0.0800 	4.3600 
2019 	12 	0.0800 	5.9033 
2020 	1 	0.0770 	5.2367 
2020 	2 	0.0350 	4.3033 
2020 	3 	0.0400 	4.0338 
2020 	4 	0.0400 	15.1790 
2020 	5 	0.0457 	30.9677 
2020 	6 	0.0725 	16.6967 
2020 	7 	0.0628 	11.5468 
2020 	8 	0.0593 	20.3119 
2020 	9 	0.0608 	27.1791 
2020 	10 	0.0712 	9.3200 
2020 	11 	0.0864 	5.3933 
2020 	12 	0.1019 	5.5967 
