Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	2 	14 	154.0 	391.008 
2007 	3 	15 	197.0 	399.008 
2007 	4 	18 	176.0 	531.717 
2007 	5 	15 	168.0 	682.050 
2007 	6 	18 	151.0 	792.042 
2007 	8 	15 	144.0 	554.208 
2007 	9 	17 	153.0 	404.125 
2007 	10 	15 	163.0 	415.800 
2007 	11 	14 	176.0 	465.008 
2007 	12 	13 	186.0 	383.717 
2008 	2 	18 	176.0 	365.758 
2008 	3 	17 	171.0 	364.133 
2008 	4 	14 	206.0 	301.675 
2008 	5 	10 	276.0 	1138.300 
2008 	5 	11 	243.0 	1192.508 
2008 	5 	12 	265.0 	1307.383 
2008 	5 	13 	249.0 	1352.842 
2008 	5 	14 	240.0 	1439.217 
2008 	5 	15 	220.0 	1486.633 
2008 	5 	16 	219.0 	1371.133 
2008 	5 	17 	203.0 	1273.800 
2008 	5 	18 	202.0 	1091.300 
2008 	5 	19 	199.0 	1072.717 
2008 	5 	20 	186.0 	984.350 
2008 	5 	21 	194.0 	894.458 
2008 	5 	22 	192.0 	791.000 
2008 	5 	23 	208.0 	740.500 
2008 	5 	24 	183.0 	617.250 
2008 	5 	25 	204.0 	560.542 
2008 	5 	26 	207.0 	624.542 
2008 	5 	27 	199.0 	568.542 
2008 	5 	28 	174.0 	522.292 
2008 	5 	29 	167.0 	484.458 
2008 	5 	30 	182.0 	480.333 
2008 	5 	31 	166.0 	486.917 
2008 	6 	1 	162.0 	380.583 
2008 	6 	2 	168.0 	519.292 
2008 	6 	3 	192.0 	518.208 
2008 	6 	4 	179.0 	631.042 
2008 	6 	5 	166.0 	637.167 
2008 	6 	6 	171.0 	666.167 
2008 	6 	7 	161.0 	671.417 
2008 	6 	8 	155.0 	612.375 
2008 	6 	16 	201.0 	872.408 
2008 	7 	21 	140.0 	336.875 
2008 	8 	18 	218.0 	302.583 
2008 	9 	15 	205.0 	384.708 
2008 	10 	15 	169.0 	398.217 
2008 	11 	19 	197.0 	363.717 
2008 	12 	15 	176.0 	372.467 
2009 	1 	15 	208.0 	354.633 
2009 	2 	16 	150.0 	348.925 
2009 	3 	16 	149.0 	352.592 
2009 	4 	15 	228.0 	272.675 
2009 	4 	20 	233.0 	167.842 
2009 	4 	21 	236.0 	264.133 
2009 	4 	22 	215.0 	222.467 
