Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	4.0 	433.150 
2007 	2 	15 	2.0 	633.351 
2007 	3 	15 	3.0 	517.748 
2007 	4 	16 	11.0 	370.286 
2007 	5 	21 	7.0 	1095.999 
2007 	6 	19 	9.0 	777.869 
2007 	7 	16 	6.0 	409.867 
2007 	8 	15 	3.0 	527.611 
2007 	9 	17 	5.0 	314.709 
2007 	10 	15 	4.0 	452.894 
2007 	11 	16 	4.0 	403.573 
2007 	12 	6 	5.0 	405.454 
2008 	1 	15 	4.0 	632.628 
2008 	2 	14 	3.0 	642.423 
2008 	3 	18 	4.0 	513.363 
2008 	4 	15 	3.0 	569.260 
2008 	5 	14 	16.0 	1190.593 
2008 	7 	15 	3.0 	602.060 
2008 	9 	18 	5.0 	472.757 
2008 	10 	23 	7.0 	474.007 
2008 	11 	17 	4.0 	471.125 
2009 	1 	14 	3.0 	535.104 
2009 	2 	17 	4.0 	643.291 
2009 	3 	16 	3.0 	647.484 
2009 	4 	15 	2.0 	378.382 
2009 	5 	18 	9.0 	654.526 
2009 	7 	15 	6.0 	283.322 
2009 	8 	13 	7.0 	319.005 
2009 	10 	26 	5.0 	350.582 
2009 	11 	19 	4.0 	352.869 
2009 	12 	15 	4.0 	492.810 
2010 	1 	14 	2.0 	749.627 
2010 	2 	16 	3.0 	533.080 
2010 	3 	17 	3.0 	373.205 
2010 	4 	15 	4.0 	340.422 
2010 	5 	18 	12.0 	658.628 
2010 	7 	13 	9.0 	284.482 
2010 	8 	30 	7.0 	242.585 
2010 	9 	15 	7.0 	410.360 
2010 	10 	29 	5.0 	485.159 
2010 	11 	18 	4.0 	550.446 
2010 	12 	27 	3.0 	291.546 
2011 	2 	1 	3.0 	584.955 
2011 	2 	16 	3.0 	700.244 
2011 	3 	21 	3.0 	308.912 
2011 	4 	12 	3.0 	275.306 
2011 	5 	16 	7.0 	309.243 
2011 	6 	15 	9.0 	406.201 
2011 	7 	13 	10.0 	321.890 
2011 	8 	17 	7.0 	454.852 
2011 	9 	20 	10.0 	1053.040 
2011 	10 	14 	13.0 	974.234 
2011 	11 	15 	6.0 	533.594 
2011 	12 	15 	10.0 	567.377 
2012 	1 	16 	4.0 	321.259 
2012 	2 	15 	3.0 	763.051 
2012 	3 	14 	3.0 	741.603 
2012 	4 	16 	7.0 	769.728 
2012 	5 	23 	9.0 	1021.133 
2012 	6 	14 	12.0 	711.366 
2012 	7 	25 	6.0 	410.779 
2012 	8 	23 	6.0 	484.299 
2012 	9 	17 	6.0 	486.876 
2012 	10 	16 	11.0 	773.283 
2012 	11 	14 	6.0 	509.507 
2013 	1 	16 	4.0 	771.690 
2013 	2 	14 	3.0 	761.419 
2013 	3 	18 	3.0 	603.509 
2013 	4 	17 	2.0 	636.644 
2013 	5 	20 	10.0 	984.543 
2013 	6 	11 	11.0 	564.898 
2013 	7 	15 	7.0 	422.287 
2013 	8 	19 	7.0 	475.912 
2013 	9 	18 	5.0 	486.608 
2013 	10 	21 	6.0 	643.609 
2013 	11 	13 	5.0 	498.254 
2013 	12 	16 	4.0 	487.316 
2014 	1 	23 	3.3 	639.813 
2014 	2 	17 	2.9 	491.165 
2014 	3 	19 	3.9 	538.941 
2014 	4 	15 	3.3 	427.768 
2014 	5 	16 	5.2 	686.362 
2014 	6 	17 	9.1 	653.355 
2014 	8 	19 	5.7 	374.800 
2014 	9 	16 	5.6 	366.817 
2014 	10 	16 	6.1 	457.630 
2014 	11 	17 	4.0 	366.587 
2014 	12 	14 	2.2 	385.959 
2015 	1 	22 	3.6 	579.330 
2015 	2 	16 	3.0 	502.013 
2015 	3 	17 	3.8 	480.914 
2015 	4 	15 	4.4 	395.986 
2015 	5 	21 	7.6 	980.988 
2015 	6 	11 	17.3 	874.263 
2015 	7 	15 	12.2 	420.290 
2015 	8 	14 	8.4 	826.389 
2015 	9 	22 	7.3 	727.095 
2015 	10 	15 	5.1 	816.466 
2015 	11 	20 	5.2 	788.526 
2015 	12 	14 	3.8 	550.150 
2016 	1 	18 	2.2 	683.804 
2016 	2 	23 	2.1 	678.469 
2016 	4 	7 	1.9 	575.903 
2016 	5 	26 	7.9 	681.792 
2016 	6 	15 	8.2 	534.535 
2016 	7 	14 	8.5 	652.929 
2016 	8 	16 	7.3 	618.082 
2016 	9 	21 	4.8 	581.960 
2016 	10 	18 	5.1 	499.081 
2016 	11 	16 	3.4 	565.755 
2016 	12 	19 	3.2 	514.962 
2017 	1 	16 	2.9 	551.477 
2017 	2 	20 	2.4 	393.835 
2017 	3 	13 	2.8 	410.894 
2017 	4 	18 	1.4 	423.340 
2017 	5 	17 	8.9 	425.461 
2017 	6 	14 	8.0 	450.292 
2017 	7 	11 	8.2 	482.025 
2017 	8 	14 	7.6 	580.681 
2017 	9 	19 	17.7 	725.743 
2017 	10 	16 	5.6 	664.948 
2017 	11 	13 	3.6 	510.206 
2017 	12 	18 	3.2 	641.580 
2018 	1 	15 	6.6 	545.880 
2018 	2 	19 	3.2 	646.162 
2018 	3 	12 	2.1 	693.928 
2018 	4 	16 	3.0 	377.222 
2018 	5 	21 	11.7 	712.619 
2018 	6 	18 	7.5 	372.673 
2018 	7 	11 	5.4 	448.011 
2018 	8 	8 	5.9 	424.372 
2018 	9 	17 	6.0 	593.400 
2018 	10 	15 	4.1 	293.393 
2018 	11 	12 	3.6 	332.210 
2018 	12 	19 	3.5 	625.464 
