Year	Month	Day	Conc_μg_l	Q_m3_s			
2007 	1 	11 	151.0 	44.723 			
2007 	2 	14 	92.0 	22.528 			
2007 	3 	13 	61.0 	26.842 			
2007 	4 	12 	64.0 	12.507 			
2007 	5 	15 	43.0 	4.776 			
2007 	6 	13 	68.0 	2.830 			
2007 	7 	16 	59.0 	32.031 			
2007 	8 	13 	87.0 	12.074 			
2007 	9 	12 	84.0 	8.929 			
2007 	10 	16 	57.0 	10.952 			
2007 	11 	12 	97.0 	11.876 			
2007 	12 	11 	125.0 	35.327 			
2008 	1 	14 	74.0 	18.830 			
2008 	2 	18 	79.0 	13.545 			
2008 	3 	13 	74.0 	27.566 			
2008 	4 	14 	48.0 	22.253 			
2008 	5 	19 	54.0 	4.770 			
2008 	6 	17 	67.0 	3.042 			
2008 	7 	14 	65.0 	2.446 			
2008 	8 	27 	74.0 	5.833 			
2008 	9 	15 	70.0 	3.210 			
2008 	10 	14 	73.0 	3.950 			
2008 	11 	17 	59.0 	14.968 			
2008 	12 	15 	106.0 	25.349 			
2009 	1 	15 	118.0 	16.340 			
2009 	2 	16 	76.0 	10.480 			
2009 	3 	17 	67.0 	13.656 			
2009 	4 	15 	42.0 	5.373 			
2009 	5 	19 	63.0 	3.132 			
2009 	6 	15 	87.0 	5.278 			
2009 	7 	15 	95.0 	2.014 			
2009 	8 	24 	69.0 	2.545 			
2009 	9 	21 	73.0 	2.910 			
2009 	10 	15 	74.0 	3.169 			
2009 	11 	17 	82.0 	7.135 			
2009 	12 	31 	71.0 	12.798 			
2010 	1 	18 	78.0 	7.975 			
2010 	2 	17 	72.0 	6.458 			
2010 	3 	15 	94.0 	11.326 			
2010 	4 	13 	43.0 	8.823 			
2010 	5 	18 	51.0 	5.408 			
2010 	6 	15 	78.0 	3.729 			
2010 	7 	14 	129.0 	2.574 			
2010 	8 	16 	128.0 	5.746 			
2010 	9 	15 	74.0 	5.472 			
2010 	10 	14 	52.0 	4.624 			
2010 	11 	16 	60.0 	11.454 			
2010 	12 	13 	78.0 	21.697 			
2011 	1 	13 	61.0 	19.369 			
2011 	2 	16 	68.0 	34.787 			
2011 	3 	14 	73.0 	15.675 			
2011 	4 	11 	40.0 	11.811 			
2011 	5 	16 	58.0 	4.668 			
2011 	6 	16 	82.0 	3.184 			
2011 	7 	18 	84.0 	3.689 			
2011 	8 	17 	81.0 	14.214 			
2011 	9 	20 	76.0 	11.820 			
2011 	10 	20 	78.0 	9.649 			
2011 	11 	29 	70.0 	9.573 			
2011 	12 	14 	77.0 	14.561 			
2012 	1 	17 	76.0 	26.017 			
2012 	2 	16 	59.0 	12.074 			
2012 	3 	20 	56.0 	10.322 			
2012 	4 	24 	49.0 	6.525 			
2012 	5 	21 	56.0 	4.441 			
2012 	6 	12 	67.0 	3.250 			
2012 	7 	16 	75.0 	3.382 			
2012 	8 	15 	70.0 	3.264 			
2012 	9 	13 	87.0 	3.734 			
2012 	10 	22 	85.0 	4.842 			
2012 	11 	15 	85.0 	10.707 			
2012 	12 	12 	78.0 	7.798 			
2013 	1 	16 	76.0 	17.557 			
2013 	2 	21 	68.0 	23.420 			
2013 	3 	21 	69.0 	6.906 			
2013 	4 	24 	51.0 	3.918 			
2013 	5 	27 	79.0 	2.788 			
2013 	6 	25 	83.0 	2.359 			
2013 	7 	17 	64.0 	2.067 			
2013 	8 	20 	74.0 	1.796 			
2013 	9 	18 	63.0 	2.180 			
2013 	10 	21 	74.0 	4.059 			
2013 	11 	20 	57.0 	6.730 			
2013 	12 	17 	58.0 	12.930 			
2014 	1 	15 	80.0 	36.742 			
2014 	2 	18 	56.7 	23.771 			
2014 	3 	20 	55.3 	8.946 			
2014 	4 	15 	61.2 	9.435 			
2014 	5 	15 	63.2 	7.997 			
2014 	6 	17 	72.1 	3.014 			
2014 	7 	16 	86.2 	2.830 			
2014 	8 	13 	78.6 	1.830 			
2014 	9 	15 	61.9 	3.485 			
2014 	10 	14 	80.4 	7.269 			
2014 	11 	25 	78.1 	9.705 			
2014 	12 	15 	83.1 	13.831 			
2015 	1 	19 	85.0 	40.892 			
2015 	2 	18 	63.9 	12.099 			
2015 	3 	16 	55.0 	10.776 			
2015 	4 	15 	41.5 	8.992 			
2015 	5 	12 	48.9 	5.273 			
2015 	6 	15 	68.3 	3.757 			
2015 	7 	14 	69.8 	3.183 			
2015 	8 	17 	70.1 	2.137 			
2015 	9 	15 	68.0 	3.141 			
2015 	10 	19 	52.4 	3.206 			
2015 	11 	23 	103.0 	11.699 			
2015 	12 	15 	70.4 	19.437 			
2016 	1 	18 	69.0 	13.018 			
2016 	2 	15 	70.6 	25.843 			
