Year      Month     Day       Conc_mg/l Q_cfs     
2008      2         28        1.4       225       
2008      4         28        1.19      695       
2008      5         19        0.372     649       
2008      6         16        0.832     313       
2008      7         1         0.561     243       
2008      8         13        1.31      221       
2008      8         27        1.81      2040      
2008      9         10        2.28      1120      
2008      9         24        1.59      886       
2008      10        29        1.28      3810      
2008      11        13        1.95      741       
2008      12        3         2.0       318       
2009      2         25        1.77      295       
2009      4         8         1.03      203       
2009      6         17        1.09      214       
2009      7         1         0.722     427       
2009      7         13        0.636     144       
2009      8         11        0.69      78        
2009      8         31        1.0       367       
2009      9         15        1.16      822       
2009      9         30        1.4       656       
2009      10        28        1.15      265       
2009      11        17        1.04      329       
2009      12        16        2.04      490       
2010      2         2         2.08      402       
2010      4         29        2.04      406       
2010      6         23        1.06      198       
2010      8         23        1.22      5370      
2010      8         31        1.64      2360      
2010      9         9         1.29      4340      
2010      9         15        0.945     6430      
2010      9         21        0.919     6390      
2010      9         28        0.958     6220      
2010      11        30        1.44      1460      
2010      12        30        1.01      911       
2011      1         20        1.32      1650      
2011      2         23        1.06      1670      
2011      4         27        0.923     628       
2011      6         21        0.947     238       
2011      7         12        1.27      1310      
2011      7         26        0.774     213       
2011      8         9         0.901     381       
2011      8         24        0.77      203       
2011      9         7         0.806     225       
2011      9         20        0.816     297       
2011      10        12        0.846     558       
2011      11        15        1.01      241       
2011      12        20        1.38      431       
2012      2         16        1.46      533       
2012      4         23        0.917     137       
2012      6         11        0.798     150       
2012      7         17        1.05      299       
2012      7         30        1.12      174       
2012      8         6         1.29      57        
2012      8         21        1.03      142       
2012      9         5         1.18      335       
2012      9         17        1.24      463       
2012      10        16        1.07      338       
2012      11        13        0.7       321       
2012      12        18        1.44      283       
2013      2         12        1.29      260       
2013      4         23        0.861     110       
2013      6         13        1.43      127       
2013      7         9         1.13      195       
2013      7         23        1.06      335       
2013      8         6         1.22      129       
2013      8         20        1.07      170       
2013      9         4         1.08      214       
2013      9         17        1.19      607       
2013      10        29        1.59      159       
2013      11        13        1.99      336       
2013      12        10        2.97      329       
2014      2         4         1.88      200       
2014      4         11        1.22      32        
2014      6         4         1.19      156       
2014      7         8         1.03      49        
2014      7         22        1.21      121       
2014      8         5         1.44      34        
2014      8         19        0.8       360       
2014      9         3         0.985     420       
2014      9         23        1.53      381       
2014      10        21        1.23      319       
2014      11        18        1.62      237       
2014      12        16        1.82      313       
2015      2         19        1.82      87        
2015      4         15        1.43      291       
2015      6         9         1.62      3710      
2015      7         8         1.24      2210      
2015      8         19        0.932     107       
2015      9         10        0.905     133       
2015      9         23        1.08      276       
2015      10        21        1.11      288       
2015      11        18        1.28      267       
2015      12        1         1.71      243       
2016      2         17        1.46      272       
2016      4         20        0.929     547       
2016      6         15        1.46      413       
2016      7         7         0.968     259       
2016      7         20        1.16      232       
2016      8         2         1.01      274       
2016      8         18        0.993     130       
2016      9         8         0.989     181       
2016      9         22        0.917     158       
2016      10        12        1.22      107       
2016      11        8         0.925     135       
2016      12        6         1.8       234       
2017      2         7         1.1       297       
2017      4         4         1.36      35        
2017      6         7         0.815     323       
2017      7         11        0.655     319       
2017      7         25        0.75      158       
2017      8         8         0.917     228       
2017      8         22        0.827     147       
2017      9         6         0.912     173       
2017      9         19        0.749     105       
2017      10        18        0.975     260       
2017      11        14        1.41      215       
2017      12        12        1.08      243       
2018      4         10        1.09      395       
2018      6         12        0.722     190       
2018      7         10        0.821     587       
2018      7         25        0.564     49        
2018      8         8         0.671     303       
2018      8         21        0.743     258       
2018      9         7         1.19      246       
2018      9         18        1.07      891       
2018      10        16        0.737     187       
2018      11        14        0.744     56        
2018      12        11        1.61      105       
