Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         1.61      124000    
2008      1         23        1.67      96200     
2008      2         6         1.95      373000    
2008      2         20        1.97      221000    
2008      3         5         2.1       394000    
2008      3         24        1.8       552000    
2008      4         15        1.52      208000    
2008      5         14        1.74      270000    
2008      6         24        2.15      36400     
2008      8         12        1.42      8200      
2008      11        3         1.38      15300     
2008      12        8         1.55      38600     
2009      1         12        2.23      301000    
2009      1         26        1.27      49400     
2009      2         9         1.61      187000    
2009      2         23        2.25      168000    
2009      3         9         1.57      93200     
2009      3         23        1.34      114000    
2009      4         6         1.26      222000    
2009      5         11        1.59      458000    
2009      6         1         1.33      136000    
2009      11        3         1.56      155000    
2009      12        7         1.24      129000    
2010      1         4         1.5       132000    
2010      1         25        1.79      278000    
2010      2         8         1.88      266000    
2010      2         22        1.15      121000    
2010      3         15        2.41      359000    
2010      3         29        1.69      278000    
2010      4         19        1.44      64100     
2010      5         24        1.53      244000    
2010      6         14        1.93      213000    
2010      8         2         1.23      23700     
2010      10        18        1.4       15200     
2010      12        6         2.7       292000    
2011      1         3         1.78      140000    
2011      1         18        1.72      49400     
2011      2         7         2.14      174000    
2011      2         22        1.97      180000    
2011      3         7         2.5       528000    
2011      3         28        1.69      281000    
2011      5         10        1.5       421000    
2011      5         23        1.44      302000    
2011      6         13        1.33      93000     
2011      8         18        1.18      51300     
2011      10        17        1.55      124000    
2011      12        5         1.81      410000    
2012      1         9         1.43      125000    
2012      1         23        1.61      277000    
2012      2         6         1.57      216000    
2012      2         21        1.38      153000    
2012      3         5         1.58      391000    
2012      3         19        1.41      238000    
2012      4         16        1.1       73300     
2012      5         21        1.47      92700     
2012      6         4         1.27      69500     
2012      8         22        1.07      14200     
2012      10        30        1.45      25600     
2012      12        11        2.22      247000    
2013      1         28        1.44      94700     
2013      2         12        1.78      174000    
2013      2         27        1.44      112000    
2013      3         12        1.65      247000    
2013      3         27        1.78      200000    
2013      4         9         1.33      116000    
2013      4         24        2.01      194000    
2013      5         7         1.73      197000    
2013      5         21        1.27      93800     
2013      6         4         1.13      75800     
2013      8         13        1.37      139000    
2013      10        21        1.38      41400     
2013      12        10        2.6       380000    
2014      1         14        1.81      274000    
2014      1         28        1.67      62500     
2014      2         10        2.04      383000    
2014      2         25        2.7       462000    
2014      3         5         1.84      174000    
2014      3         25        1.75      144000    
2014      4         8         2.69      472000    
2014      4         30        1.78      240000    
2014      5         12        1.49      172000    
2014      5         29        1.8       131000    
2014      6         17        1.79      135000    
2014      8         14        1.6       91500     
2014      10        15        2.02      119000    
2014      12        16        2.75      102000    
2015      1         13        1.44      82800     
2015      3         12        1.94      594000    
2015      4         7         2.35      486000    
2015      4         21        1.4       382000    
2015      5         29        0.867     49800     
2015      6         9         1.41      37000     
2015      7         7         2.11      233000    
2015      8         7         1.23      41100     
2015      10        21        1.02      24100     
2015      12        8         1.43      130000    
2016      1         4         2.1       303000    
2016      1         21        1.66      99000     
2016      2         4         2.22      365000    
2016      2         24        1.63      370000    
2016      3         9         1.98      182000    
2016      3         22        1.62      173000    
2016      4         5         1.79      118000    
2016      4         26        1.71      69000     
2016      5         10        1.42      211000    
2016      5         25        1.8       198000    
2016      8         9         1.76      39300     
2016      9         7         2.17      3820      
2016      9         8         1.85      19200     
2016      10        25        2.14      117000    
2016      12        6         2.05      70100     
2017      1         4         2.18      160000    
2017      1         26        2.25      283000    
2017      2         2         1.83      160000    
2017      2         22        1.67      108000    
2017      3         9         2.06      213000    
2017      4         13        1.53      255000    
2017      4         28        1.25      220000    
2017      5         16        1.84      261000    
2017      5         31        2.15      211000    
2017      6         29        2.27      178000    
2017      8         15        1.21      48200     
2017      10        17        1.5       27900     
2017      12        11        1.61      56700     
2018      2         26        1.91      761000    
2018      3         14        1.59      178000    
2018      3         28        1.4       248000    
2018      4         10        1.53      523000    
2018      4         24        1.39      336000    
2018      5         8         1.16      176000    
2018      6         12        1.38      93800     
2018      8         7         1.19      88200     
2018      9         5         1.23      40000     
2018      10        25        1.2       79200     
2018      12        6         1.65      322000    
