Year      Month     Day       Conc_mg/l Q_cfs     
2008      3         11        3.78      27800     
2008      4         2         3.71      68700     
2008      4         23        3.62      153000    
2008      4         29        3.75      194000    
2008      5         22        3.75      102000    
2008      6         4         4.0       73600     
2008      6         17        4.19      183000    
2008      7         10        3.96      70000     
2008      7         23        2.94      48800     
2008      8         19        1.59      29600     
2008      9         3         1.55      24900     
2008      10        21        1.82      29300     
2008      11        24        1.98      30400     
2009      3         5         3.28      36100     
2009      3         30        2.67      80200     
2009      4         8         3.06      101000    
2009      4         28        2.36      79200     
2009      5         11        1.81      62900     
2009      5         27        2.06      44300     
2009      6         10        2.12      41200     
2009      7         8         2.2       27000     
2009      10        26        2.7       54700     
2009      11        30        3.54      45800     
2010      3         8         2.96      39000     
2010      4         8         5.93      127000    
2010      4         21        3.42      68700     
2010      5         5         2.52      53400     
2010      5         18        3.57      68300     
2010      6         2         2.6       46000     
2010      6         28        3.23      93400     
2010      7         15        3.47      80600     
2010      8         17        2.22      81400     
2010      9         28        2.2       100000    
2010      10        4         2.06      179000    
2010      11        30        3.06      59800     
2011      3         7         3.28      69900     
2011      3         22        4.28      92800     
2011      4         5         4.53      164000    
2011      4         21        3.28      228000    
2011      5         3         3.22      159000    
2011      5         19        2.51      122000    
2011      6         7         2.78      109000    
2011      6         21        3.35      81600     
2011      7         13        3.88      86500     
2011      8         16        1.66      90700     
2011      10        31        1.57      28800     
2011      11        28        2.12      29800     
2012      3         7         2.62      42100     
2012      3         28        1.59      65900     
2012      4         11        1.93      36800     
2012      4         30        1.95      55700     
2012      5         9         2.01      78000     
2012      5         30        3.19      62800     
2012      6         12        3.15      108000    
2012      6         26        2.69      89800     
2012      7         23        1.48      39200     
2012      8         20        1.26      23200     
2012      10        3         1.16      13700     
2012      12        3         1.72      18000     
2013      2         27        2.83      18000     
2013      3         7         2.61      20200     
2013      3         25        3.08      35600     
2013      4         2         2.98      62300     
2013      4         17        3.79      141000    
2013      5         1         3.27      132000    
2013      5         13        3.8       157000    
2013      6         5         3.87      145000    
2013      6         20        3.44      105000    
2013      7         2         3.88      153000    
2013      7         16        3.96      98800     
2013      8         13        1.85      31900     
2013      10        28        1.7       39700     
2013      12        2         2.13      27400     
2014      3         11        2.95      31000     
2014      3         24        3.28      61800     
2014      4         16        4.06      114000    
2014      4         29        2.52      133000    
2014      5         6         2.23      143000    
2014      5         19        2.98      155000    
2014      6         10        2.06      110000    
2014      6         23        5.06      153000    
2014      7         9         4.9       172000    
2014      7         21        3.17      93000     
2014      8         12        1.74      36000     
2014      9         18        1.53      97500     
2014      10        15        1.66      55400     
2014      12        2         2.42      41200     
2015      2         9         2.68      31500     
2015      3         9         2.94      27400     
2015      3         24        2.55      56800     
2015      4         6         2.12      41200     
2015      4         20        2.54      69200     
2015      5         4         1.74      38900     
2015      5         18        1.54      47600     
2015      6         1         2.44      83800     
2015      6         15        3.19      100000    
2015      7         6         3.38      56100     
2015      7         20        3.12      60500     
2015      8         10        1.71      33800     
2015      11        16        1.98      45400     
2016      2         16        4.32      34700     
2016      3         7         3.54      57500     
2016      3         21        4.59      91700     
2016      4         4         3.72      110000    
2016      4         18        3.99      76700     
2016      5         9         2.89      88800     
2016      6         20        5.16      82900     
2016      7         25        2.59      101000    
2016      8         8         2.77      81900     
2016      10        17        4.27      90600     
2016      11        14        4.1       63600     
2017      2         13        3.51      61800     
2017      3         6         3.19      140000    
2017      3         20        3.46      84700     
2017      4         10        3.62      84500     
2017      4         24        3.32      119000    
2017      5         15        3.11      118000    
2017      5         30        2.52      166000    
2017      6         12        4.1       91800     
2017      6         26        3.27      105000    
2017      7         10        2.98      57700     
2017      7         27        2.91      107000    
2017      8         14        1.62      45800     
2017      10        23        2.72      103000    
2017      12        4         3.06      47400     
2018      2         20        3.64      50300     
2018      3         7         2.86      46700     
2018      3         19        3.21      43900     
2018      4         10        3.52      64500     
2018      4         23        3.86      81600     
2018      5         7         3.11      172000    
2018      5         21        2.76      123000    
2018      6         4         2.74      70900     
2018      6         18        4.27      79000     
2018      7         9         4.02      121000    
2018      7         23        3.26      103000    
2018      8         6         2.0       60000     
2018      10        22        3.16      154000    
2018      12        3         3.68      62200     
