Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         4         1.46      50500     
2008      1         14        1.33      110000    
2008      1         16        1.13      82000     
2008      2         6         1.81      66500     
2008      2         9         1.41      203000    
2008      2         21        1.68      97800     
2008      3         6         2.74      311000    
2008      3         9         1.63      217000    
2008      3         19        1.26      94500     
2008      3         24        1.13      122000    
2008      4         3         1.07      75500     
2008      5         6         1.21      55900     
2008      6         2         1.37      26500     
2008      7         1         1.46      11500     
2008      8         5         1.02      12000     
2008      9         10        1.08      8930      
2008      10        8         1.42      10400     
2008      11        13        1.52      15900     
2008      12        2         1.38      28600     
2008      12        13        1.67      79900     
2009      1         1         1.51      90200     
2009      1         8         1.43      54000     
2009      1         22        1.81      22300     
2009      2         5         2.07      25200     
2009      2         17        1.22      78400     
2009      3         4         1.43      39000     
2009      3         12        1.02      130000    
2009      3         18        1.02      47500     
2009      4         6         1.32      65700     
2009      4         9         1.33      56500     
2009      5         15        1.43      32900     
2009      6         3         1.9       33300     
2009      7         8         1.19      24200     
2009      8         5         1.25      33800     
2009      9         2         1.19      31000     
2009      10        7         1.69      15800     
2009      10        27        1.65      79700     
2009      11        4         1.41      49900     
2009      12        2         1.52      27900     
2009      12        28        1.81      81500     
2010      1         7         1.8       22300     
2010      1         22        1.89      54300     
2010      1         26        1.78      173000    
2010      1         27        2.43      288000    
2010      2         4         1.46      50400     
2010      3         3         2.4       27000     
2010      3         15        1.84      227000    
2010      3         17        1.52      188000    
2010      4         7         1.23      58700     
2010      5         5         1.09      39400     
2010      6         3         1.38      19100     
2010      7         6         1.28      9350      
2010      7         15        1.2       22500     
2010      8         3         1.51      7540      
2010      9         1         1.33      17100     
2010      10        3         1.65      101000    
2010      10        6         1.53      61100     
2010      11        3         1.1       24000     
2010      12        3         1.98      262000    
2010      12        7         1.19      94100     
2011      1         6         1.7       15300     
2011      1         19        1.75      8110      
2011      2         3         1.85      22400     
2011      2         17        2.11      26300     
2011      3         2         1.8       115000    
2011      3         8         1.92      270000    
2011      3         12        4.66      414000    
2011      3         16        1.34      164000    
2011      4         6         1.4       71300     
2011      4         18        1.81      251000    
2011      4         30        1.47      318000    
2011      5         3         1.14      144000    
2011      5         20        1.44      123000    
2011      6         2         1.14      78800     
2011      7         6         1.17      20200     
2011      8         3         1.29      6120      
2011      8         30        1.43      68700     
2011      8         31        1.39      68100     
2011      9         8         9.57      592000    
2011      9         10        2.83      493000    
2011      9         11        3.28      356000    
2011      9         12        1.87      227000    
2011      9         14        1.35      130000    
2011      9         21        1.72      36000     
2011      9         29        1.6       188000    
2011      10        4         1.25      125000    
2011      11        2         1.41      64700     
2011      12        6         1.32      52900     
2011      12        9         1.56      126000    
2012      1         5         1.36      55800     
2012      1         18        1.42      63100     
2012      2         1         1.39      84400     
2012      2         22        1.53      25900     
2012      3         7         1.13      64600     
2012      3         21        1.11      43500     
2012      4         3         1.29      31500     
2012      5         9         0.971     51100     
2012      5         18        1.37      81200     
2012      6         5         1.76      53000     
2012      7         2         1.28      12600     
2012      8         7         1.36      6170      
2012      9         6         1.12      7310      
2012      9         20        1.28      28100     
2012      10        2         1.49      27400     
2012      10        31        1.82      97800     
2012      11        1         2.06      109000    
2012      11        2         2.56      104000    
2012      12        6         1.72      12700     
2013      1         3         1.59      40900     
2013      1         15        1.73      64400     
2013      1         17        1.62      106000    
2013      2         1         1.99      135000    
2013      2         5         1.5       90400     
2013      2         20        1.82      33500     
2013      3         5         1.89      31100     
2013      3         14        1.67      64400     
2013      3         19        1.29      57100     
2013      4         2         1.39      37700     
2013      4         15        1.09      86300     
2013      4         17        1.1       79600     
2013      5         1         1.15      34300     
2013      5         13        0.963     52100     
2013      5         15        1.4       43000     
2013      6         6         0.902     19700     
2013      7         2         1.07      59500     
2013      8         1         1.09      16700     
2013      8         14        1.02      47100     
2013      9         5         1.26      8260      
2013      10        23        2.73      12800     
2013      11        6         1.94      17800     
2013      12        2         1.48      49300     
2013      12        4         1.72      30600     
2013      12        12        1.82      42800     
2014      1         6         1.62      39200     
2014      1         13        2.06      51600     
2014      1         23        1.5       34300     
2014      2         6         2.25      29200     
2014      2         19        2.47      14200     
2014      2         25        2.59      56900     
2014      3         5         2.21      28500     
2014      3         19        1.54      67700     
2014      4         2         2.02      134000    
2014      4         17        1.34      127000    
2014      5         1         1.64      82800     
2014      5         7         1.52      58400     
2014      5         18        3.41      171000    
2014      5         19        1.65      173000    
2014      5         20        1.27      135000    
2014      5         21        1.31      107000    
2014      6         3         1.38      34600     
2014      7         1         1.37      24800     
2014      8         5         1.41      20100     
2014      9         3         2.39      12900     
2014      10        9         1.35      4560      
2014      11        4         2.04      9030      
2014      12        4         1.26      25900     
2015      1         8         1.29      41800     
2015      1         22        1.67      20400     
