Year      Month     Day       Conc_mg/l Q_cfs         
2008      1         8         1.32      245       
2008      1         23        1.66      28        
2008      2         5         1.61      67        
2008      2         19        1.55      23        
2008      3         4         1.11      20        
2008      3         18        1.42      127       
2008      4         8         0.95      29        
2008      4         22        0.795     51        
2008      5         6         0.792     14        
2008      5         13        0.786     13        
2008      5         20        1.59      35        
2008      5         28        1.08      19        
2008      6         3         1.56      123       
2008      6         10        1.08      12        
2008      6         17        0.993     7         
2008      6         24        0.966     5         
2008      7         1         1.2       9         
2008      7         8         0.964     6         
2008      7         15        1.05      4         
2008      7         22        0.96      4         
2008      7         29        0.908     4         
2008      8         5         0.919     4         
2008      8         12        0.937     4         
2008      8         19        1.73      11        
2008      8         26        1.04      10        
2008      9         3         0.903     5         
2008      9         9         0.997     3         
2008      9         16        1.02      3         
2008      9         23        1.48      8         
2008      9         30        0.869     3         
2008      10        7         0.908     22        
2008      10        21        0.836     11        
2008      10        28        0.89      3         
2008      11        4         1.46      181       
2008      11        11        0.992     59        
2008      11        25        1.18      15        
2008      12        9         1.07      10        
2009      1         6         1.88      98        
2009      2         3         1.29      13        
2009      2         12        1.21      18        
2009      3         3         1.23      65        
2009      3         17        1.55      70        
2009      4         7         1.12      18        
2009      4         21        1.05      14        
2009      5         5         1.66      331       
2009      5         12        1.47      23        
2009      5         19        1.36      56        
2009      5         27        1.14      10        
2009      6         2         1.1       7         
2009      6         9         0.998     8         
2009      6         16        1.16      7         
2009      6         17        0.823     6         
2009      6         23        1.2       7         
2009      6         30        1.14      4         
2009      7         7         1.06      4         
2009      7         8         1.04      3         
2009      7         14        1.1       7         
2009      7         21        1.02      3         
2009      7         22        0.84      3         
2009      7         28        1.0       3         
2009      8         4         0.983     2         
2009      8         5         0.864     3         
2009      8         11        1.04      4         
2009      8         18        1.07      4         
2009      8         19        0.956     3         
2009      8         25        1.84      4         
2009      9         1         0.942     3         
2009      9         3         0.767     3         
2009      9         9         0.886     6         
2009      9         15        0.872     3         
2009      9         16        0.854     2         
2009      9         22        1.01      3         
2009      9         29        0.925     2         
2009      10        6         0.761     4         
2009      10        15        0.933     12        
2009      10        20        0.816     5         
2009      10        28        1.02      16        
2009      11        3         0.845     8         
2009      11        17        1.08      90        
2009      12        8         1.22      9         
2009      12        15        1.5       280       
2010      1         5         1.69      96        
2010      1         20        1.89      54        
2010      2         2         1.44      47        
2010      2         17        1.33      40        
2010      3         2         1.59      32        
2010      3         16        1.45      30        
2010      4         6         1.38      85        
2010      4         20        1.08      19        
2010      5         4         1.02      21        
2010      5         11        0.961     19        
2010      5         18        1.13      21        
2010      5         25        1.07      37        
2010      6         2         1.31      189       
2010      6         8         1.87      82        
2010      6         15        1.43      57        
2010      6         23        1.11      15        
2010      6         29        1.04      9         
2010      7         7         0.907     9         
2010      7         13        1.03      6         
2010      7         20        1.11      5         
2010      7         27        0.972     5         
2010      8         3         0.855     5         
2010      8         11        0.933     5         
2010      8         17        1.03      4         
2010      8         24        0.946     4         
2010      8         31        0.906     3         
2010      9         8         2.14      62        
2010      9         21        1.21      13        
2010      9         28        1.06      6         
2010      10        5         1.15      4         
2010      10        12        1.03      10        
2010      10        19        1.05      4         
2010      10        26        1.31      66        
2010      11        2         1.26      117       
2010      11        16        1.18      20        
2010      12        1         1.16      120       
2010      12        14        1.68      254       
2011      1         19        1.61      157       
2011      2         2         1.64      19        
2011      2         16        1.25      181       
2011      3         2         1.62      251       
2011      3         16        1.37      240       
2011      4         20        1.44      50        
2011      5         3         1.14      21        
2011      5         10        0.964     23        
2011      5         17        1.12      33        
2011      5         24        1.02      18        
2011      6         1         1.4       94        
2011      6         7         1.17      18        
2011      6         14        1.2       12        
2011      6         21        1.22      11        
2011      6         28        1.59      33        
2011      7         12        1.36      19        
2011      7         19        1.19      15        
2011      7         26        0.961     7         
2011      8         2         1.08      4         
2011      8         9         1.08      4         
2011      8         16        1.02      4         
2011      8         23        1.14      4         
2011      8         30        0.939     3         
2011      9         13        0.964     2         
2011      9         20        0.812     5         
2011      9         28        0.892     9         
2011      10        4         0.966     31        
2011      10        11        1.13      61        
2011      10        19        0.938     4         
2011      10        25        0.935     6         
2011      11        1         0.989     9         
2011      11        8         1.04      7         
2011      11        22        1.69      587       
2011      12        6         1.28      16        
2011      12        20        1.17      11        
2012      1         4         1.76      33        
2012      1         24        1.68      242       
2012      2         2         1.43      34        
2012      2         8         1.54      30        
2012      2         21        1.09      65        
2012      3         6         1.24      53        
2012      3         15        0.846     533       
2012      3         20        1.55      102       
2012      4         11        2.18      79        
2012      4         25        1.2       26        
2012      5         8         0.884     26        
2012      5         9         1.12      22        
2012      5         23        1.03      44        
2012      6         5         1.16      163       
2012      6         13        1.15      18        
2012      6         19        1.0       10        
2012      7         11        0.887     5         
2012      7         26        0.821     5         
2012      8         8         0.864     3         
2012      8         15        0.814     3         
2012      8         23        0.837     2         
2012      9         4         0.832     2         
2012      9         26        0.849     2         
2012      10        3         0.89      2         
2012      10        9         0.821     3         
2012      10        13        2.48      97        
2012      10        17        1.05      21        
2012      10        24        0.852     39        
2012      11        6         0.907     20        
2012      11        7         0.83      19        
2012      11        12        0.875     100       
2012      11        14        0.933     22        
2012      11        20        1.46      811       
2012      12        5         1.31      413       
2012      12        13        1.23      37        
2012      12        19        1.26      153       
2013      1         8         1.21      38        
2013      1         9         1.04      48        
2013      1         29        1.03      127       
2013      1         30        1.08      56        
2013      2         12        1.13      19        
2013      2         13        1.07      17        
2013      2         26        0.981     22        
2013      2         27        0.924     18        
2013      3         6         0.946     82        
2013      3         12        0.903     17        
2013      3         18        0.699     13        
2013      3         27        0.885     17        
2013      4         3         0.526     11        
2013      4         8         1.02      42        
2013      4         23        1.24      13        
2013      4         24        0.75      12        
2013      5         8         0.923     11        
2013      5         23        0.99      417       
2013      6         3         0.861     14        
2013      6         12        0.755     8         
2013      6         19        0.792     8         
2013      6         25        0.677     18        
2013      7         8         0.888     2         
2013      7         17        0.684     2         
2013      7         23        0.784     3         
2013      7         25        0.635     3         
2013      8         5         0.737     2         
2013      8         14        0.573     3         
2013      8         21        0.749     3         
2013      8         28        1.21      11        
2013      9         5         0.888     37        
2013      9         9         1.05      8         
2013      9         23        0.804     33        
2013      9         25        0.809     45        
2013      10        2         1.24      66        
2013      10        22        0.805     6         
2013      10        24        0.639     6         
2013      10        30        0.581     6         
2013      11        7         0.991     136       
2013      11        13        0.791     16        
2013      11        19        1.04      112       
2013      12        4         0.957     16        
2013      12        5         0.959     13        
2014      1         9         1.11      84        
2014      1         27        1.09      12        
2014      2         12        1.83      267       
2014      2         27        1.37      38        
2014      3         13        1.54      47        
2014      3         27        0.922     94        
2014      4         9         0.992     81        
2014      4         24        1.15      198       
2014      5         12        0.798     22        
2014      5         22        0.901     14        
2014      6         2         0.817     8         
2014      6         19        0.82      7         
2014      7         10        1.01      5         
