Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         17        0.871     6550      
2008      2         14        0.642     14100     
2008      2         28        0.719     33200     
2008      3         13        0.598     30100     
2008      3         27        0.742     15400     
2008      4         10        0.832     14600     
2008      4         24        0.741     8720      
2008      5         13        0.88      4630      
2008      6         19        0.691     2040      
2008      8         21        0.951     1790      
2008      10        22        1.31      1650      
2008      12        9         0.841     8050      
2009      1         8         0.766     6760      
2009      2         4         0.878     5720      
2009      2         18        1.01      4360      
2009      3         4         0.86      9650      
2009      3         25        0.524     16000     
2009      4         1         0.626     24200     
2009      4         15        0.643     70300     
2009      5         13        0.867     12000     
2009      6         10        0.855     15900     
2009      8         6         0.65      2120      
2009      10        20        0.694     16500     
2009      12        14        0.568     29400     
2010      1         20        0.688     26600     
2010      2         3         0.575     53900     
2010      2         17        0.638     51500     
2010      3         3         0.622     26000     
2010      3         17        0.62      28000     
2010      4         5         0.71      16800     
2010      4         22        0.844     10600     
2010      5         5         0.812     7980      
2010      6         15        0.711     7740      
2010      8         11        0.852     4360      
2010      10        27        0.98      3700      
2010      12        7         0.793     3360      
2011      1         4         0.846     4300      
2011      2         10        0.678     13400     
2011      2         23        0.463     18400     
2011      3         8         0.636     10000     
2011      3         22        0.422     13800     
2011      4         6         0.679     18200     
2011      4         19        0.585     12400     
2011      5         10        0.796     5340      
2011      6         22        0.646     1880      
2011      8         9         0.708     1640      
2011      10        11        1.04      1560      
2011      12        1         1.0       1950      
2012      1         12        1.01      3560      
2012      2         7         0.812     5400      
2012      2         22        0.963     3540      
2012      3         7         0.872     10100     
2012      3         20        0.72      8310      
2012      4         12        0.922     3650      
2012      4         26        0.984     2520      
2012      5         10        0.813     1840      
2012      6         19        1.02      3060      
2012      8         8         0.991     1610      
2012      10        10        1.09      1490      
2012      12        4         0.769     1300      
2013      1         23        0.962     4250      
2013      2         6         0.966     4380      
2013      2         20        0.876     29500     
2013      3         5         0.684     55900     
2013      3         19        0.548     19500     
2013      4         3         0.685     31000     
2013      4         17        0.875     18600     
2013      5         8         0.936     14800     
2013      5         21        0.84      23800     
2013      6         3         0.846     8230      
2013      7         24        0.857     38700     
2013      11        7         0.799     3260      
2013      12        4         0.798     4570      
2014      1         9         0.495     37100     
2014      2         6         0.628     12100     
2014      2         19        0.619     28600     
2014      3         6         0.479     23500     
2014      3         20        0.55      18100     
2014      4         10        0.736     19600     
2014      4         24        0.744     47500     
2014      5         8         0.861     17100     
2014      5         22        0.764     15500     
2014      6         24        0.729     5680      
2014      7         16        0.748     3160      
2014      7         31        0.731     6410      
2014      10        22        0.77      3190      
2014      12        10        0.63      5230      
2015      1         13        0.49      23500     
2015      2         10        0.55      14900     
2015      2         24        0.56      11800     
2015      3         11        0.56      31900     
2015      3         26        0.76      15800     
2015      4         7         0.73      14000     
2015      4         22        0.88      21500     
2015      5         6         0.7       33500     
2015      5         20        0.77      5890      
2015      6         1         0.86      4720      
2015      7         8         0.79      3830      
2015      7         22        0.8       2890      
2015      8         5         0.69      2900      
2015      10        21        0.72      5680      
2015      12        8         0.61      13500     
2016      1         6         0.63      87600     
2016      2         2         0.7       27200     
2016      2         23        0.65      25400     
2016      3         10        0.62      23700     
2016      3         22        0.77      16000     
2016      4         7         0.89      24200     
2016      4         26        0.73      11900     
2016      5         10        0.76      7100      
2016      5         24        0.89      7030      
2016      6         9         0.71      7400      
2016      7         27        0.73      2230      
2016      8         24        0.67      2020      
2016      10        19        0.96      1820      
2016      12        6         0.78      1940      
2017      1         19        0.46      24900     
2017      2         7         0.62      24500     
2017      2         23        0.63      12700     
2017      3         9         0.76      8240      
2017      3         23        0.73      7250      
2017      4         6         0.76      5860      
2017      5         4         0.67      6380      
2017      5         22        0.5       3520      
2017      6         20        0.61      6240      
2017      7         19        0.73      8220      
2017      8         23        0.71      5830      
2017      9         19        0.71      12900     
2017      10        25        0.72      3040      
2017      12        13        0.81      6190      
2018      1         29        0.7       4840      
2018      2         14        0.52      17300     
2018      2         26        0.49      15800     
2018      3         8         0.62      8240      
2018      3         21        0.628     8850      
2018      4         3         0.573     10300     
2018      4         18        0.744     6970      
2018      5         9         0.637     11700     
2018      5         30        0.788     12300     
2018      6         12        0.805     24700     
2018      7         24        0.69      11000     
2018      8         21        0.64      12100     
2018      10        24        0.53      6880      
2018      12        12        0.56      34200     
