Year      Month     Day       Conc_mg/l Q_cfs      
2008      1         10        0.942     26600     
2008      1         30        0.945     41000     
2008      2         6         0.909     37200     
2008      2         20        0.575     16400     
2008      3         11        0.397     13600     
2008      4         24        0.235     9860      
2008      5         5         0.273     6980      
2008      6         18        0.288     10800     
2008      8         5         0.164     10700     
2008      10        29        0.275     7480      
2008      12        9         0.408     7580      
2008      12        22        0.541     8320      
2009      1         6         0.641     9170      
2009      1         26        0.45      10400     
2009      2         5         0.928     8910      
2009      2         25        0.937     42700     
2009      3         24        0.403     14000     
2009      4         21        0.244     13200     
2009      5         21        0.267     13200     
2009      6         24        0.229     10800     
2009      8         26        0.261     14200     
2009      11        18        0.333     8690      
2009      12        3         0.348     8440      
2009      12        16        0.523     12600     
2010      1         14        0.555     12400     
2010      1         27        0.794     50500     
2010      2         3         0.674     32100     
2010      2         16        0.573     26500     
2010      3         4         0.594     29200     
2010      4         6         0.325     14800     
2010      5         19        0.214     14200     
2010      6         17        0.241     18700     
2010      8         5         0.181     18200     
2010      10        26        0.435     14700     
2010      12        15        0.416     35900     
2010      12        28        0.41      63900     
2011      1         11        0.411     35400     
2011      1         26        0.353     23000     
2011      2         10        0.353     18500     
2011      2         22        0.543     34600     
2011      3         15        0.355     40900     
2011      4         20        0.292     39600     
2011      5         12        0.135     34800     
2011      6         23        0.138     38800     
2011      8         10        0.178     14800     
2011      10        25        0.235     13700     
2011      12        8         0.267     15500     
2011      12        29        0.282     11800     
2012      1         5         0.3       10900     
2012      1         18        0.279     11100     
2012      2         9         0.673     13600     
2012      2         23        0.335     12100     
2012      3         15        0.348     16100     
2012      4         18        0.391     25700     
2012      5         17        0.174     9700      
2012      6         12        0.257     12000     
2012      8         7         0.169     23000     
2012      10        18        0.207     9200      
2012      12        4         1.1       57700     
2012      12        19        0.529     30100     
2013      1         8         0.562     26100     
2013      1         22        0.358     17400     
2013      2         5         0.334     17700     
2013      2         19        0.309     14300     
2013      3         12        0.413     14800     
2013      4         11        0.379     15600     
2013      5         16        0.242     10900     
2013      5         30        0.317     13600     
2013      6         4         0.292     10800     
2013      6         26        0.194     15800     
2013      7         29        0.151     17300     
2013      8         12        0.172     17200     
2013      10        23        0.174     6650      
2013      12        6         0.324     7860      
2014      1         22        0.972     5370      
2014      1         28        0.394     5320      
2014      2         13        1.34      20000     
2014      2         20        0.618     9780      
2014      3         20        0.452     8320      
2014      4         15        0.274     8140      
2014      5         13        0.181     5100      
2014      5         28        0.17      7090      
2014      6         3         0.142     8380      
2014      6         30        0.172     9770      
2014      7         24        0.24      10100     
2014      8         13        0.154     8540      
2014      10        16        0.133     6150      
2014      12        9         1.01      23100     
2015      1         14        0.602     10100     
2015      1         27        0.422     9520      
2015      2         20        0.521     15400     
2015      2         25        0.427     12300     
2015      3         16        0.239     7950      
2015      4         27        0.283     6850      
2015      5         8         0.386     6970      
2015      5         19        0.265     8210      
2015      6         4         0.227     7150      
2015      8         31        0.165     8500      
2015      10        29        0.188     6630      
2015      12        9         0.297     7730      
2016      1         14        0.846     14800     
2016      1         27        0.767     45100     
2016      2         10        0.6       18500     
2016      2         24        0.566     20700     
2016      3         30        0.376     40600     
2016      4         20        0.199     16900     
2016      5         26        0.145     16100     
2016      6         9         0.18      13600     
2016      6         22        0.248     16100     
2016      8         10        0.163     19600     
2016      10        19        0.423     11200     
2016      12        7         0.396     13800     
2017      1         17        0.391     78500     
2017      1         26        0.481     71100     
2017      2         10        0.48      94000     
2017      2         24        0.239     80900     
2017      3         9         0.407     66100     
2017      5         17        0.144     52700     
2017      5         23        0.178     39500     
2017      6         7         0.159     39400     
2017      7         20        0.2       15200     
2017      8         21        0.25      20600     
2017      9         5         0.224     21300     
2017      10        19        0.186     11600     
2017      12        7         0.322     15100     
2018      1         17        0.546     17400     
2018      1         31        0.463     17800     
2018      2         14        0.276     13200     
2018      2         28        0.32      12200     
2018      3         28        0.368     40000     
2018      4         19        0.328     25100     
2018      5         10        0.152     10300     
2018      5         30        0.253     14300     
2018      6         14        0.173     10700     
2018      7         12        0.144     15700     
2018      8         8         0.218     20100     
2018      8         20        0.13      17200     
