Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         5.41      188000    
2008      3         10        4.58      198000    
2008      3         26        5.01      239000    
2008      4         9         5.13      223000    
2008      5         12        4.22      320000    
2008      6         9         6.03      296000    
2008      6         20        5.03      408000    
2008      7         21        4.32      227000    
2008      8         11        2.88      138000    
2008      9         15        2.85      278000    
2008      10        20        2.57      102000    
2008      11        12        3.05      89500     
2008      12        8         3.7       53200     
2009      1         20        5.54      64800     
2009      2         9         4.2       58100     
2009      3         17        5.26      313000    
2009      4         7         4.61      243000    
2009      5         5         4.35      323000    
2009      6         9         5.28      173000    
2009      7         20        4.32      73200     
2009      8         25        2.7       97500     
2009      9         9         2.77      69400     
2009      10        6         2.11      79000     
2009      11        3         3.41      330000    
2009      12        2         4.32      146000    
2010      1         26        4.58      254000    
2010      2         25        3.58      114000    
2010      3         17        4.36      300000    
2010      4         7         4.93      298000    
2010      5         4         4.71      212000    
2010      6         9         5.06      233000    
2010      7         21        3.9       304000    
2010      8         10        3.02      275000    
2010      8         31        2.4       213000    
2010      10        26        3.26      114000    
2010      11        8         3.34      127000    
2010      12        7         3.82      67300     
2011      1         18        5.47      94300     
2011      2         16        4.24      90500     
2011      3         9         5.41      207000    
2011      4         11        4.82      252000    
2011      5         11        4.5       299000    
2011      6         8         5.3       291000    
2011      7         13        4.73      202000    
2011      8         3         3.74      211000    
2011      9         14        1.48      45700     
2011      10        5         1.64      46600     
2011      11        2         1.72      39700     
2011      12        7         2.9       60200     
2012      1         24        3.52      43600     
2012      2         8         4.04      68000     
2012      3         14        3.76      99000     
2012      4         4         2.52      100000    
2012      5         2         3.68      147000    
2012      6         6         3.24      111000    
2012      7         25        1.61      36500     
2012      8         22        0.961     29600     
2012      9         12        1.37      13400     
2012      10        3         1.16      21700     
2012      11        7         1.4       40100     
2012      12        5         1.27      35100     
2013      1         23        2.79      31500     
2013      2         6         3.72      66400     
2013      3         13        5.09      252000    
2013      4         3         3.63      136000    
2013      5         8         4.35      392000    
2013      6         3         5.43      423000    
2013      7         10        5.99      321000    
2013      8         14        2.91      49800     
2013      9         11        1.43      33000     
2013      10        30        1.76      56300     
2013      11        20        2.19      63900     
2013      12        4         2.38      44200     
2014      3         12        3.34      123000    
2014      3         19        3.91      168000    
2014      4         9         3.82      140000    
2014      4         23        4.24      209000    
2014      5         7         3.58      218000    
2014      5         20        3.83      266000    
2014      6         4         3.24      216000    
2014      6         17        3.83      195000    
2014      7         9         4.91      363000    
2014      8         6         3.77      93600     
2014      9         17        2.76      215000    
2014      10        8         3.04      136000    
2014      11        19        3.55      65400     
2014      12        3         4.23      92100     
2015      3         18        4.64      140000    
2015      3         31        3.53      102000    
2015      4         8         3.25      84700     
2015      4         22        3.62      124000    
2015      5         6         4.93      96300     
2015      5         20        5.1       111000    
2015      6         10        5.7       217000    
2015      6         22        5.3       363000    
2015      7         8         5.38      284000    
2015      8         5         3.2       162000    
2015      9         2         2.36      86000     
2015      10        7         2.91      54600     
2015      11        4         2.71      85400     
2015      12        1         5.41      249000    
2016      1         6         5.8       332000    
2016      2         1         6.7       145000    
2016      3         7         5.9       142000    
2016      4         4         5.26      242000    
2016      4         18        5.11      190000    
2016      5         2         4.95      142000    
2016      5         16        6.33      219000    
2016      6         20        5.83      197000    
2016      7         26        3.64      194000    
2016      8         1         3.94      183000    
2016      9         6         3.54      205000    
2016      11        7         4.92      169000    
2016      12        12        4.93      147000    
2017      1         17        5.03      112000    
2017      2         13        4.8       106000    
2017      3         13        5.01      212000    
2017      4         3         5.87      209000    
2017      4         17        5.33      232000    
2017      5         2         4.56      345000    
2017      5         10        5.52      350000    
2017      5         15        5.46      316000    
2017      6         6         4.76      302000    
2017      7         11        4.69      140000    
2017      8         15        1.69      89000     
2017      9         11        1.81      81900     
2017      11        13        3.5       94200     
2017      12        12        3.29      56000     
2018      2         20        4.34      72700     
2018      3         5         4.9       200000    
2018      4         2         4.75      167000    
2018      4         17        3.98      130000    
2018      5         7         4.59      217000    
2018      6         4         4.15      143000    
2018      7         9         4.49      270000    
2018      9         4         2.85      142000    
2018      10        2         3.88      210000    
2018      12        19        4.56      150000    
