Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         7         2.46      226000    
2008      1         23        2.71      288000    
2008      2         19        2.29      760000    
2008      2         25        2.14      525000    
2008      3         11        2.35      692000    
2008      3         24        1.72      927000    
2008      4         14        1.58      921000    
2008      5         5         1.47      383000    
2008      6         30        1.88      175000    
2008      8         5         1.34      89200     
2008      11        5         0.907     32900     
2008      12        10        1.18      98100     
2009      1         14        1.78      587000    
2009      1         30        1.61      284000    
2009      2         12        1.89      413000    
2009      2         25        2.55      343000    
2009      3         11        1.92      216000    
2009      3         25        1.59      281000    
2009      4         9         1.61      514000    
2009      5         14        1.6       792000    
2009      6         3         1.73      240000    
2009      8         26        0.864     120000    
2009      11        5         1.6       315000    
2009      12        10        1.37      405000    
2010      1         6         1.45      297000    
2010      1         28        1.44      747000    
2010      2         11        1.45      728000    
2010      3         4         1.48      275000    
2010      3         17        1.83      487000    
2010      3         31        1.67      526000    
2010      4         21        1.69      128000    
2010      5         26        1.99      392000    
2010      6         16        2.12      274000    
2010      8         4         0.882     89900     
2010      10        20        0.752     57500     
2010      12        16        1.25      193000    
2011      1         5         1.72      285000    
2011      1         20        1.61      120000    
2011      2         9         1.84      268000    
2011      2         24        2.28      271000    
2011      3         9         2.31      836000    
2011      3         30        1.8       652000    
2011      5         3         1.64      1220000   
2011      5         17        1.43      893000    
2011      5         25        1.65      559000    
2011      5         31        1.78      510000    
2011      6         15        2.05      158000    
2011      6         28        2.15      309000    
2011      8         15        0.898     102000    
2011      10        27        1.42      192000    
2011      12        7         1.67      780000    
2012      1         11        1.64      279000    
2012      1         25        1.58      638000    
2012      2         8         1.8       629000    
2012      2         23        1.48      257000    
2012      3         7         1.32      472000    
2012      3         21        1.42      416000    
2012      4         18        1.19      94600     
2012      5         23        1.45      88900     
2012      6         6         1.01      94100     
2012      8         28        0.556     62100     
2012      11        7         1.73      211000    
2012      12        5         1.04      93000     
2013      1         9         1.23      269000    
2013      1         30        1.51      394000    
2013      2         12        1.98      547000    
2013      3         1         1.6       296000    
2013      3         13        1.87      475000    
2013      3         27        1.99      486000    
2013      4         26        2.03      464000    
2013      4         30        2.16      625000    
2013      5         29        1.27      186000    
2013      6         12        2.51      309000    
2013      7         29        1.47      240000    
2013      8         12        1.16      190000    
2013      10        28        0.903     95900     
2013      12        2         1.48      234000    
2014      1         15        1.72      453000    
2014      1         31        1.5       174000    
2014      2         12        1.75      642000    
2014      2         24        2.32      507000    
2014      3         13        2.14      335000    
2014      3         26        2.06      228000    
2014      4         14        2.14      686000    
2014      4         30        1.98      461000    
2014      5         28        2.57      282000    
2014      6         25        2.17      178000    
2014      7         9         2.54      105000    
2014      8         14        1.17      117000    
2014      10        29        1.27      157000    
2014      12        17        1.71      278000    
2015      1         14        1.47      322000    
2015      1         27        1.64      244000    
2015      2         11        1.61      254000    
2015      2         25        1.33      450000    
2015      3         12        1.73      879000    
2015      3         23        1.69      972000    
2015      4         6         1.95      526000    
2015      4         20        1.43      791000    
2015      5         4         1.56      285000    
2015      6         1         1.08      133000    
2015      7         15        1.93      517000    
2015      8         3         1.42      159000    
2015      10        21        1.19      71800     
2015      12        15        1.12      312000    
2016      1         6         1.73      792000    
2016      1         18        2.01      468000    
2016      1         19        2.54      425000    
2016      2         3         1.68      402000    
2016      2         23        1.4       598000    
2016      3         16        1.69      539000    
2016      3         28        2.07      213000    
2016      4         12        2.46      217000    
2016      4         25        1.76      212000    
2016      5         23        1.79      283000    
2016      6         14        1.23      106000    
2016      7         25        1.24      136000    
2016      8         8         0.932     168000    
2016      10        19        0.895     54700     
2016      12        7         1.48      213000    
2017      1         3         2.15      384000    
2017      1         18        2.78      479000    
2017      2         1         2.22      609000    
2017      2         22        1.72      231000    
2017      3         8         2.11      551000    
2017      3         21        1.42      227000    
2017      4         4         1.82      410000    
2017      4         19        2.06      304000    
2017      5         8         2.09      536000    
2017      6         19        1.8       207000    
2017      7         17        2.41      264000    
2017      8         7         1.43      108000    
2017      10        17        1.2       156000    
2017      12        12        1.4       150000    
2018      1         2         1.74      274000    
2018      2         6         2.07      284000    
2018      2         21        1.57      946000    
2018      2         28        1.72      1100000   
2018      3         21        1.56      405000    
2018      4         10        1.66      846000    
2018      4         24        1.55      689000    
2018      5         8         1.24      268000    
2018      6         4         1.37      340000    
2018      7         10        1.67      169000    
2018      8         6         1.07      150000    
2018      10        9         1.14      281000    
2018      12        10        1.72      592000    
