Year      Month     Day       Conc_mg/l Q_cfs            
2008      1         30        4.11      328       
2008      2         22        4.33      1220      
2008      3         12        3.68      793       
2008      4         3         3.68      1620      
2008      5         20        2.94      546       
2008      6         16        2.76      848       
2008      7         9         4.1       298       
2008      8         28        3.04      729       
2008      10        1         3.95      443       
2008      10        20        4.51      358       
2008      11        24        10.1      88        
2008      12        29        6.23      173       
2009      2         9         7.88      107       
2009      2         23        2.4       225       
2009      3         31        4.01      505       
2009      4         14        3.08      809       
2009      5         12        6.5       644       
2009      6         2         3.4       352       
2009      7         15        5.99      91        
2009      8         12        4.16      902       
2009      9         29        5.95      99        
2009      10        26        7.45      147       
2009      11        19        3.08      419       
2009      12        16        7.23      138       
2010      1         13        5.29      196       
2010      2         16        4.53      413       
2010      3         11        3.29      359       
2010      4         27        3.76      278       
2010      5         19        4.16      478       
2010      6         9         2.84      397       
2010      7         14        2.7       1180      
2010      9         2         5.44      145       
2010      9         21        6.48      130       
2010      10        27        5.98      103       
2010      11        23        8.18      84        
2010      12        15        4.38      150       
2011      1         25        7.93      145       
2011      2         14        4.53      201       
2011      3         22        10.1      87        
2011      5         3         5.73      199       
2011      5         17        7.48      96        
2011      6         21        6.93      89        
2011      7         27        6.55      63        
2011      9         1         3.02      295       
2011      9         26        6.61      72        
2011      10        6         10.3      72        
2011      11        28        5.53      145       
2011      12        12        10.8      94        
2012      1         9         7.95      81        
2012      1         24        8.15      92        
2012      2         28        7.39      113       
2012      3         13        4.56      257       
2012      3         20        2.92      4270      
2012      4         17        3.96      268       
2012      5         31        3.09      1030      
2012      6         14        6.76      65        
2012      6         27        4.98      116       
2012      7         11        7.39      80        
2012      8         22        5.18      107       
2012      8         26        6.9       299       
2012      9         17        9.85      99        
2012      10        11        3.75      106       
2012      10        31        11.1      59        
2012      11        13        4.53      175       
2012      11        19        9.0       59        
2012      12        5         5.28      160       
2013      1         8         3.54      66        
2013      1         28        9.07      54        
2013      2         5         9.71      66        
2013      2         25        7.13      130       
2013      3         26        11.8      49        
2013      3         28        11.4      47        
2013      4         24        4.18      347       
2013      4         25        6.28      153       
2013      5         7         8.49      132       
2013      5         23        3.86      1640      
2013      5         29        5.77      232       
2013      5         30        4.62      1000      
2013      6         12        2.7       668       
2013      6         19        2.6       723       
2013      6         26        3.81      245       
2013      6         27        3.21      255       
2013      7         9         4.55      178       
2013      7         17        2.68      1130      
2013      7         30        3.6       1060      
2013      8         6         4.01      195       
2013      8         20        3.62      403       
2013      9         3         5.59      102       
2013      9         19        3.75      164       
2013      10        23        5.35      144       
2013      11        18        6.68      161       
2013      11        19        5.59      130       
2013      12        18        6.05      173       
2013      12        19        2.79      575       
2014      1         14        6.91      106       
2014      1         29        9.32      95        
2014      2         18        7.27      115       
2014      2         25        9.51      129       
2014      3         6         6.3       132       
2014      3         18        4.78      236       
2014      4         2         7.6       122       
2014      4         8         4.53      236       
2014      5         6         9.12      74        
2014      5         15        7.71      129       
2014      5         20        7.12      111       
2014      5         21        5.93      105       
2014      6         4         4.31      193       
2014      6         10        2.48      814       
2014      6         17        4.67      156       
2014      6         24        2.19      1790      
2014      7         2         5.7       102       
2014      7         8         5.31      78        
2014      7         22        4.46      196       
2014      8         12        4.62      127       
2014      8         19        5.57      90        
2014      8         20        4.11      143       
2014      9         2         9.24      50        
2014      9         24        9.56      85        
2014      10        15        3.12      305       
2014      10        28        10.2      50        
2014      11        12        8.62      75        
2014      11        19        8.61      75        
2014      12        4         7.31      75        
2014      12        9         8.88      73        
2015      1         13        12.4      74        
2015      1         21        9.95      69        
2015      2         3         6.08      152       
2015      2         4         6.53      123       
2015      3         3         7.06      112       
2015      3         5         7.46      81        
2015      4         6         8.04      169       
2015      4         8         7.62      144       
2015      5         4         6.05      119       
2015      5         12        3.46      1190      
2015      5         19        3.58      619       
2015      5         26        2.83      7520      
2015      6         2         2.56      965       
2015      6         3         2.69      773       
2015      6         16        2.4       2090      
2015      6         30        4.08      243       
2015      7         8         2.14      2730      
2015      7         15        3.33      316       
2015      7         22        2.06      992       
2015      8         6         5.6       239       
2015      8         18        6.0       136       
2015      8         26        6.18      136       
2015      9         1         5.78      143       
2015      9         3         5.88      132       
2015      10        5         8.25      110       
2015      10        7         8.53      141       
2015      11        2         3.6       268       
2015      11        3         5.76      217       
2015      11        30        3.24      613       
2015      12        2         4.21      305       
2016      1         5         4.84      394       
2016      1         6         5.39      380       
2016      2         1         5.88      127       
2016      3         7         6.81      149       
2016      4         5         7.83      81        
2016      5         4         3.88      322       
2016      5         5         4.42      233       
2016      5         12        3.25      147       
2016      5         18        2.7       886       
2016      6         2         4.03      644       
2016      6         6         3.88      239       
2016      6         7         4.35      217       
2016      6         16        3.99      151       
2016      7         7         4.87      137       
