Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         23        3.62      9800      
2008      2         20        3.45      19500     
2008      3         19        3.29      52100     
2008      4         9         2.23      50600     
2008      5         8         2.62      20400     
2008      5         14        1.68      39300     
2008      6         3         2.55      16800     
2008      6         25        2.82      15400     
2008      7         9         2.47      21000     
2008      8         20        1.18      6100      
2008      11        19        2.38      2200      
2008      12        17        2.17      3640      
2009      1         21        3.04      4650      
2009      2         18        3.15      55200     
2009      3         18        2.33      10200     
2009      4         15        2.83      42000     
2009      5         6         3.03      40600     
2009      5         19        1.59      72600     
2009      6         3         2.51      15100     
2009      6         10        2.76      12600     
2009      6         24        3.38      23100     
2009      7         8         3.25      10300     
2009      7         15        1.96      8210      
2009      7         22        2.04      6700      
2009      8         5         1.78      14200     
2009      8         12        1.72      28200     
2009      8         19        0.983     7710      
2009      9         2         1.03      3940      
2009      10        28        2.27      16100     
2009      11        24        2.05      7810      
2009      12        15        2.71      27300     
2010      1         27        2.74      27200     
2010      2         17        2.29      8300      
2010      3         18        3.55      23800     
2010      4         14        2.5       24700     
2010      5         5         2.53      26000     
2010      5         12        2.34      12900     
2010      5         25        4.06      21400     
2010      6         2         2.74      11100     
2010      6         9         3.03      9610      
2010      6         23        2.43      47800     
2010      7         7         2.26      13600     
2010      7         28        1.44      7820      
2010      8         18        0.931     3150      
2010      11        29        3.18      6780      
2011      1         19        3.73      4170      
2011      2         23        5.83      18400     
2011      3         15        2.96      70000     
2011      4         20        2.76      35300     
2011      5         3         2.03      132000    
2011      5         18        2.44      19500     
2011      6         15        2.62      14800     
2011      6         20        4.07      19600     
2011      7         20        1.28      7410      
2011      8         15        1.14      2950      
2011      9         21        2.03      1600      
2011      11        16        2.07      4270      
2012      1         18        2.95      22200     
2012      2         16        2.48      13000     
2012      3         15        2.3       14500     
2012      4         18        2.04      14800     
2012      5         23        2.05      5690      
2012      5         29        1.44      4100      
2012      6         20        0.992     2430      
2012      6         27        1.0       2010      
2012      7         17        0.84      1650      
2012      8         15        1.84      2030      
2012      9         5         1.96      1940      
2012      10        17        2.34      2650      
2012      11        15        2.16      3320      
2012      12        12        2.53      4860      
2013      1         16        2.73      61000     
2013      2         13        3.19      17000     
2013      3         6         4.45      20400     
2013      4         9         3.32      9010      
2013      5         7         3.53      26000     
2013      5         22        3.1       13500     
2013      5         29        2.6       8760      
2013      6         5         4.03      18700     
2013      6         11        3.5       11100     
2013      6         27        4.16      26500     
2013      7         9         2.81      12400     
2013      7         25        1.74      5950      
2013      8         14        1.14      2810      
2013      8         28        1.2       1790      
2013      9         23        0.998     1890      
2013      10        24        1.48      2070      
2013      11        19        2.4       6180      
2013      12        17        3.14      6340      
2014      1         14        2.71      30600     
2014      2         20        3.08      15600     
2014      3         20        3.34      13500     
2014      4         16        2.66      40000     
2014      5         7         1.89      14200     
2014      5         14        3.48      13300     
2014      6         10        4.2       20400     
2014      6         20        3.32      9960      
2014      6         30        3.48      11400     
2014      7         16        1.92      9220      
2014      7         23        1.18      4410      
2014      8         6         1.33      3910      
2014      8         20        1.21      3320      
2014      9         10        1.34      4220      
2014      10        8         1.76      3130      
2014      11        6         1.99      4010      
2014      12        4         2.78      11200     
2015      1         21        2.37      10500     
2015      2         25        2.57      5430      
2015      3         25        2.4       24200     
2015      4         22        2.25      31000     
2015      5         5         2.42      13800     
2015      5         14        2.15      11400     
2015      5         28        2.25      7490      
2015      6         4         4.16      10700     
2015      6         11        5.02      8430      
2015      6         23        3.29      42400     
2015      7         8         2.66      32600     
2015      7         28        1.55      31700     
2015      8         10        1.65      11400     
2015      8         27        1.3       6470      
2015      9         16        1.1       2820      
2015      10        13        1.56      1910      
2015      11        12        1.95      3950      
2015      12        8         2.94      7100      
2016      1         7         2.37      58000     
2016      2         18        2.77      7860      
2016      3         17        2.59      36700     
2016      4         13        2.42      27500     
2016      5         4         2.32      30100     
2016      5         11        2.65      19400     
2016      5         24        2.15      13000     
2016      6         3         1.66      9010      
2016      6         15        2.37      7380      
2016      6         29        3.55      12500     
2016      7         13        2.38      9620      
2016      7         27        1.98      7800      
2016      8         18        1.68      28800     
2016      8         29        2.16      14300     
2016      9         14        1.84      15100     
2016      10        12        1.81      4540      
2016      11        10        1.89      4370      
2016      12        8         2.95      9690      
2017      1         26        2.8       43200     
2017      2         22        2.36      7430      
2017      3         16        2.35      16500     
2017      4         13        2.85      16300     
2017      5         3         2.61      33300     
2017      5         10        2.3       92100     
2017      5         24        2.78      22000     
2017      6         13        1.92      9850      
2017      6         20        3.9       21700     
2017      6         29        3.85      25800     
2017      7         13        3.03      20500     
2017      7         26        2.22      19000     
2017      8         17        1.34      4470      
2017      8         30        1.07      3160      
2017      9         21        1.29      2480      
2017      10        12        2.24      3510      
2017      11        15        2.11      15000     
2017      12        12        2.35      5090      
2018      1         11        2.98      4480      
2018      2         13        2.61      6880      
2018      3         5         1.93      84600     
2018      4         17        2.46      25200     
2018      5         7         1.6       12600     
2018      5         17        1.34      9750      
2018      5         30        1.82      7750      
2018      6         6         1.7       9670      
2018      7         12        1.14      5750      
2018      7         24        0.82      3730      
2018      7         31        0.799     3650      
2018      8         8         1.03      4630      
2018      8         15        1.36      4090      
2018      8         29        1.75      5910      
2018      9         13        1.72      28400     
2018      10        25        1.92      4140      
2018      11        19        2.3       12900     
2018      12        13        2.31      12300     
