Year      Month     Day       Conc_mg/l Q_cfs          
2008      2         11        5.67      3500      
2008      3         12        4.66      18200     
2008      4         7         5.58      20600     
2008      5         12        6.63      30600     
2008      6         16        6.53      105000    
2008      7         14        7.02      31000     
2008      8         11        4.07      19700     
2008      9         10        2.88      2320      
2008      10        27        2.4       9710      
2008      12        1         4.71      5860      
2009      1         26        5.44      3220      
2009      3         10        7.16      37600     
2009      4         13        5.57      10300     
2009      5         14        6.05      20400     
2009      5         28        7.49      14400     
2009      6         8         9.16      17400     
2009      6         23        6.56      18700     
2009      7         7         7.38      19700     
2009      7         23        7.38      8990      
2009      8         4         6.46      3540      
2009      8         19        3.79      5510      
2009      9         1         2.97      8290      
2009      10        7         2.24      3110      
2009      11        3         4.33      20500     
2009      12        2         6.05      9840      
2010      1         6         7.38      5150      
2010      2         2         4.56      7350      
2010      3         4         5.5       4100      
2010      4         7         6.58      32600     
2010      5         5         5.3       24600     
2010      5         18        5.53      28500     
2010      6         2         6.2       31000     
2010      6         14        4.83      41600     
2010      7         8         5.64      62100     
2010      7         21        4.7       69300     
2010      8         2         4.46      47500     
2010      8         17        4.02      50800     
2010      9         2         3.41      38600     
2010      10        6         6.3       16800     
2010      11        4         4.55      6860      
2010      12        2         6.64      7230      
2011      1         5         7.63      3740      
2011      2         4         7.01      2230      
2011      3         1         6.63      12200     
2011      3         15        5.76      8400      
2011      4         4         6.26      12900     
2011      4         18        5.68      22300     
2011      5         4         5.9       12000     
2011      5         26        7.36      44500     
2011      6         8         6.1       23800     
2011      6         22        5.69      26900     
2011      7         5         6.33      31600     
2011      7         22        7.75      33900     
2011      8         4         6.5       24600     
2011      8         17        4.38      4820      
2011      9         1         2.88      1500      
2011      10        17        1.99      373       
2011      11        14        2.23      590       
2011      12        12        2.52      1230      
2012      1         4         2.66      1260      
2012      2         8         2.59      1410      
2012      3         5         2.42      4380      
2012      3         21        3.0       2540      
2012      4         2         2.69      6110      
2012      4         25        4.26      6210      
2012      5         3         5.21      9020      
2012      5         17        5.38      7250      
2012      6         5         7.25      5690      
2012      6         21        6.27      4450      
2012      7         6         4.76      1690      
2012      7         17        2.12      509       
2012      8         8         1.52      476       
2012      8         21        1.47      385       
2012      9         6         1.39      348       
2012      10        17        2.32      635       
2012      11        15        2.46      768       
2012      12        17        2.16      414       
2013      1         8         2.51      469       
2013      2         12        4.95      1440      
2013      3         12        5.25      16600     
2013      3         25        3.82      3620      
2013      4         8         3.88      3470      
2013      4         24        4.57      14400     
2013      5         6         7.2       21200     
2013      5         23        14.4      18700     
2013      6         11        12.1      23800     
2013      6         27        13.8      24600     
2013      7         8         14.4      23200     
2013      7         25        12.6      11500     
2013      8         12        6.87      1550      
2013      9         23        2.59      525       
2013      10        21        2.57      418       
2013      11        18        2.77      523       
2013      12        17        3.49      607       
2014      1         21        4.22      489       
2014      3         10        3.89      2410      
2014      3         24        4.04      2990      
2014      4         7         3.23      1830      
2014      4         22        2.96      1950      
2014      5         5         3.07      4810      
2014      5         19        3.32      10000     
2014      6         9         5.78      14800     
2014      6         24        7.61      19300     
2014      7         7         7.15      18600     
2014      7         21        8.44      22800     
2014      8         18        5.77      10100     
2014      9         22        4.44      18200     
2014      10        7         8.81      19200     
2014      12        10        10.5      5580      
2015      2         10        9.25      5310      
2015      3         10        8.47      3440      
2015      3         24        6.91      3830      
2015      4         7         6.37      3780      
2015      4         21        7.05      14000     
2015      5         5         12.1      9860      
2015      5         19        12.4      14100     
2015      6         2         12.3      18800     
2015      6         16        12.7      27700     
2015      7         8         7.61      26100     
2015      7         21        8.44      24300     
2015      8         11        4.59      20900     
2015      10        15        8.74      4130      
2015      12        9         11.6      19600     
2016      2         18        8.75      11100     
2016      3         8         10.4      15300     
2016      3         22        9.22      14300     
2016      4         5         10.9      16800     
2016      4         20        12.4      11800     
2016      5         10        10.1      22600     
2016      5         25        12.7      20200     
2016      6         7         10.9      20100     
2016      6         21        10.9      22600     
2016      7         12        8.68      5430      
2016      7         26        4.56      21300     
2016      8         9         5.65      3630      
2016      10        18        8.44      17700     
2016      12        7         7.99      6650      
2017      2         14        6.94      6370      
2017      3         7         8.3       14500     
2017      3         21        9.79      9940      
2017      4         11        8.12      23300     
2017      4         25        8.38      18500     
2017      5         16        10.3      24000     
2017      5         31        12.1      24500     
2017      6         13        10.9      14200     
2017      6         27        9.07      7950      
2017      7         11        7.19      5790      
2017      7         25        5.24      3050      
2017      8         15        2.95      1390      
2017      10        24        3.4       8980      
2017      12        6         5.18      2130      
2018      2         22        6.15      4470      
2018      3         6         4.86      8490      
2018      3         20        4.73      7890      
2018      4         11        7.72      12500     
2018      4         24        8.65      19800     
2018      5         8         8.09      23700     
2018      5         24        8.28      24000     
2018      6         5         7.21      19300     
2018      6         19        7.86      24100     
2018      7         10        6.34      24200     
2018      7         24        6.47      24100     
2018      8         7         4.66      24000     
2018      10        23        5.34      24200     
2018      12        4         4.86      22900     
