Year      Month     Day       Conc_mg/l Q_cfs         
2008      1         8         1.07      22200     
2008      2         19        1.0       141000    
2008      3         11        1.14      130000    
2008      4         8         1.07      209000    
2008      5         20        1.24      137000    
2008      6         10        1.32      134000    
2008      7         8         1.03      141000    
2008      8         12        0.72      44000     
2008      10        14        0.924     15300     
2008      11        18        1.12      31500     
2008      12        9         1.14      12700     
2009      1         6         0.896     29600     
2009      2         10        0.933     27400     
2009      3         3         0.951     15300     
2009      4         28        0.987     76200     
2009      5         12        1.15      201000    
2009      5         26        1.21      188000    
2009      6         9         0.993     72100     
2009      7         21        0.614     19900     
2009      8         11        0.492     31100     
2009      11        12        0.885     79500     
2009      12        8         0.969     25300     
2010      1         28        0.975     59000     
2010      2         10        0.896     93200     
2010      3         2         0.928     74100     
2010      3         16        0.857     45900     
2010      4         6         1.03      81000     
2010      4         27        0.786     33200     
2010      5         11        0.736     27100     
2010      5         25        1.07      152000    
2010      6         8         0.976     17400     
2010      8         11        0.69      28300     
2010      10        12        0.688     9360      
2010      12        7         0.67      10300     
2011      1         12        0.651     12500     
2011      2         8         0.666     22400     
2011      3         8         0.704     15800     
2011      3         22        0.84      41100     
2011      4         12        0.7       28900     
2011      5         5         1.09      217000    
2011      5         10        0.971     109000    
2011      5         24        0.917     124000    
2011      6         14        1.07      62600     
2011      8         9         0.537     1230      
2011      10        11        0.598     365       
2011      12        13        0.92      28500     
2012      1         24        1.02      16600     
2012      2         14        0.992     35700     
2012      3         6         0.986     5060      
2012      3         27        1.08      178000    
2012      4         10        0.88      71000     
2012      4         24        1.01      38300     
2012      5         8         1.16      79500     
2012      5         22        1.37      4380      
2012      6         12        0.978     5010      
2012      8         14        1.06      1920      
2012      10        16        0.721     3950      
2012      12        5         0.915     7750      
2013      1         23        1.28      11500     
2013      2         14        0.982     10500     
2013      3         7         0.992     8820      
2013      3         27        1.01      10500     
2013      4         9         0.969     28600     
2013      4         24        0.893     83700     
2013      5         7         0.819     37200     
2013      5         29        1.06      56200     
2013      6         12        1.17      138000    
2013      6         25        1.06      41200     
2013      7         11        0.965     6020      
2013      8         29        1.12      57100     
2013      10        18        0.735     5230      
2013      12        11        0.865     20600     
2014      1         8         1.09      9870      
2014      2         6         1.04      23700     
2014      3         19        0.76      84000     
2014      3         25        0.765     33000     
2014      4         9         0.828     39400     
2014      4         23        0.678     26800     
2014      5         15        0.786     51100     
2014      5         28        0.686     39900     
2014      6         12        0.881     65200     
2014      6         25        0.646     38700     
2014      7         9         0.475     29200     
2014      8         19        0.734     11000     
2014      10        7         0.72      8850      
2014      12        10        0.8       13400     
2015      1         13        0.98      29300     
2015      2         3         0.92      7110      
2015      3         11        0.89      78900     
2015      3         26        0.75      44700     
2015      4         14        0.56      73300     
2015      4         28        0.75      49900     
2015      5         13        1.21      287000    
2015      5         28        1.22      292000    
2015      6         11        1.08      179000    
2015      6         24        0.95      173000    
2015      7         15        0.85      162000    
2015      8         18        0.68      18600     
2015      10        21        0.59      1200      
2015      12        10        0.83      85100     
2016      1         28        1.04      65700     
2016      2         23        0.79      13400     
2016      3         8         0.96      36900     
2016      3         24        0.75      50100     
2016      4         14        0.7       18000     
2016      4         26        0.84      62200     
2016      5         11        0.84      80400     
2016      5         25        0.94      51800     
2016      6         9         1.02      51500     
2016      6         22        0.92      20900     
2016      7         19        0.53      27600     
2016      8         18        0.79      30400     
2016      10        13        0.94      58000     
2016      12        22        1.04      4000      
2017      1         31        0.76      20000     
2017      3         2         0.81      17000     
2017      3         15        0.83      10000     
2017      3         30        0.68      46000     
2017      4         19        1.21      64000     
2017      4         25        1.22      134000    
2017      5         11        1.33      157000    
2017      5         22        1.31      201000    
2017      6         12        1.26      137000    
2017      6         26        0.87      40000     
2017      7         18        0.54      27000     
2017      8         10        0.61      14000     
2017      10        25        0.54      13800     
2017      12        7         0.68      14300     
2018      1         19        0.81      8100      
2018      2         15        0.72      1630      
2018      3         8         0.92      81600     
2018      3         22        0.77      29400     
2018      4         10        0.91      71900     
2018      4         25        0.676     21500     
2018      5         9         0.8       54800     
2018      5         24        0.95      25000     
2018      6         6         0.9       11600     
2018      6         22        0.61      10700     
2018      7         18        0.6       9510      
2018      8         23        0.81      33900     
2018      10        17        0.83      87800     
2018      12        19        0.81      65900     
