Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         11        1.57      7610      
2008      2         8         2.32      27400     
2008      3         12        1.52      10400     
2008      4         9         1.11      1400      
2008      5         14        0.911     48400     
2008      5         28        1.13      34900     
2008      6         11        1.16      21500     
2008      6         18        1.8       3560      
2008      7         16        0.876     14000     
2008      8         13        1.76      29800     
2008      10        15        0.778     8660      
2008      12        4         1.2       9070      
2009      1         8         1.36      50000     
2009      2         4         1.13      13000     
2009      3         5         1.96      29600     
2009      4         8         1.39      10000     
2009      5         6         3.0       33400     
2009      5         21        1.39      13000     
2009      6         3         0.994     25500     
2009      6         10        1.0       77800     
2009      6         17        1.17      58000     
2009      7         9         1.23      13800     
2009      7         15        1.13      12900     
2009      7         22        1.06      23000     
2009      8         3         1.44      44500     
2009      8         13        0.909     16500     
2009      8         20        1.06      14000     
2009      9         3         0.829     14000     
2009      9         16        1.29      25000     
2009      10        21        0.857     55500     
2009      11        18        0.704     35500     
2009      12        9         0.75      38000     
2009      12        16        1.21      29500     
2010      1         6         0.975     30000     
2010      1         21        1.06      47000     
2010      2         10        0.884     29000     
2010      3         2         0.39      40500     
2010      3         16        0.915     24000     
2010      3         24        0.46      13700     
2010      4         6         0.711     13200     
2010      4         15        0.53      16700     
2010      5         6         1.73      15500     
2010      5         18        1.3       4100      
2010      5         26        1.18      11400     
2010      6         2         1.0       15000     
2010      6         8         1.44      31500     
2010      6         17        0.37      9000      
2010      6         22        0.57      6800      
2010      7         13        0.853     10700     
2010      7         27        0.63      6600      
2010      8         5         0.744     10500     
2010      8         18        0.633     7500      
2010      9         8         0.669     6400      
2010      9         29        0.48      5200      
2010      10        20        0.625     5910      
2010      10        28        0.87      6880      
2010      11        29        0.629     7340      
2010      12        8         1.23      8280      
2011      1         6         1.64      7780      
2011      1         13        0.53      4500      
2011      2         2         1.59      9190      
2011      2         9         2.57      9250      
2011      3         23        1.96      3370      
2011      4         14        1.34      17400     
2011      5         24        1.41      26000     
2011      6         1         0.695     40000     
2011      6         23        1.1       51600     
2011      7         20        1.11      13300     
2011      8         24        0.722     9410      
2011      10        19        0.856     5030      
2011      12        14        1.1       12800     
2012      1         19        1.31      13000     
2012      2         22        1.58      24200     
2012      3         28        1.87      20200     
2012      4         25        1.69      4650      
2012      5         9         2.02      4940      
2012      5         22        1.64      5840      
2012      6         13        3.45      22400     
2012      6         26        1.65      4410      
2012      7         18        1.86      16200     
2012      8         23        1.14      4460      
2012      10        17        1.2       10800     
2012      11        13        0.649     7510      
2012      12        6         1.53      10000     
