Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         3.26      7500      
2008      2         14        2.85      8970      
2008      3         12        4.0       11000     
2008      4         9         3.4       6830      
2008      5         13        4.23      12900     
2008      5         28        5.72      29300     
2008      6         1         4.61      60600     
2008      6         10        5.36      54400     
2008      7         8         4.24      8760      
2008      7         22        3.28      11300     
2008      8         5         2.14      4400      
2008      9         9         2.2       3930      
2008      10        15        2.98      7760      
2008      11        13        3.39      11000     
2008      12        10        3.35      8140      
2009      1         7         3.47      9960      
2009      2         11        8.35      26300     
2009      3         12        3.82      6650      
2009      4         9         3.17      9130      
2009      5         14        2.25      7020      
2009      5         28        2.46      5750      
2009      6         15        4.86      10200     
2009      6         25        3.44      13800     
2009      7         8         2.77      8160      
2009      7         21        2.86      5880      
2009      8         6         2.47      4530      
2009      8         19        5.24      11300     
2009      9         16        2.4       6160      
2009      10        22        2.71      7730      
2009      11        18        2.77      8730      
2009      12        17        3.99      4300      
2010      1         14        2.87      3700      
2010      2         10        2.98      6780      
2010      3         11        4.4       37600     
2010      4         8         3.45      8530      
2010      5         12        3.19      9230      
2010      5         26        2.51      8950      
2010      6         9         11.9      31100     
2010      6         24        4.74      66100     
2010      7         6         3.13      14200     
2010      9         15        3.38      7780      
2010      10        20        2.76      7150      
2010      12        15        3.21      5130      
2011      1         20        2.95      7480      
2011      2         16        4.47      24600     
2011      3         17        3.5       12500     
2011      4         19        3.5       17900     
2011      5         11        2.14      8440      
2011      5         26        3.99      24800     
2011      6         8         3.1       15900     
2011      6         23        5.91      27400     
2011      7         20        2.62      13300     
2011      9         14        1.89      6700      
2011      10        18        2.53      9280      
2011      12        14        2.92      10500     
2012      1         5         2.75      7810      
2012      2         8         2.61      8670      
2012      3         7         3.43      9390      
2012      4         5         2.01      6660      
2012      5         9         4.02      8670      
2012      5         23        3.59      4540      
2012      6         6         3.13      5880      
2012      6         21        2.54      3790      
2012      7         25        2.5       676       
2012      9         5         1.99      588       
2012      10        16        1.4       2210      
2012      12        18        2.17      5150      
2013      1         16        2.26      4320      
2013      2         20        2.4       5400      
2013      3         20        3.44      6450      
2013      4         18        3.93      10100     
2013      5         15        1.95      5540      
2013      5         31        8.0       17500     
2013      6         11        5.61      7440      
2013      6         25        4.88      7170      
2013      7         18        2.33      1740      
2013      7         30        2.12      2900      
2013      8         14        1.9       3150      
2013      8         28        1.44      3600      
2013      10        28        2.28      6150      
2013      12        18        3.26      3450      
2014      1         23        2.15      4630      
2014      2         24        2.08      12100     
2014      3         19        2.68      7720      
2014      4         15        2.99      7530      
2014      5         15        4.21      9110      
2014      5         29        3.28      5970      
2014      6         11        5.49      9810      
2014      6         26        4.23      14700     
2014      7         16        4.4       7050      
2014      7         30        3.86      3340      
2014      8         13        4.5       4980      
2014      8         28        3.8       16400     
2014      10        23        2.71      7630      
2014      12        17        3.28      7740      
2015      1         21        3.46      6150      
2015      2         24        3.1       9130      
2015      3         17        3.24      6440      
2015      5         11        5.55      11500     
2015      5         28        2.54      18600     
2015      6         10        4.46      22700     
2015      6         29        2.41      23300     
2015      7         15        2.53      7910      
2015      7         30        3.34      5640      
2015      8         12        2.36      5250      
2015      8         26        2.07      5310      
2015      10        23        2.76      6300      
2015      12        18        4.67      11800     
2016      1         27        3.3       10200     
2016      2         23        5.18      16500     
2016      3         25        3.42      8230      
2016      4         19        3.11      15600     
2016      5         9         4.45      21500     
2016      5         24        4.6       20500     
2016      6         15        4.92      14400     
2016      6         28        3.91      10900     
2016      7         12        4.04      13400     
2016      7         27        1.62      5910      
2016      8         31        4.22      6000      
2016      10        20        3.39      7500      
2016      12        21        4.35      4780      
2017      1         23        6.02      12000     
2017      2         15        6.33      12200     
2017      3         22        3.06      8430      
2017      4         19        3.93      11900     
2017      5         9         3.79      10900     
2017      5         22        5.71      30800     
2017      6         13        4.84      11800     
2017      6         28        6.85      10100     
2017      7         12        3.57      3740      
2017      7         25        3.27      3990      
2017      8         8         3.04      4220      
2017      8         29        4.07      8010      
2017      10        25        3.86      7490      
2017      12        18        3.46      7090      
2018      1         24        3.42      5970      
2018      2         15        3.45      8010      
2018      3         20        4.67      14500     
2018      4         17        2.96      11600     
2018      5         16        3.53      10700     
2018      5         30        2.95      11600     
2018      6         12        4.71      12300     
2018      6         27        6.86      46400     
2018      7         11        3.41      12600     
2018      7         25        2.89      8670      
2018      8         16        3.46      5860      
2018      8         29        2.16      7600      
2018      10        23        3.72      9880      
2018      12        19        3.91      10500     
