Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         8         0.475     201000    
2008      2         5         0.468     229000    
2008      3         4         0.642     257000    
2008      3         19        0.61      262000    
2008      4         3         0.589     265000    
2008      4         17        0.589     259000    
2008      5         6         0.567     292000    
2008      5         28        0.55      301000    
2008      6         18        0.516     288000    
2008      8         19        0.397     283000    
2008      10        30        0.422     249000    
2008      12        16        0.493     253000    
2009      1         6         0.522     230000    
2009      1         21        0.558     220000    
2009      2         4         0.556     240000    
2009      2         18        0.581     255000    
2009      3         10        0.587     271000    
2009      3         24        0.558     276000    
2009      4         7         0.61      249000    
2009      5         12        0.546     289000    
2009      6         9         0.526     290000    
2009      8         4         0.423     283000    
2009      10        21        0.435     256000    
2009      12        15        0.498     258000    
2010      1         6         0.566     220000    
2010      1         20        0.535     215000    
2010      2         9         0.517     234000    
2010      2         24        0.532     251000    
2010      3         10        0.561     248000    
2010      3         23        0.583     244000    
2010      4         14        0.515     242000    
2010      5         11        0.536     223000    
2010      6         22        0.483     225000    
2010      8         25        0.427     255000    
2010      10        5         0.453     243000    
2010      12        8         0.5       252000    
2011      1         6         0.497     220000    
2011      1         19        0.549     212000    
2011      2         9         0.524     234000    
2011      2         23        0.542     223000    
2011      3         9         0.53      227000    
2011      3         23        0.502     254000    
2011      4         27        0.559     266000    
2011      5         25        0.597     289000    
2011      6         22        0.491     310000    
2011      8         24        0.389     275000    
2011      10        26        0.482     263000    
2011      12        21        0.467     264000    
2012      1         11        0.503     242000    
2012      1         25        0.463     220000    
2012      2         15        0.557     291000    
2012      2         29        0.514     291000    
2012      3         16        0.538     292000    
2012      3         29        0.507     273000    
2012      4         25        0.536     272000    
2012      5         23        0.491     248000    
2012      6         27        0.479     238000    
2012      8         29        0.355     229000    
2012      10        24        0.339     215000    
2012      12        19        0.412     200000    
2013      1         24        0.505     210000    
2013      2         5         0.541     213000    
2013      2         21        0.552     224000    
2013      3         5         0.523     227000    
2013      3         19        0.499     228000    
2013      4         17        0.497     228000    
2013      4         23        0.534     242000    
2013      5         23        0.545     224000    
2013      6         20        0.544     241000    
2013      7         10        0.514     262000    
2013      8         22        0.385     265000    
2013      10        30        0.426     245000    
2013      12        5         0.442     258000    
2014      1         8         0.503     191000    
2014      2         6         0.535     240000    
2014      2         19        0.598     249000    
2014      3         26        0.554     241000    
2014      4         9         0.532     223000    
2014      4         29        0.509     263000    
2014      5         14        0.522     274000    
2014      5         30        0.54      290000    
2014      6         26        0.498     292000    
2014      7         14        0.669     295000    
2014      8         14        0.425     284000    
2014      10        23        0.418     261000    
2014      12        16        0.449     235000    
2015      1         29        0.475     228000    
2015      2         11        0.502     239000    
2015      2         24        0.531     239000    
2015      3         10        0.534     229000    
2015      3         24        0.561     223000    
2015      4         16        0.517     226000    
2015      4         28        0.445     233000    
2015      5         5         0.629     236000    
2015      5         27        0.502     231000    
2015      6         23        0.426     254000    
2015      7         21        0.472     297000    
2015      8         20        0.4       301000    
2015      10        1         0.441     286000    
2015      12        2         0.428     268000    
2016      1         14        0.453     220000    
2016      2         12        0.464     220000    
2016      2         24        0.53      275000    
2016      3         9         0.521     284000    
2016      3         23        0.502     293000    
2016      4         5         0.517     275000    
2016      4         20        0.472     304000    
2016      5         11        0.463     303000    
2016      5         25        0.462     297000    
2016      6         9         0.451     273000    
2016      7         20        0.36      263000    
2016      8         18        0.376     256000    
2016      10        13        0.335     246000    
2016      12        6         0.433     244000    
2017      1         10        0.532     220000    
2017      2         7         0.56      244000    
2017      2         22        0.479     258000    
2017      3         7         0.438     254000    
2017      4         4         0.502     275000    
2017      4         25        0.512     281000    
2017      5         9         0.564     229000    
2017      5         23        0.55      349000    
2017      6         13        0.488     361000    
2017      7         25        0.426     367000    
2017      8         22        0.415     349000    
2017      10        17        0.417     307000    
2017      12        19        0.403     299000    
2018      1         9         0.44      220000    
2018      2         6         0.49      313000    
2018      2         27        0.55      315000    
2018      3         13        0.56      323000    
2018      3         27        0.485     316000    
2018      4         10        0.508     303000    
2018      4         24        0.487     307000    
2018      5         8         0.464     261000    
2018      5         30        0.515     331000    
2018      6         13        0.461     328000    
2018      7         10        0.405     311000    
2018      8         14        0.342     301000    
2018      10        10        0.357     282000    
