Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         17        3.88      166000    
2008      2         12        3.68      198000    
2008      3         11        2.07      336000    
2008      3         25        2.14      418000    
2008      4         8         2.04      561000    
2008      4         22        1.9       621000    
2008      5         6         2.18      530000    
2008      5         28        2.8       421000    
2008      6         10        3.0       331000    
2008      8         19        1.86      187000    
2008      10        21        1.34      112000    
2008      11        13        2.05      112000    
2009      1         20        2.84      263000    
2009      2         17        2.25      193000    
2009      3         19        2.21      231000    
2009      4         7         2.57      298000    
2009      4         22        2.29      346000    
2009      5         5         2.24      348000    
2009      5         22        1.7       510000    
2009      6         2         1.76      542000    
2009      6         19        1.6       318000    
2009      8         12        2.07      209000    
2009      10        5         0.922     193000    
2009      12        3         1.24      301000    
2010      1         13        1.31      334000    
2010      2         3         1.81      370000    
2010      2         22        1.39      417000    
2010      3         10        1.06      280000    
2010      3         24        2.66      298000    
2010      4         8         3.29      388000    
2010      4         22        3.43      295000    
2010      5         6         3.95      239000    
2010      5         20        2.27      376000    
2010      6         3         3.36      389000    
2010      6         17        3.77      249000    
2010      9         1         2.71      170000    
2010      10        28        2.94      125000    
2010      12        9         2.62      157000    
2011      1         11        2.93      123000    
2011      2         10        2.85      123000    
2011      2         23        2.7       121000    
2011      3         7         4.23      295000    
2011      3         22        3.53      397000    
2011      4         7         3.32      407000    
2011      4         21        3.42      318000    
2011      5         12        2.31      605000    
2011      5         19        2.33      672000    
2011      5         26        2.42      688000    
2011      6         2         1.85      621000    
2011      6         7         1.98      570000    
2011      6         16        3.01      438000    
2011      6         23        3.67      338000    
2011      6         30        3.78      273000    
2011      7         14        3.61      281000    
2011      7         28        3.02      195000    
2011      8         25        1.97      146000    
2011      10        25        1.3       87000     
2011      12        12        1.66      332000    
2012      1         19        1.72      214000    
2012      2         9         1.65      335000    
2012      2         23        1.31      274000    
2012      3         8         1.82      164000    
2012      3         20        1.41      314000    
2012      4         5         1.29      331000    
2012      4         19        0.877     190000    
2012      5         3         1.54      138000    
2012      5         17        2.92      219000    
2012      6         12        2.85      100000    
2012      6         27        3.63      83000     
2012      8         9         0.984     76000     
2012      10        25        0.95      65000     
2012      12        4         1.17      65000     
2013      1         21        1.32      267000    
2013      2         6         1.46      277000    
2013      2         26        1.71      257000    
2013      3         5         1.73      215000    
2013      3         21        2.37      255000    
2013      4         15        1.92      284000    
2013      4         25        1.99      347000    
2013      5         9         3.61      383000    
2013      5         23        2.31      426000    
2013      6         6         2.07      338000    
2013      6         20        3.27      363000    
2013      7         18        3.11      284000    
2013      8         1         2.13      214000    
2013      8         22        1.56      207000    
2013      11        13        1.14      101000    
2013      12        2         1.1       139000    
2014      1         13        1.56      302000    
2014      2         6         1.42      157000    
2014      2         19        1.57      267000    
2014      3         3         1.6       222000    
2014      3         20        1.49      219000    
2014      3         31        1.74      244000    
2014      4         24        1.59      378000    
2014      5         8         1.93      258000    
2014      5         22        1.66      261000    
2014      6         5         2.4       264000    
2014      6         19        1.98      269000    
2014      7         9         3.33      221000    
2014      7         31        2.98      174000    
2014      8         21        1.63      103000    
2014      10        23        2.03      200000    
2014      12        11        1.7       138000    
2015      1         15        1.49      234000    
2015      2         12        2.08      127000    
2015      2         26        1.82      169000    
2015      3         16        1.58      332000    
2015      3         26        1.37      426000    
2015      4         9         1.25      424000    
2015      4         24        1.23      392000    
2015      5         4         1.29      421000    
2015      5         21        1.46      309000    
2015      6         4         1.52      359000    
2015      6         18        1.35      372000    
2015      7         1         1.88      396000    
2015      7         16        1.72      455000    
2015      8         13        1.61      325000    
2015      10        8         1.82      87000     
2015      12        10        1.86      312000    
2016      1         14        1.79      594000    
2016      2         4         1.46      402000    
2016      2         26        1.51      296000    
2016      3         10        1.66      363000    
2016      3         24        1.06      493000    
2016      4         7         1.41      389000    
2016      4         20        1.62      323000    
2016      5         5         1.18      302000    
2016      5         26        2.13      338000    
2016      6         9         1.89      305000    
2016      6         23        1.69      215000    
2016      7         14        2.55      178000    
2016      7         28        1.67      140000    
2016      8         25        1.52      205000    
2016      10        17        2.4       129000    
2016      12        8         1.85      104000    
2017      1         26        2.12      255000    
2017      2         16        2.46      194000    
2017      3         1         1.8       167000    
2017      3         13        2.29      232000    
2017      3         29        2.33      192000    
2017      4         13        2.36      291000    
2017      4         24        2.53      313000    
2017      5         8         1.93      356000    
2017      5         22        1.8       501000    
2017      6         5         1.99      499000    
2017      6         19        2.19      383000    
2017      7         10        1.9       246000    
2017      7         24        1.86      181000    
2017      8         17        1.31      149000    
2017      10        19        1.01      101000    
2017      12        11        2.03      122000    
2018      1         23        1.83      138000    
2018      2         12        2.1       221000    
2018      2         26        1.79      367000    
2018      3         15        1.34      618000    
2018      3         28        1.14      503000    
2018      4         9         1.29      455000    
2018      4         23        1.38      459000    
2018      5         7         1.44      415000    
2018      5         24        1.76      265000    
2018      6         4         2.27      248000    
2018      6         21        1.84      165000    
2018      7         9         2.99      244000    
2018      7         23        2.86      157000    
2018      8         13        2.0       143000    
2018      10        18        1.8       289000    
2018      12        3         1.7       310000    
