Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         10        5.65      60200     
2008      1         24        4.9       47200     
2008      2         7         4.7       68800     
2008      2         28        4.34      59900     
2008      3         6         3.85      78200     
2008      3         25        2.95      181000    
2008      4         16        3.53      90000     
2008      5         15        3.5       78400     
2008      6         16        3.04      224000    
2008      6         25        3.37      39600     
2008      8         13        1.38      17200     
2008      11        4         2.23      6400      
2008      12        9         2.1       6400      
2009      1         13        3.87      27100     
2009      1         27        3.66      13200     
2009      2         10        3.24      35800     
2009      2         24        4.74      63700     
2009      3         10        3.93      27700     
2009      3         24        4.09      53200     
2009      4         7         3.82      63600     
2009      5         12        3.58      79100     
2009      6         2         3.34      42000     
2009      8         25        1.25      15000     
2009      11        4         2.84      50200     
2009      12        8         3.19      25900     
2010      1         20        3.58      18400     
2010      1         26        3.3       55700     
2010      2         9         3.64      29800     
2010      2         23        3.08      29000     
2010      3         16        4.98      51800     
2010      3         30        3.09      64400     
2010      4         20        3.05      23900     
2010      5         25        5.84      56800     
2010      6         15        6.32      45500     
2010      8         3         1.92      16100     
2010      10        19        1.82      4380      
2010      12        7         4.27      16000     
2011      1         4         4.45      29600     
2011      1         19        4.65      10800     
2011      2         8         3.68      13300     
2011      2         23        6.32      48600     
2011      3         8         4.52      129000    
2011      3         29        4.01      40900     
2011      5         24        3.68      51400     
2011      6         14        4.08      45600     
2011      8         17        1.12      7870      
2011      10        26        2.55      14800     
2011      12        6         3.48      84800     
2012      1         10        3.68      35800     
2012      1         24        4.02      74500     
2012      2         7         3.81      71400     
2012      2         22        3.32      30400     
2012      3         6         3.09      32000     
2012      3         20        2.75      27200     
2012      4         17        2.41      22900     
2012      5         22        2.45      12100     
2012      6         5         1.46      7900      
2012      8         23        1.04      4490      
2012      10        31        3.64      12900     
2012      12        12        2.5       8750      
2013      1         29        4.55      31500     
2013      2         13        5.19      40100     
2013      2         26        4.43      26100     
2013      3         13        5.5       42200     
2013      3         28        4.34      35100     
2013      4         10        4.56      21100     
2013      4         23        4.48      109000    
2013      5         8         4.86      90800     
2013      6         3         6.82      65800     
2013      7         16        4.6       25700     
2013      8         12        2.26      11000     
2013      10        22        1.56      6260      
2013      12        11        2.41      8020      
2014      1         13        3.83      53900     
2014      2         11        3.33      24200     
2014      2         24        3.22      67900     
2014      3         4         3.25      70700     
2014      3         11        3.62      35600     
2014      3         24        5.12      45200     
2014      4         7         3.66      107000    
2014      4         30        4.45      48200     
2014      5         12        2.3       22000     
2014      6         18        6.16      37000     
2014      7         15        2.99      17300     
2014      8         13        3.21      7820      
2014      10        14        5.42      17800     
2014      12        15        4.09      43400     
2015      1         12        3.9       36900     
2015      1         26        4.16      32400     
2015      3         11        3.26      50200     
2015      4         6         2.66      70200     
2015      4         20        3.11      64900     
2015      5         4         3.66      32600     
2015      5         27        4.04      19300     
2015      6         8         6.99      31200     
2015      7         6         2.95      116000    
2015      8         6         2.01      48000     
2015      10        20        1.54      6220      
2015      12        7         3.85      19500     
2016      1         5         3.53      151000    
2016      1         20        4.07      53000     
2016      2         3         3.54      23300     
2016      2         23        3.74      24200     
2016      3         8         3.99      50200     
2016      3         21        4.42      74800     
2016      4         25        4.12      45100     
2016      5         9         5.02      54100     
2016      7         25        3.69      22700     
2016      8         8         1.56      12200     
2016      9         6         2.65      16600     
2016      10        24        4.01      31100     
2016      12        5         4.36      31900     
2017      1         3         6.83      36100     
2017      1         25        4.56      82300     
2017      2         1         5.63      69100     
2017      2         21        4.64      22200     
2017      3         8         3.46      49800     
2017      3         28        4.67      27900     
2017      4         12        5.71      56100     
2017      4         27        3.41      22000     
2017      5         15        3.89      172000    
2017      6         28        4.78      48700     
2017      7         24        3.14      34400     
2017      8         14        1.93      12400     
2017      10        16        1.97      9990      
2017      12        12        3.34      14200     
2018      2         27        3.19      96300     
2018      3         13        4.35      74100     
2018      3         26        3.16      49200     
2018      4         9         2.61      146000    
2018      4         23        3.72      62700     
2018      5         7         2.5       27200     
2018      5         24        2.46      20900     
2018      6         11        4.63      25800     
2018      8         6         1.38      11200     
2018      9         4         2.2       17800     
2018      10        24        2.42      13900     
2018      12        7         4.1       58700     
