Year      Month     Day       Conc_mg/l Q_cfs          
2008      1         9         2.4       17500     
2008      2         14        2.14      14300     
2008      3         19        6.31      22300     
2008      4         8         4.04      23100     
2008      4         22        4.01      27300     
2008      5         8         4.72      29300     
2008      5         20        4.19      24000     
2008      6         2         8.06      40600     
2008      6         12        9.24      70700     
2008      6         16        7.34      47500     
2008      7         23        3.01      29000     
2008      9         3         1.0       29100     
2008      10        21        1.18      24900     
2009      2         2         1.89      16300     
2009      3         9         3.59      17400     
2009      3         23        2.42      24500     
2009      4         6         2.7       28300     
2009      4         20        2.13      29100     
2009      5         4         2.61      29200     
2009      5         18        2.18      31900     
2009      6         8         1.35      33500     
2009      6         24        2.62      40400     
2009      7         13        4.97      49300     
2009      8         19        1.47      34300     
2009      10        6         1.01      34700     
2010      1         14        1.83      22200     
2010      3         2         2.04      20300     
2010      3         22        6.16      97900     
2010      4         6         3.94      52300     
2010      4         20        3.1       40300     
2010      5         4         2.58      43100     
2010      5         17        3.22      45600     
2010      6         1         2.1       41100     
2010      6         21        4.89      81500     
2010      7         13        2.98      63900     
2010      8         23        2.26      62300     
2010      10        19        1.74      61600     
2010      11        29        1.84      52500     
2011      2         14        2.06      29300     
2011      3         1         4.2       35700     
2011      3         14        2.73      32200     
2011      3         28        4.27      68500     
2011      4         11        3.06      55000     
2011      4         25        3.43      79100     
2011      5         9         1.87      76400     
2011      5         23        2.18      87100     
2011      6         7         2.0       115000    
2011      6         20        1.69      177000    
2011      8         8         1.01      174000    
2011      10        12        1.03      49800     
2011      11        28        0.933     47000     
2012      1         31        1.31      26900     
2012      3         5         2.84      32400     
2012      4         9         0.948     33000     
2012      4         23        1.56      30600     
2012      5         7         3.02      34000     
2012      5         21        2.4       40900     
2012      6         11        2.87      40500     
2012      6         25        1.82      37500     
2012      7         23        0.694     35900     
2012      8         27        0.603     39600     
2012      10        1         0.569     37700     
2012      12        4         0.806     21000     
2013      2         5         1.08      18600     
2013      3         12        3.42      20700     
2013      3         25        1.57      26900     
2013      4         8         1.08      28000     
2013      4         22        2.4       20900     
2013      5         7         2.29      24800     
2013      5         22        2.12      25600     
2013      6         4         7.21      33300     
2013      6         19        5.39      40400     
2013      7         1         4.36      34500     
2013      7         23        1.43      30200     
2013      8         26        0.794     32100     
2013      10        21        0.863     29900     
2013      12        2         0.79      19100     
2014      2         13        0.962     17900     
2014      3         10        1.09      18300     
2014      3         24        1.41      29200     
2014      4         8         1.06      31500     
2014      4         22        0.791     31100     
2014      5         5         0.692     30600     
2014      5         20        0.771     33500     
2014      6         3         0.821     36000     
2014      6         18        6.21      73900     
2014      7         7         6.66      48600     
2014      7         29        1.55      35000     
2014      8         26        1.36      37000     
2014      10        14        1.3       52700     
2014      12        9         1.69      28300     
2015      1         27        1.73      24900     
2015      3         10        2.28      22000     
2015      3         24        1.48      31000     
2015      4         7         1.24      31000     
2015      4         21        2.5       32700     
2015      5         5         1.91      30300     
2015      5         19        2.79      38100     
2015      6         2         2.56      36700     
2015      6         16        4.22      39900     
2015      6         30        2.66      33200     
2015      7         14        2.19      37100     
2015      7         28        2.34      37400     
2015      8         24        4.58      41400     
2015      10        20        1.78      34000     
2015      12        2         5.64      32500     
2016      2         23        6.23      41000     
2016      3         8         6.58      31200     
2016      3         22        5.67      28200     
2016      4         5         6.17      39200     
2016      4         19        4.0       32700     
2016      5         3         9.04      61800     
2016      5         18        7.84      43400     
2016      6         1         7.36      46200     
2016      6         15        5.02      41400     
2016      6         28        4.93      39800     
2016      7         13        3.39      36300     
2016      7         26        2.61      33500     
2016      8         16        1.43      31600     
2016      10        19        3.66      31500     
2017      1         3         3.61      27000     
2017      2         14        3.86      29400     
2017      3         14        3.79      27500     
2017      3         28        3.15      37900     
2017      4         11        2.85      36400     
2017      4         25        2.74      41800     
2017      5         17        3.01      47200     
2017      5         30        5.39      54400     
2017      6         13        2.97      44700     
2017      6         27        2.5       43300     
2017      7         11        2.1       40400     
2017      7         25        1.35      36400     
2017      8         15        0.811     36200     
2017      10        11        3.95      51000     
2017      12        5         1.62      35500     
2018      2         15        1.81      22100     
2018      3         13        4.13      31700     
2018      3         27        4.38      46800     
2018      4         10        2.84      49200     
2018      4         24        3.98      55900     
2018      5         8         3.11      59300     
2018      5         22        2.93      63000     
2018      6         5         2.35      56100     
2018      6         19        3.94      66400     
2018      6         28        6.84      101000    
2018      7         17        2.86      79500     
2018      8         15        1.29      66200     
2018      10        16        3.17      91700     
2018      12        4         2.04      60900        
