Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         0.78      7500      
2008      1         24        0.81      4300      
2008      2         20        0.77      9150      
2008      2         26        0.7       11700     
2008      3         12        0.71      11000     
2008      3         25        0.7       7100      
2008      4         17        0.68      11200     
2008      5         6         0.73      9630      
2008      7         1         0.43      10800     
2008      8         6         0.52      4470      
2008      11        6         0.537     9950      
2008      12        11        0.588     7140      
2009      1         15        1.01      9780      
2009      1         29        0.935     10000     
2009      2         11        0.898     26300     
2009      2         26        0.827     10200     
2009      3         12        0.669     6650      
2009      3         26        0.649     11100     
2009      4         8         0.714     9190      
2009      5         13        0.811     6920      
2009      6         4         0.523     5100      
2009      8         27        0.403     8220      
2009      11        6         0.693     10800     
2009      12        11        0.734     3860      
2010      1         8         0.739     3530      
2010      1         27        0.805     6120      
2010      2         10        0.818     6780      
2010      3         5         0.793     13200     
2010      3         18        0.692     24000     
2010      4         1         0.657     12500     
2010      4         22        0.584     7180      
2010      5         27        0.643     8910      
2010      6         17        0.462     68700     
2010      8         5         0.489     12700     
2010      10        21        0.433     7290      
2010      12        10        0.563     7780      
2011      1         6         0.742     5870      
2011      1         21        0.771     7880      
2011      2         11        0.845     9240      
2011      2         25        0.965     11400     
2011      3         10        0.886     10700     
2011      3         31        0.813     11000     
2011      5         11        0.867     8440      
2011      5         26        0.726     24800     
2011      6         16        0.662     13000     
2011      8         16        0.47      12300     
2011      10        28        0.595     8170      
2011      12        8         0.675     5000      
2012      1         12        0.846     7630      
2012      1         26        0.882     6410      
2012      2         9         0.797     8810      
2012      2         27        0.773     9980      
2012      3         8         0.737     9580      
2012      3         22        0.65      8230      
2012      4         19        0.594     10500     
2012      5         24        0.391     4760      
2012      6         7         0.337     5480      
2012      8         29        0.461     779       
2012      11        6         0.541     3620      
2012      12        6         0.534     4340      
2013      1         10        0.762     4330      
2013      1         31        0.844     3590      
2013      2         13        0.82      6860      
2013      2         26        0.797     3130      
2013      3         14        0.712     6420      
2013      3         28        0.692     5220      
2013      4         25        0.707     8400      
2013      4         29        0.746     7050      
2013      5         30        0.559     21200     
2013      6         11        0.43      7440      
2013      7         30        0.444     2900      
2013      8         14        0.574     3150      
2013      10        24        0.523     7260      
2013      12        3         0.542     6850      
2014      1         14        0.805     3760      
2014      1         30        0.693     5180      
2014      2         11        0.957     3170      
2014      2         25        0.959     10200     
2014      3         11        1.15      12000     
2014      3         24        0.813     6800      
2014      4         16        0.965     7900      
2014      4         29        0.598     6760      
2014      5         27        0.914     7490      
2014      6         24        0.856     22700     
2014      7         7         0.454     10300     
2014      8         11        0.388     4460      
2014      10        27        0.56      6830      
2014      12        15        0.614     7560      
2015      1         12        0.744     4770      
2015      1         26        0.778     8200      
2015      2         23        0.826     7530      
2015      3         9         0.794     8160      
2015      4         8         0.603     6120      
2015      4         22        0.672     9390      
2015      5         5         0.729     8010      
2015      6         2         0.509     16800     
2015      8         5         0.75      7970      
2015      10        20        0.63      6280      
2015      12        14        0.883     27000     
2016      1         4         0.763     8400      
2016      1         19        0.732     7720      
2016      2         2         0.819     13300     
2016      2         23        0.708     16500     
2016      3         15        0.697     9700      
2016      3         30        0.737     10200     
2016      4         11        0.601     9480      
2016      4         27        0.459     16900     
2016      5         25        0.654     20600     
2016      6         14        0.415     13100     
2016      7         18        0.406     7460      
2016      8         10        0.384     5430      
2016      10        17        0.41      7500      
2016      12        5         0.466     7990      
2017      1         5         0.663     6900      
2017      1         19        0.875     9410      
2017      2         2         0.759     10900     
2017      2         21        0.799     9580      
2017      3         6         0.741     9830      
2017      3         20        0.735     8650      
2017      4         3         0.605     11700     
2017      4         17        0.579     11600     
2017      5         10        0.811     11100     
2017      6         20        0.473     8050      
2017      7         18        0.283     3520      
2017      8         8         0.375     4220      
2017      10        16        0.519     12000     
2017      12        11        0.593     7250      
2018      1         3         0.729     2950      
2018      2         20        0.795     8320      
2018      2         28        0.759     8440      
2018      3         19        0.779     14900     
2018      4         9         0.761     10800     
2018      4         23        0.685     12200     
2018      5         7         0.726     11400     
2018      6         5         0.593     12300     
2018      7         10        0.535     13900     
2018      8         6         0.364     7700      
2018      10        9         0.508     10200     
2018      12        12        0.762     10100     
