Year      Month     Day       Conc_mg/l Q_cfs        
2008      1         24        0.507     216000    
2008      2         5         0.803     251000    
2008      3         20        0.688     259000    
2008      4         21        0.61      240000    
2008      5         22        0.396     512000    
2008      6         16        0.264     414000    
2008      8         18        0.285     134000    
2008      10        20        0.334     120000    
2008      12        1         0.37      148000    
2009      1         12        0.57      340000    
2009      1         22        0.391     233000    
2009      2         19        0.487     159000    
2009      3         2         0.755     175000    
2009      3         16        0.556     188000    
2009      4         20        0.706     289000    
2009      5         4         0.449     265000    
2009      5         18        0.433     328000    
2009      6         15        0.277     293000    
2009      8         17        0.273     114000    
2009      10        21        0.319     124000    
2009      12        2         0.577     170000    
2009      12        16        0.333     184000    
2010      1         6         0.735     277000    
2010      1         20        0.636     217000    
2010      2         4         0.639     179000    
2010      2         17        0.721     191000    
2010      3         17        0.672     189000    
2010      4         21        0.575     248000    
2010      5         26        0.236     294000    
2010      6         16        0.429     422000    
2010      8         18        0.262     152000    
2010      10        20        0.372     123000    
2010      12        1         0.539     220000    
2010      12        15        0.654     391000    
2011      1         5         0.591     300000    
2011      1         19        0.592     474000    
2011      2         9         0.628     264000    
2011      3         23        0.65      307000    
2011      4         20        0.523     440000    
2011      5         4         0.546     353000    
2011      5         18        0.43      559000    
2011      6         22        0.304     519000    
2011      8         24        0.257     204000    
2011      10        19        0.388     162000    
2011      12        21        0.443     164000    
2012      1         4         0.712     286000    
2012      1         26        0.752     418000    
2012      2         7         0.549     229000    
2012      2         22        0.677     272000    
2012      3         7         0.696     270000    
2012      3         21        0.649     401000    
2012      4         18        0.654     410000    
2012      5         9         0.329     461000    
2012      5         23        0.301     448000    
2012      6         20        0.235     415000    
2012      8         22        0.214     227000    
2012      10        23        0.421     168000    
2012      12        4         0.692     376000    
2012      12        18        0.57      373000    
2013      1         8         0.518     229000    
2013      1         29        0.486     252000    
2013      2         12        0.498     215000    
2013      2         26        0.561     199000    
2013      3         26        0.635     198000    
2013      4         23        0.418     329000    
2013      5         21        0.326     362000    
2013      6         18        0.234     244000    
2013      8         20        0.273     169000    
2013      10        22        0.347     160000    
2013      12        3         0.536     270000    
2014      1         7         0.459     190000    
2014      1         22        0.474     199000    
2014      2         11        0.428     211000    
2014      2         25        0.759     298000    
2014      3         25        0.673     284000    
2014      4         22        0.54      343000    
2014      5         20        0.328     424000    
2014      6         17        0.28      264000    
2014      7         22        0.17      230000    
2014      8         19        0.237     181000    
2014      10        21        0.317     118000    
2014      12        2         0.49      282000    
2014      12        16        0.59      220000    
2015      1         6         0.658     305000    
2015      1         27        0.581     252000    
2015      2         10        0.816     424000    
2015      2         24        0.675     288000    
2015      3         24        0.486     294000    
2015      4         21        0.366     217000    
2015      5         19        0.275     223000    
2015      6         23        0.229     130000    
2015      8         18        0.222     161000    
2015      11        3         0.421     181000    
2015      12        1         0.438     195000    
2016      1         27        0.669     281000    
2016      2         9         0.71      201000    
2016      2         23        0.646     305000    
2016      3         22        0.61      328000    
2016      4         19        0.528     363000    
2016      6         14        0.248     195000    
2016      7         19        0.225     165000    
2016      8         16        0.235     123000    
2016      9         7         0.287     108000    
2016      10        18        0.455     243000    
2016      12        6         0.602     241000    
2016      12        20        0.532     244000    
2017      1         24        0.609     253000    
2017      2         22        0.677     434000    
2017      3         8         1.01      343000    
2017      4         11        0.648     510000    
2017      5         24        0.318     502000    
2017      6         7         0.327     499000    
2017      6         20        0.222     390000    
2017      7         12        0.245     202000    
2017      8         8         0.226     147000    
2017      10        24        0.484     233000    
2017      11        13        0.441     184000    
2017      12        13        0.619     224000    
2018      1         24        0.696     334000    
2018      2         7         0.696     342000    
2018      3         1         0.593     267000    
2018      3         7         0.587     250000    
2018      3         21        0.57      239000    
2018      4         4         0.653     264000    
2018      5         9         0.428     454000    
2018      6         6         0.285     383000    
2018      8         8         0.169     149000    
