Year      Month     Day       Conc_mg/l Q_cfs           
2008      4         28        1.66      2900      
2008      5         28        1.38      8400      
2008      6         17        0.643     1860      
2008      7         1         0.655     1360      
2008      7         15        0.86      362       
2008      7         29        0.985     269       
2008      8         15        0.978     464       
2008      8         29        1.92      2920      
2008      11        17        1.92      2100      
2009      1         14        1.32      592       
2009      2         25        1.87      550       
2009      5         6         1.78      18400     
2009      5         19        0.981     1630      
2009      6         3         0.721     663       
2009      6         24        0.502     40        
2009      7         1         0.982     302       
2009      7         28        0.814     529       
2009      8         12        0.791     329       
2009      8         25        0.936     422       
2009      9         10        1.65      944       
2009      11        19        1.57      9050      
2010      1         19        1.78      5780      
2010      2         17        2.16      40400     
2010      3         11        1.52      15500     
2010      4         15        1.46      6100      
2010      4         27        1.62      19700     
2010      5         26        1.3       5450      
2010      6         16        1.98      14000     
2010      7         13        1.28      2460      
2010      8         4         0.873     2030      
2010      8         17        0.898     910       
2010      9         1         1.2       1030      
2010      11        18        1.58      1730      
2010      12        14        1.38      925       
2011      2         15        2.54      1150      
2011      3         23        0.861     491       
2011      4         13        0.944     138       
2011      4         26        1.07      309       
2011      5         12        0.855     212       
2011      6         1         1.06      401       
2011      6         22        1.08      200       
2011      7         7         0.963     94        
2011      7         28        1.22      411       
2011      8         17        1.1       300       
2011      10        6         1.31      380       
2012      1         11        2.88      5580      
2012      2         16        1.67      4530      
2012      3         22        2.64      15600     
2012      4         11        1.72      10400     
2012      4         25        1.4       4700      
2012      5         16        1.25      2980      
2012      5         30        1.12      467       
2012      6         12        0.912     304       
2012      6         27        0.947     287       
2012      7         18        1.37      4590      
2012      8         21        1.25      1020      
2012      10        17        2.31      1020      
2012      12        12        2.21      388       
2013      1         17        4.43      5770      
2013      2         13        2.34      698       
2013      3         13        2.02      376       
2013      4         16        2.22      472       
2013      4         30        2.74      1400      
2013      5         9         0.977     171       
2013      5         20        2.73      1130      
2013      6         6         2.17      575       
2013      6         20        0.923     201       
2013      7         1         0.784     174       
2013      7         16        1.36      406       
2013      8         7         1.39      419       
2013      11        12        1.5       12400     
2013      12        10        1.21      5210      
2014      1         22        1.78      1290      
2014      2         12        2.12      1030      
2014      3         5         2.69      1500      
2014      4         3         1.27      491       
2014      4         16        1.81      1240      
2014      5         7         1.32      289       
2014      5         20        5.7       7700      
2014      6         12        1.2       2990      
2014      6         25        2.0       1900      
2014      7         9         1.72      1620      
2014      7         22        0.964     1910      
2014      8         12        0.992     745       
2014      10        28        1.45      405       
2014      12        2         3.37      2620      
2015      1         13        2.04      4650      
2015      2         10        1.64      3310      
2015      3         3         1.83      1070      
2015      4         7         1.54      5080      
2015      4         22        2.21      12500     
2015      5         20        2.55      43400     
2015      6         5         1.1       67600     
2015      6         18        1.52      43300     
2015      6         30        1.39      38900     
2015      7         14        1.27      18800     
2015      7         28        1.14      10100     
2015      8         12        1.09      6120      
2015      10        21        1.47      640       
2015      12        9         1.46      37100     
2016      1         20        1.49      15300     
2016      2         17        1.83      6400      
2016      3         7         1.57      7690      
2016      3         16        5.84      56300     
2016      4         5         1.54      11000     
2016      4         26        2.67      67000     
2016      5         12        1.33      33900     
2016      5         25        1.93      49900     
2016      6         8         1.19      80700     
2016      6         22        1.4       40600     
2016      7         6         1.2       36400     
2016      7         11        1.24      26800     
2016      7         26        1.48      14900     
2016      8         18        1.88      10900     
2016      10        18        1.39      2580      
2016      10        31        0.62      1800      
2016      12        6         3.15      13600     
2017      1         10        2.03      2590      
2017      1         16        1.34      2550      
2017      2         6         1.89      5100      
2017      2         7         1.61      4630      
2017      3         7         1.99      14300     
2017      4         5         2.25      5040      
2017      4         20        2.9       27600     
2017      4         25        1.83      19800     
2017      5         3         1.45      8190      
2017      5         16        0.966     1860      
2017      5         18        1.16      1860      
2017      6         6         2.21      7680      
2017      6         12        1.73      6710      
2017      6         27        1.41      5720      
2017      7         10        1.38      4350      
2017      7         11        1.11      4240      
2017      7         25        0.724     1560      
2017      8         15        0.992     1800      
2017      8         30        0.845     117000    
2017      9         8         1.72      28200     
2017      10        18        1.06      3490      
2017      12        12        1.45      1580      
2018      1         9         2.52      1750      
2018      2         13        1.72      2590      
2018      3         6         3.37      3900      
2018      4         3         5.37      31300     
2018      5         9         0.754     1080      
2018      5         21        1.28      760       
2018      6         5         0.752     711       
2018      6         19        1.04      858       
2018      7         10        1.33      1510      
2018      7         24        0.534     546       
2018      8         7         0.743     622       
2018      10        9         1.88      2220      
2018      12        11        1.92      51700     
