Year      Month     Day       Conc_mg/l Q_cfs        
2008      2         11        2.86      455000    
2008      3         10        2.17      782000    
2008      4         7         1.71      1280000   
2008      4         21        1.61      1450000   
2008      5         5         1.99      1290000   
2008      5         27        2.17      997000    
2008      6         9         2.26      806000    
2008      6         23        3.24      803000    
2008      7         8         3.27      795000    
2008      8         18        1.84      449000    
2008      10        20        1.41      275000    
2008      11        17        1.75      228000    
2009      1         19        2.45      616000    
2009      2         3         2.08      362000    
2009      3         2         2.48      573000    
2009      4         6         2.52      707000    
2009      4         23        2.18      808000    
2009      5         4         2.03      784000    
2009      5         20        1.7       1170000   
2009      6         1         1.65      1270000   
2009      6         18        2.08      771000    
2009      8         13        1.74      482000    
2009      10        8         1.24      506000    
2009      12        2         1.94      725000    
2010      1         12        1.78      786000    
2010      2         16        1.62      1020000   
2010      2         23        1.55      937000    
2010      3         11        1.59      640000    
2010      3         22        2.41      658000    
2010      4         7         2.51      904000    
2010      4         21        2.46      720000    
2010      5         5         2.74      582000    
2010      5         19        1.68      864000    
2010      6         2         2.17      890000    
2010      6         16        2.55      562000    
2010      8         11        2.35      491000    
2010      10        27        2.15      289000    
2010      12        8         1.98      344000    
2011      1         10        2.07      271000    
2011      2         9         2.32      288000    
2011      2         22        2.12      299000    
2011      3         8         3.58      705000    
2011      3         21        2.51      910000    
2011      4         6         2.08      952000    
2011      4         20        2.28      739000    
2011      5         9         1.64      1320000   
2011      5         16        1.67      1500000   
2011      5         23        1.69      1590000   
2011      5         30        1.6       1480000   
2011      6         6         1.62      1340000   
2011      6         13        1.92      1090000   
2011      6         20        2.52      895000    
2011      6         27        2.56      670000    
2011      7         11        2.54      687000    
2011      7         25        2.17      505000    
2011      8         22        1.61      391000    
2011      10        24        1.15      203000    
2011      12        6         1.64      620000    
2012      1         17        1.54      549000    
2012      2         6         1.59      771000    
2012      2         22        1.66      661000    
2012      3         5         1.64      415000    
2012      3         19        1.63      730000    
2012      4         2         1.56      811000    
2012      4         16        1.5       528000    
2012      4         30        1.47      384000    
2012      5         14        2.04      457000    
2012      6         11        2.01      235000    
2012      6         25        2.4       204000    
2012      8         6         1.09      156000    
2012      10        22        0.931     153000    
2012      12        3         1.3       155000    
2013      1         15        1.53      523000    
2013      2         5         1.63      667000    
2013      2         18        1.82      703000    
2013      3         4         1.91      514000    
2013      3         18        2.06      536000    
2013      4         8         2.23      624000    
2013      4         22        2.23      636000    
2013      5         6         2.81      902000    
2013      5         20        2.43      977000    
2013      6         3         2.46      880000    
2013      6         17        3.41      840000    
2013      7         15        3.42      609000    
2013      7         30        2.34      559000    
2013      8         19        1.63      404000    
2013      11        12        1.15      244000    
2013      12        3         1.22      325000    
2014      1         16        1.69      613000    
2014      2         3         1.69      389000    
2014      2         18        1.76      628000    
2014      3         5         2.18      600000    
2014      3         17        1.86      567000    
2014      4         7         2.17      499000    
2014      4         21        1.88      855000    
2014      5         5         2.25      568000    
2014      5         19        1.73      639000    
2014      6         4         2.64      634000    
2014      6         16        2.07      597000    
2014      7         7         3.06      505000    
2014      7         28        3.48      477000    
2014      8         18        2.06      276000    
2014      10        20        1.86      424000    
2014      12        8         1.54      300000    
2015      1         12        1.61      564000    
2015      2         24        1.94      326000    
2015      3         9         1.66      579000    
2015      3         23        1.76      953000    
2015      4         6         1.48      1050000   
2015      4         20        1.57      876000    
2015      5         7         1.41      944000    
2015      5         18        1.89      644000    
2015      6         1         2.58      763000    
2015      6         15        2.17      810000    
2015      6         29        2.83      830000    
2015      7         13        2.21      998000    
2015      8         10        1.76      850000    
2015      10        5         2.1       223000    
2015      12        7         1.94      688000    
2016      1         11        1.93      1300000   
2016      2         3         2.29      890000    
2016      2         25        1.86      685000    
2016      3         7         2.15      808000    
2016      3         21        1.9       970000    
2016      4         4         2.36      874000    
2016      4         18        2.38      730000    
2016      5         2         2.46      651000    
2016      5         23        3.04      764000    
2016      6         6         2.99      695000    
2016      6         20        2.57      496000    
2016      7         11        2.72      400000    
2016      7         25        2.17      417000    
2016      8         22        1.66      444000    
2016      10        20        2.94      365000    
2016      12        12        2.74      319000    
2017      1         23        2.74      534000    
2017      2         13        2.53      526000    
2017      2         28        2.5       377000    
2017      3         13        2.75      559000    
2017      3         27        2.1       460000    
2017      4         10        2.64      637000    
2017      4         24        3.32      712000    
2017      5         8         2.16      844000    
2017      5         25        2.08      1220000   
2017      6         8         2.34      1110000   
2017      6         19        2.4       828000    
2017      7         10        2.42      531000    
2017      7         25        2.18      435000    
2017      8         14        1.79      438000    
2017      10        16        1.11      213000    
2017      12        14        2.17      251000    
2018      1         23        1.93      315000    
2018      2         8         2.38      456000    
2018      3         1         1.57      984000    
2018      3         12        1.49      1350000   
2018      3         26        1.55      1250000   
2018      4         9         1.74      974000    
2018      4         23        1.72      1090000   
2018      5         7         1.77      945000    
2018      5         21        2.17      671000    
2018      6         4         2.43      603000    
2018      6         21        2.05      410000    
2018      7         9         3.18      614000    
2018      7         23        3.14      400000    
2018      8         13        2.13      322000    
2018      10        15        2.0       663000    
2018      12        3         1.93      721000    
