Year      Month     Day       Conc_mg/l Q_cfs          
2008      4         24        0.884     17600     
2008      5         20        0.876     12800     
2008      6         11        0.687     6520      
2008      7         10        0.65      7100      
2008      8         5         0.613     7340      
2008      8         20        0.707     8090      
2008      9         17        0.747     10200     
2008      10        14        0.683     9450      
2008      12        23        0.594     38400     
2009      1         15        0.924     25200     
2009      2         5         1.01      14100     
2009      2         17        0.926     14600     
2009      3         5         1.0       21900     
2009      3         24        0.839     36700     
2009      4         14        0.755     83100     
2009      5         5         0.956     23200     
2009      5         27        1.04      26200     
2009      6         16        0.821     23800     
2009      8         12        0.724     10600     
2009      10        21        0.774     32400     
2009      12        15        0.636     51100     
2010      1         13        0.855     27600     
2010      2         3         0.773     78700     
2010      2         17        0.804     57000     
2010      3         4         0.887     34900     
2010      3         24        0.841     41500     
2010      4         7         0.92      26800     
2010      4         22        0.895     21700     
2010      5         20        0.743     28400     
2010      6         30        0.833     12300     
2010      8         31        0.733     11300     
2010      10        27        0.601     7760      
2010      12        16        0.528     11300     
2011      1         19        0.886     13900     
2011      2         14        0.777     33300     
2011      2         28        0.891     13100     
2011      3         16        0.969     28800     
2011      3         28        0.854     22700     
2011      4         13        0.781     25300     
2011      4         27        0.825     18600     
2011      5         18        0.753     8250      
2011      6         23        0.562     6560      
2011      9         7         0.503     7030      
2011      10        20        0.52      6710      
2011      12        20        0.723     7320      
2012      1         18        0.823     7510      
2012      2         7         0.861     18300     
2012      2         23        0.928     12500     
2012      3         13        0.87      28900     
2012      3         29        0.909     13000     
2012      4         11        1.01      15700     
2012      4         26        0.769     9410      
2012      5         10        0.725     6840      
2012      10        23        0.712     6100      
2012      12        18        0.639     6700      
2013      1         23        0.756     10500     
2013      2         13        1.12      22100     
2013      3         12        0.817     37100     
2013      3         28        0.864     31700     
2013      4         9         0.927     26700     
2013      4         24        1.04      26100     
2013      5         29        0.79      21500     
2013      6         13        0.91      17000     
2013      6         27        0.656     19800     
2013      7         11        0.767     44500     
2013      7         29        0.723     44900     
2013      8         29        0.804     42400     
2013      10        30        1.19      8710      
2013      12        18        0.637     26200     
2014      1         22        0.906     37400     
2014      2         6         1.09      22500     
2014      2         20        0.856     45000     
2014      3         10        0.816     32000     
2014      3         31        0.895     32800     
2014      4         24        0.913     91500     
2014      5         7         0.926     65800     
2014      5         21        1.06      28200     
2014      6         12        0.975     20300     
2014      6         26        0.824     17400     
2014      8         28        0.622     11500     
2014      10        21        0.76      16400     
2014      12        22        0.87      12300     
2015      1         28        1.09      27900     
2015      2         12        1.15      23300     
2015      2         26        1.16      22600     
2015      3         9         0.93      32300     
2015      3         30        0.99      23200     
2015      4         16        0.97      22900     
2015      4         30        0.77      39000     
2015      5         14        0.85      22900     
2015      5         27        0.87      17100     
2015      6         16        0.71      17400     
2015      7         21        0.65      11200     
2015      8         18        0.67      9870      
2015      11        16        0.55      35200     
2015      12        23        0.94      27200     
2016      1         28        0.84      52900     
2016      2         29        0.89      38700     
2016      3         21        1.02      29500     
2016      3         31        0.9       33500     
2016      4         14        0.83      41800     
2016      4         28        0.96      27000     
2016      5         10        0.94      22600     
2016      5         26        1.12      18000     
2016      6         22        0.83      10900     
2016      7         28        0.73      10300     
2016      8         25        0.78      8760      
2016      10        18        0.72      5060      
2016      12        8         1.08      13700     
2017      1         26        0.76      36500     
2017      2         8         0.82      24900     
2017      2         27        1.02      28500     
2017      3         21        1.07      17800     
2017      3         30        0.88      15600     
2017      4         17        0.72      25200     
2017      4         27        0.79      15900     
2017      5         11        0.97      10200     
2017      5         25        0.99      13700     
2017      6         29        0.59      27300     
2017      7         31        0.69      15500     
2017      10        24        0.71      11800     
2017      12        7         0.74      7710      
2018      1         18        0.78      10500     
2018      2         15        0.64      39300     
2018      2         27        0.84      24200     
2018      3         5         0.91      23100     
2018      3         29        0.82      24600     
2018      4         12        0.87      21800     
2018      4         26        0.91      21600     
2018      5         9         0.65      20500     
2018      5         24        0.78      18400     
2018      6         20        0.76      23500     
2018      7         17        0.7       17200     
2018      8         28        0.74      20000     
2018      10        31        0.75      20700     
