Year      Month     Day       Conc_mg/l Q_cfs          
2008      1         9         3.92      15500     
2008      2         14        1.93      1970      
2008      3         5         3.89      49500     
2008      4         16        2.82      7270      
2008      5         6         1.83      5390      
2008      6         2         5.08      11500     
2008      7         9         1.75      4350      
2008      8         4         1.69      8290      
2008      9         2         0.8       825       
2008      10        21        1.38      1470      
2008      11        24        1.11      2150      
2008      12        9         0.938     1520      
2009      1         13        1.3       1910      
2009      2         2         1.01      913       
2009      3         10        5.9       53800     
2009      4         1         2.3       11000     
2009      5         5         2.53      8580      
2009      6         2         2.86      4750      
2009      7         28        0.76      955       
2009      8         17        3.88      37000     
2009      9         1         1.74      6760      
2009      10        15        0.715     663       
2009      11        3         1.93      6300      
2009      12        1         1.33      3520      
2010      1         13        1.19      2550      
2010      2         2         1.52      4350      
2010      3         2         1.18      1910      
2010      4         14        1.08      3040      
2010      5         26        4.52      16100     
2010      6         15        4.72      59200     
2010      7         6         5.01      16600     
2010      8         3         1.44      2750      
2010      9         14        2.43      4080      
2010      10        5         1.09      2380      
2010      11        3         0.973     665       
2010      12        1         0.981     825       
2011      1         5         0.69      838       
2011      2         8         0.81      515       
2011      3         8         1.88      4730      
2011      4         19        4.68      9530      
2011      5         3         1.99      2970      
2011      6         14        2.49      3660      
2011      7         12        0.995     1720      
2011      8         3         0.903     889       
2011      9         7         0.683     437       
2011      10        13        0.783     190       
2011      11        8         0.765     495       
2011      12        7         4.98      2620      
2012      1         11        1.16      560       
2012      2         7         3.82      4850      
2012      3         7         1.68      1580      
2012      4         10        1.91      3990      
2012      5         3         4.98      10200     
2012      6         5         0.634     553       
2012      7         18        0.808     179       
2012      8         6         0.816     141       
2012      9         5         2.5       359       
2012      10        3         0.771     99        
2012      11        6         0.548     123       
2012      12        5         0.556     101       
2013      1         9         1.01      80        
2013      2         6         1.32      297       
2013      3         5         0.828     257       
2013      4         1         3.73      3380      
2013      5         8         3.99      6580      
2013      6         19        3.06      9830      
2013      7         31        0.806     537       
2013      8         21        0.705     257       
2013      9         12        0.62      126       
2013      10        30        0.507     159       
2013      11        25        0.517     249       
2013      12        10        1.02      67        
2014      1         28        0.866     101       
2014      2         19        1.52      624       
2014      3         24        1.44      652       
2014      4         8         1.12      584       
2014      5         28        2.02      1230      
2014      6         17        2.12      2870      
2014      7         9         4.44      12000     
2014      8         12        1.51      1030      
2014      9         8         2.0       2120      
2014      10        7         2.27      3780      
2014      11        4         0.755     1300      
2014      12        16        0.678     1030      
2015      1         21        0.695     576       
2015      2         10        3.78      7770      
2015      3         11        1.17      2470      
2015      5         26        4.84      29900     
2015      6         23        3.47      12600     
2015      7         21        3.72      43600     
2015      8         18        1.22      4150      
2015      9         16        1.3       1950      
2015      10        20        0.515     534       
2015      11        17        0.822     2840      
2015      12        2         2.95      34100     
2016      1         26        1.63      3470      
2016      2         22        3.04      5570      
2016      3         14        2.3       4630      
2016      4         5         0.865     1890      
2016      5         24        1.26      1690      
2016      6         7         2.48      3060      
2016      7         19        0.668     889       
2016      9         13        1.97      3670      
2016      10        18        0.939     1220      
2016      11        8         0.44      720       
2016      12        6         0.349     684       
2017      1         10        2.34      1000      
2017      2         6         1.27      968       
2017      3         20        0.517     614       
2017      4         4         6.06      31400     
2017      6         6         1.0       1200      
2017      6         27        0.952     805       
2017      7         25        1.11      1050      
2017      8         8         0.603     602       
2017      9         12        0.65      277       
2017      10        16        1.28      594       
2017      11        7         0.886     384       
2017      12        5         0.546     256       
2018      1         9         0.984     194       
2018      2         13        1.55      242       
2018      3         27        0.645     808       
2018      4         26        0.504     416       
2018      5         8         5.07      1990      
2018      6         6         4.33      1170      
2018      7         9         2.13      513       
2018      8         7         0.956     145       
2018      9         1         2.7       5700      
2018      9         4         4.63      13200     
2018      10        16        1.69      17200     
2018      11        6         0.784     1170      
2018      12        18        1.47      1880      
