Year      Month     Day       Conc_mg/l Q_cfs       
2008      2         25        3.56      284000    
2008      3         12        4.48      362000    
2008      4         7         3.29      485000    
2008      4         30        4.21      536000    
2008      5         14        3.49      562000    
2008      5         29        4.16      484000    
2008      6         11        5.76      542000    
2008      7         2         4.03      710000    
2008      7         23        3.64      344000    
2008      8         13        2.57      229000    
2008      10        15        1.84      160000    
2008      12        10        3.11      101000    
2009      2         24        4.04      215000    
2009      3         16        5.08      476000    
2009      4         6         3.81      440000    
2009      4         22        3.4       420000    
2009      5         4         4.16      565000    
2009      5         27        3.91      508000    
2009      6         8         3.78      345000    
2009      6         24        4.55      462000    
2009      7         22        3.35      210000    
2009      8         24        2.82      279000    
2009      9         8         2.29      171000    
2009      10        5         1.64      134000    
2010      2         24        3.56      291000    
2010      3         16        4.84      487000    
2010      4         6         4.09      538000    
2010      4         21        4.3       363000    
2010      5         3         4.29      468000    
2010      5         17        4.58      522000    
2010      6         8         4.26      411000    
2010      6         22        4.0       565000    
2010      7         20        3.84      493000    
2010      8         11        3.12      436000    
2010      9         1         2.47      310000    
2010      10        25        2.8       248000    
2010      12        6         2.93      217000    
2011      2         15        3.56      136000    
2011      3         8         4.21      486000    
2011      4         5         4.64      392000    
2011      4         26        3.35      718000    
2011      5         10        3.93      573000    
2011      5         26        3.41      541000    
2011      6         7         4.52      577000    
2011      6         21        3.48      604000    
2011      7         12        3.44      553000    
2011      8         2         2.79      431000    
2011      10        4         1.4       195000    
2011      12        6         2.19      186000    
2012      2         7         3.04      187000    
2012      3         22        2.83      224000    
2012      4         3         2.36      263000    
2012      4         17        2.39      289000    
2012      5         1         3.14      217000    
2012      5         14        4.15      310000    
2012      6         5         2.55      174000    
2012      6         25        2.97      159000    
2012      7         24        1.47      105000    
2012      8         21        1.03      78900     
2012      10        2         1.09      78900     
2012      12        4         1.28      74300     
2013      2         5         2.74      149000    
2013      3         12        3.79      291000    
2013      4         2         3.46      232000    
2013      4         15        3.63      440000    
2013      5         7         5.38      635000    
2013      5         23        5.26      471000    
2013      6         5         4.46      771000    
2013      6         25        5.67      464000    
2013      7         9         5.73      442000    
2013      7         23        4.46      247000    
2013      8         13        2.21      283000    
2013      9         10        1.2       95700     
2013      10        29        1.54      92400     
2013      12        3         1.75      87000     
2014      2         19        2.72      76800     
2014      3         11        2.94      124000    
2014      3         17        3.26      213000    
2014      4         8         3.81      389000    
2014      4         22        3.16      268000    
2014      5         6         3.08      313000    
2014      5         19        3.05      363000    
2014      6         3         3.03      285000    
2014      6         16        4.6       400000    
2014      7         8         5.32      467000    
2014      7         30        4.03      260000    
2014      8         5         3.17      168000    
2014      10        7         2.91      373000    
2014      12        9         3.04      198000    
2015      3         10        3.21      132000    
2015      3         23        3.69      220000    
2015      4         14        2.48      227000    
2015      4         21        2.53      232000    
2015      5         5         3.8       172000    
2015      5         19        4.86      277000    
2015      6         9         5.05      451000    
2015      6         24        3.89      728000    
2015      7         28        3.79      473000    
2015      8         4         3.42      394000    
2015      8         24        2.23      202000    
2015      10        6         2.97      145000    
2015      12        2         5.01      455000    
2016      1         5         3.92      802000    
2016      1         26        5.02      280000    
2016      2         3         4.94      265000    
2016      3         9         5.53      248000    
2016      3         28        5.28      273000    
2016      4         6         4.65      328000    
2016      4         19        4.77      273000    
2016      5         4         6.53      401000    
2016      5         17        5.9       446000    
2016      6         8         4.77      345000    
2016      6         21        5.25      310000    
2016      7         27        3.34      311000    
2016      8         22        2.45      257000    
2016      10        5         3.95      333000    
2016      12        6         4.01      195000    
2017      2         7         4.64      224000    
2017      3         7         4.51      272000    
2017      4         11        6.06      515000    
2017      5         7         3.21      905000    
2017      5         23        4.31      531000    
2017      6         13        4.18      392000    
2017      6         27        4.33      292000    
2017      7         10        3.53      298000    
2017      8         8         2.26      187000    
2017      10        3         1.62      117000    
2017      12        5         3.07      138000    
2018      2         28        3.8       410000    
2018      3         13        3.81      276000    
2018      3         26        3.82      247000    
2018      4         4         3.22      363000    
2018      4         18        3.49      259000    
2018      5         2         4.72      287000    
2018      6         25        5.21      308000    
2018      8         13        2.22      212000    
2018      10        23        3.96      509000    
2018      12        3         3.37      319000    
