Year      Month     Day       Conc_mg/l Q_cfs         
2008      1         9         0.671     20100     
2008      2         4         0.561     15200     
2008      3         20        0.551     36800     
2008      4         10        0.41      63800     
2008      5         15        0.57      15200     
2008      6         30        0.611     17700     
2008      7         30        0.542     27300     
2008      8         28        0.627     9100      
2008      9         17        0.524     11900     
2008      10        21        0.551     7110      
2008      11        10        0.859     17400     
2008      12        1         0.519     26300     
2009      1         5         0.51      21400     
2009      2         5         0.845     10900     
2009      3         13        0.543     43000     
2009      4         15        0.42      25200     
2009      5         14        0.48      24200     
2009      6         8         0.609     8150      
2009      7         27        0.527     29600     
2009      8         24        0.539     20700     
2009      9         17        0.662     5810      
2009      10        20        0.603     7900      
2009      11        17        0.485     28200     
2009      12        8         0.456     30700     
2010      1         22        0.748     12100     
2010      2         17        0.716     11600     
2010      3         17        0.492     51900     
2010      4         6         0.436     58800     
2010      5         4         0.457     20100     
2010      6         2         0.62      7500      
2010      7         9         0.499     4390      
2010      8         24        0.671     5560      
2010      9         13        0.682     2810      
2010      10        4         0.753     53900     
2010      11        22        0.409     19500     
2010      12        16        0.519     38300     
2011      1         7         0.565     16600     
2011      2         13        0.723     8270      
2011      3         15        0.468     54100     
2011      4         20        0.431     69600     
2011      5         17        0.518     45000     
2011      6         15        0.544     22300     
2011      7         22        0.539     7960      
2011      8         25        0.5       12500     
2011      9         21        0.497     14500     
2011      10        20        0.46      32000     
2011      11        30        0.523     30700     
2011      12        14        0.451     24700     
2012      1         6         0.534     16700     
2012      2         14        0.651     12100     
2012      3         20        0.535     37800     
2012      4         10        0.643     10000     
2012      5         8         0.481     20000     
2012      6         7         0.479     30200     
2012      7         23        0.604     2880      
2012      8         13        0.514     10600     
2012      9         4         0.578     3060      
2012      10        16        0.565     12900     
2012      11        20        0.6       10000     
2012      12        17        0.562     12100     
2013      1         18        0.558     17000     
2013      2         4         0.62      23900     
2013      3         11        0.66      11400     
2013      3         26        0.598     16000     
2013      4         9         0.502     23900     
2013      4         24        0.58      35900     
2013      5         8         0.516     10100     
2013      5         22        0.57      11700     
2013      6         5         0.496     22200     
2013      6         14        0.47      72500     
2013      7         3         0.502     46100     
