Year      Month     Day       Conc_mg/l Q_cfs          
2008      3         11        0.892     72800     
2008      4         24        0.907     8750      
2008      5         8         1.13      9250      
2008      5         22        1.07      13300     
2008      6         18        1.2       5450      
2008      6         25        1.17      5280      
2008      7         9         1.06      3910      
2008      7         16        1.2       4790      
2008      8         15        1.01      4940      
2008      8         27        0.936     3340      
2008      9         23        1.38      3040      
2008      10        21        0.901     3480      
2008      12        18        0.838     29800     
2009      1         30        1.23      9930      
2009      2         13        1.32      13200     
2009      2         23        0.997     9040      
2009      3         12        0.956     28100     
2009      3         25        0.724     10500     
2009      4         13        0.869     10900     
2009      4         27        0.881     8220      
2009      5         18        1.19      20300     
2009      6         15        1.5       21100     
2009      8         19        0.963     12100     
2009      10        14        1.21      4330      
2009      12        16        1.08      22500     
2010      1         14        1.14      10800     
2010      2         4         1.06      15100     
2010      2         22        1.24      7590      
2010      3         16        1.06      60200     
2010      3         22        0.928     24600     
2010      4         8         0.982     21600     
2010      4         29        0.899     19900     
2010      5         6         1.19      13200     
2010      6         25        1.23      4600      
2010      8         23        1.29      3270      
2010      10        21        0.943     8020      
2010      12        13        1.17      20500     
2011      1         19        1.34      5330      
2011      2         7         1.41      8070      
2011      2         16        1.35      7040      
2011      3         9         1.14      62100     
2011      3         24        0.92      33400     
2011      4         18        1.07      57100     
2011      4         29        0.925     60300     
2011      5         25        1.02      30800     
2011      6         16        1.07      9810      
2011      8         17        1.04      25800     
2011      8         28        2.22      101000    
2011      8         29        1.71      139000    
2011      8         30        1.22      107000    
2011      8         31        0.942     65300     
2011      10        26        0.995     13600     
2011      12        14        1.01      24000     
2012      1         25        1.31      15100     
2012      2         9         1.12      11800     
2012      2         22        1.19      7880      
2012      3         5         0.995     10700     
2012      3         21        1.11      7860      
2012      4         12        1.05      4200      
2012      4         25        1.2       16600     
2012      5         23        0.929     12800     
2012      6         27        1.25      4910      
2012      8         20        1.22      4390      
2012      10        24        1.04      14500     
2012      10        30        1.22      20500     
2012      10        31        1.35      25800     
2012      11        5         0.922     14900     
2012      12        17        0.957     6990      
2013      1         16        0.971     20100     
2013      2         13        1.14      12600     
2013      2         27        1.28      9100      
2013      3         13        2.03      28100     
2013      3         20        1.08      17700     
2013      4         4         0.781     9960      
2013      4         24        0.991     13500     
2013      5         9         1.31      7680      
2013      5         30        1.21      9230      
2013      6         19        0.821     24300     
2013      7         24        1.33      9290      
2013      8         21        1.34      5800      
2013      11        19        1.21      3090      
2013      12        11        1.25      9110      
2014      1         27        1.32      10800     
2014      2         24        1.36      11100     
2014      3         12        1.4       14600     
2014      3         27        1.02      11600     
2014      4         9         1.02      21500     
2014      4         29        0.979     11300     
2014      5         6         1.1       21200     
2014      5         27        1.08      14600     
2014      6         16        1.3       21100     
2014      7         22        1.01      8280      
2014      8         11        1.15      4220      
2014      9         3         1.48      3440      
2014      10        20        0.848     6210      
2014      12        22        0.999     7230      
2015      1         22        1.32      6000      
2015      3         3         1.52      3120      
2015      3         24        1.3       12400     
2015      4         14        1.01      21000     
2015      4         27        0.947     12800     
2015      5         6         0.889     7000      
2015      5         26        1.51      3940      
2015      6         16        1.15      11400     
2015      6         23        1.02      15000     
2015      7         14        0.816     9930      
2015      8         20        1.12      4140      
2015      9         17        1.27      4670      
2015      10        21        1.29      3450      
2015      12        16        1.05      6760      
2016      1         14        1.1       17800     
2016      2         4         1.75      27900     
2016      2         18        1.39      29300     
2016      3         10        0.995     11800     
2016      3         29        0.825     6850      
2016      4         13        0.885     11400     
2016      4         25        1.06      5700      
2016      5         11        0.778     12900     
2016      5         24        0.936     6340      
2016      6         14        1.13      4850      
2016      7         27        1.27      4420      
2016      8         10        1.15      3710      
2016      10        24        1.1       2810      
2016      12        14        1.4       5140      
2017      1         25        1.52      19200     
2017      2         15        1.09      7940      
2017      2         22        0.94      10100     
2017      3         9         1.01      10300     
2017      3         20        0.87      10700     
2017      4         17        1.03      14600     
2017      4         26        0.723     16000     
2017      5         18        0.765     14000     
2017      5         31        1.13      10300     
2017      6         15        0.816     9400      
2017      7         13        1.36      5870      
2017      8         16        1.25      7530      
2017      10        26        1.36      3980      
2017      12        4         1.44      3850      
2018      1         31        1.14      12600     
2018      2         15        1.29      18800     
2018      2         26        1.41      50900     
2018      3         16        1.11      15200     
2018      3         26        1.12      10700     
2018      4         17        1.56      30200     
2018      4         30        0.908     18800     
2018      5         23        1.06      33100     
2018      5         31        1.15      13000     
2018      6         19        1.01      5360      
2018      7         31        0.997     14400     
2018      8         28        1.13      11600     
2018      10        15        0.968     26700     
2018      12        18        1.05      28200     
