Year      Month     Day       Conc_mg/l Q_cfs          
2008      2         25        4.69      66100     
2008      3         19        5.26      45700     
2008      4         8         5.99      44000     
2008      4         21        5.92      48700     
2008      5         6         4.79      33400     
2008      5         19        7.68      38300     
2008      6         10        6.26      56300     
2008      6         20        5.61      48200     
2008      7         8         3.61      34800     
2008      8         19        2.71      8510      
2008      10        20        3.53      29000     
2008      12        3         4.58      11300     
2009      2         12        5.95      33000     
2009      3         3         6.38      45900     
2009      3         17        5.22      91300     
2009      4         8         5.6       68100     
2009      4         21        5.74      70200     
2009      5         5         5.69      84300     
2009      5         19        4.99      96500     
2009      6         10        5.18      55400     
2009      6         23        6.25      52000     
2009      8         11        3.08      10600     
2009      10        15        3.97      20800     
2009      11        3         3.05      68900     
2009      12        8         4.81      40900     
2010      1         14        5.05      40000     
2010      2         16        5.02      27600     
2010      3         9         4.88      36000     
2010      3         24        4.85      61900     
2010      4         6         4.31      49600     
2010      4         21        3.77      32800     
2010      5         4         4.74      30300     
2010      5         17        7.07      42500     
2010      6         2         5.73      54400     
2010      6         16        4.48      60400     
2010      8         4         2.38      32100     
2010      10        19        2.98      5440      
2010      12        7         4.85      13000     
2011      2         22        6.43      44100     
2011      3         7         6.25      61300     
2011      3         29        5.95      41000     
2011      4         5         5.03      32900     
2011      4         18        5.51      29900     
2011      5         5         7.62      73500     
2011      5         17        5.95      52300     
2011      6         7         7.23      71900     
2011      6         21        5.04      68400     
2011      8         24        2.23      11300     
2011      10        19        3.08      5350      
2011      12        1         3.71      15500     
2012      1         5         5.2       15900     
2012      2         24        4.77      13300     
2012      3         8         5.16      17600     
2012      3         27        3.72      16700     
2012      4         11        3.2       7540      
2012      4         24        3.77      13200     
2012      5         16        8.03      35700     
2012      5         30        4.51      9520      
2012      6         13        3.35      8490      
2012      6         27        3.19      7180      
2012      8         21        2.23      4470      
2013      2         13        7.86      25300     
2013      3         8         6.78      21300     
2013      3         21        7.48      47200     
2013      4         11        8.09      33000     
2013      4         24        6.03      110000    
2013      5         8         6.84      93300     
2013      5         22        5.96      52200     
2013      6         5         6.49      86300     
2013      6         19        8.21      64700     
2013      7         10        6.12      40000     
2013      7         22        4.2       15400     
2013      8         14        2.56      8350      
2013      11        1         3.2       9500      
2013      12        13        3.63      7280      
2014      2         21        4.86      35400     
2014      3         5         3.6       47800     
2014      3         31        4.06      42300     
2014      4         9         4.93      42500     
2014      4         23        4.37      29200     
2014      5         7         3.78      22700     
2014      5         22        6.98      35500     
2014      6         5         5.17      27100     
2014      7         9         4.42      44600     
2014      7         24        3.37      41100     
2014      9         2         2.62      19700     
2014      11        6         4.31      13000     
2015      1         20        5.66      22600     
2015      3         12        5.95      27700     
2015      3         19        5.72      37300     
2015      4         27        3.84      21800     
2015      5         11        5.96      31100     
2015      5         20        6.77      37900     
2015      6         3         6.61      33400     
2015      6         17        5.44      65600     
2015      6         29        4.37      105000    
2015      8         6         3.1       50200     
2015      9         1         2.62      7920      
2015      9         23        3.42      23600     
2015      10        13        2.33      6830      
2015      12        10        5.86      41700     
2016      2         29        4.56      18600     
2016      3         30        5.25      30400     
2016      4         13        5.79      32000     
2016      4         21        4.75      28300     
2016      5         3         4.82      25500     
2016      5         18        7.7       40600     
2016      6         1         5.84      31700     
2016      6         30        5.81      22500     
2016      7         13        4.68      13700     
2016      7         27        4.18      28700     
2016      8         16        2.57      20000     
2016      10        26        3.73      16200     
2016      12        6         5.26      29700     
2017      2         28        4.77      18100     
2017      3         14        4.71      26000     
2017      3         28        4.59      24800     
2017      4         12        6.5       61900     
2017      4         26        5.46      48200     
2017      5         3         5.6       57700     
2017      5         22        5.85      72200     
2017      6         15        4.84      28400     
2017      7         11        3.67      15700     
2017      7         27        3.23      30500     
2017      8         17        2.19      8520      
2017      10        3         2.42      5540      
2017      11        6         3.49      14700     
2017      12        19        3.9       7780      
2018      2         15        4.52      9410      
2018      3         12        5.31      64700     
2018      3         27        5.66      42000     
2018      4         10        5.7       35400     
2018      4         24        6.14      32900     
2018      5         8         4.02      24700     
2018      5         22        4.39      24300     
2018      6         5         3.97      27100     
2018      6         19        6.58      37700     
2018      7         3         4.44      42200     
2018      7         17        1.98      20700     
2018      8         8         2.1       4200      
2018      10        23        3.5       17500     
2018      12        3         4.67      36500     
