Year      Month     Day       Conc_mg/l Q_cfs           
2008      1         8         3.24      2780      
2008      1         29        3.82      4510      
2008      2         5         3.39      3120      
2008      2         21        3.2       1710      
2008      3         12        3.05      1890      
2008      3         26        1.71      2290      
2008      4         28        1.14      3250      
2008      6         19        2.36      870       
2008      8         6         2.09      832       
2008      10        28        2.6       1240      
2008      12        10        2.05      1070      
2008      12        23        1.94      1250      
2009      1         7         1.99      1070      
2009      1         21        1.96      994       
2009      2         4         2.22      1150      
2009      2         18        2.27      1640      
2009      3         10        2.43      1680      
2009      3         25        2.24      1140      
2009      4         22        1.01      1980      
2009      6         2         1.05      1340      
2009      6         16        1.28      947       
2009      7         7         1.53      654       
2009      7         23        1.53      587       
2009      8         18        1.88      597       
2009      8         31        1.87      716       
2009      9         9         2.36      542       
2009      9         24        1.38      1120      
2009      10        27        1.52      2480      
2009      11        24        1.84      1300      
2009      12        1         2.15      1250      
2009      12        15        1.96      1400      
2010      1         5         2.22      1220      
2010      1         19        2.31      1530      
2010      2         2         2.3       1770      
2010      2         17        2.26      2410      
2010      3         3         2.38      3780      
2010      3         18        2.87      2390      
2010      4         8         1.52      3680      
2010      4         20        1.0       4830      
2010      5         5         0.569     5330      
2010      5         18        0.837     4410      
2010      6         2         0.92      3960      
2010      6         15        0.593     6300      
2010      8         4         2.56      1240      
2010      10        25        1.93      3230      
2010      12        14        0.919     4040      
2010      12        29        0.816     10900     
2011      1         13        1.04      13100     
2011      1         25        0.766     8620      
2011      2         9         0.658     6800      
2011      2         28        1.03      12000     
2011      3         16        0.997     8720      
2011      3         30        0.931     27100     
2011      4         19        0.471     26500     
2011      6         21        0.691     9940      
2011      8         9         1.09      5070      
2011      10        26        1.09      4950      
2011      12        6         2.04      1850      
2011      12        28        2.15      1740      
2012      1         4         2.13      1670      
2012      1         19        1.74      1760      
2012      2         7         2.12      1630      
2012      2         21        2.41      1530      
2012      3         13        2.51      1400      
2012      3         28        2.59      1690      
2012      5         16        0.943     3170      
2012      6         21        1.45      1580      
2012      8         8         2.33      748       
2012      10        17        1.96      2170      
2012      11        14        2.28      1240      
2012      12        5         2.1       1770      
2012      12        18        2.05      1420      
2013      1         10        3.01      2330      
2013      1         24        2.63      1540      
2013      2         7         1.85      2020      
2013      2         27        2.09      2330      
2013      3         21        2.26      1410      
2013      4         23        1.0       2930      
2013      5         9         0.726     3570      
2013      5         29        1.96      895       
2013      6         11        1.71      788       
2013      6         27        2.54      630       
2013      7         19        1.77      527       
2013      7         26        1.96      548       
2013      8         7         1.97      482       
2013      9         6         1.5       557       
2013      10        24        1.71      1600      
2013      11        21        2.32      1210      
2013      12        5         2.04      955       
2013      12        17        1.92      931       
2014      1         9         2.34      733       
2014      1         23        1.65      766       
2014      2         12        1.9       990       
2014      2         27        1.57      650       
2014      3         25        1.0       611       
2014      4         17        0.682     2060      
2014      5         15        0.296     2080      
2014      5         29        0.556     520       
2014      6         4         0.659     436       
2014      6         20        0.85      272       
2014      7         1         0.902     260       
2014      7         23        0.603     285       
2014      8         4         0.559     320       
2014      9         3         0.951     245       
2014      10        15        1.23      323       
2014      11        4         0.687     1610      
2014      12        1         1.39      795       
2014      12        16        2.99      1640      
2015      1         8         2.46      937       
2015      1         21        1.76      825       
2015      2         18        1.78      899       
2015      2         23        1.75      929       
2015      4         6         0.78      861       
2015      4         23        0.674     622       
2015      5         20        1.15      347       
2015      6         11        1.28      183       
2015      6         30        0.929     163       
2015      7         17        0.595     104       
2015      7         24        0.929     157       
2015      8         14        0.541     141       
2015      9         2         0.853     211       
2015      10        27        0.454     1110      
2015      11        30        0.962     666       
2015      12        21        1.09      699       
2016      1         13        1.75      1240      
2016      1         26        2.06      2560      
2016      2         9         2.17      1200      
2016      2         23        1.51      841       
2016      3         29        1.7       1140      
2016      4         19        1.12      2650      
2016      5         19        0.672     1450      
2016      5         25        0.663     1110      
2016      6         8         0.783     640       
2016      6         21        1.09      501       
2016      7         12        1.28      279       
2016      7         27        0.79      267       
2016      8         9         1.41      260       
2016      9         6         1.27      256       
2016      10        18        0.921     1610      
2016      11        15        2.05      834       
2016      12        6         1.99      898       
2016      12        21        1.8       1220      
2017      1         10        1.65      8290      
2017      1         24        1.36      19000     
2017      2         7         0.768     17000     
2017      2         23        1.07      40200     
2017      3         8         0.635     30700     
2017      5         16        0.385     20000     
2017      5         24        0.457     15900     
2017      6         6         0.501     13700     
2017      7         19        0.654     6250      
2017      7         25        0.64      5790      
2017      8         17        0.765     4830      
2017      8         23        0.649     4680      
2017      9         6         0.996     3670      
2017      11        29        1.94      1530      
2017      12        6         1.3       2710      
2017      12        13        1.8       1980      
2018      1         16        1.84      2510      
2018      1         30        1.83      1760      
2018      2         13        1.06      2190      
2018      2         27        1.08      2950      
2018      3         27        1.35      8120      
2018      4         18        0.633     6620      
2018      4         26        0.602     4480      
2018      5         9         0.43      7030      
2018      5         31        0.829     3260      
2018      6         13        1.14      1670      
2018      7         11        1.54      467       
2018      8         7         1.35      446       
2018      8         21        2.28      639       
2018      9         4         2.49      737       
2018      10        16        2.11      1200      
2018      11        27        2.01      1280      
2018      12        11        2.17      1340      
2018      12        19        2.56      1390      
