Year      Month     Day       Conc_mg/l Q_cfs     
2008      10        15        1.44      342000    
2008      12        4         1.89      259000    
2009      1         8         2.7       897000    
2009      2         4         2.24      451000    
2009      3         5         2.55      654000    
2009      3         24        3.46      825000    
2009      4         8         2.72      987000    
2009      4         22        2.28      1040000   
2009      5         6         2.08      1050000   
2009      5         21        1.74      1530000   
2009      6         4         2.08      1250000   
2009      8         13        1.69      576000    
2009      10        21        1.4       856000    
2009      12        16        2.04      804000    
2010      1         6         2.1       1090000   
2010      2         10        1.86      1250000   
2010      3         2         1.77      770000    
2010      3         16        1.82      625000    
2010      4         6         2.67      1150000   
2010      4         21        2.77      797000    
2010      5         6         3.04      896000    
2010      5         26        2.17      1250000   
2010      6         10        2.6       774000    
2010      8         5         2.42      690000    
2010      10        20        2.26      409000    
2010      12        8         2.0       533000    
2011      1         6         2.15      312000    
2011      2         9         2.45      375000    
2011      3         1         3.36      726000    
2011      3         23        2.42      1370000   
2011      4         6         2.19      1250000   
2011      4         20        2.33      1010000   
2011      5         4         1.72      1650000   
2011      5         13        1.77      2250000   
2011      5         19        1.7       2300000   
2011      5         25        1.71      2020000   
2011      6         1         1.65      1700000   
2011      6         8         2.14      1430000   
2011      6         14        2.64      1170000   
2011      6         21        2.83      875000    
2011      7         13        2.61      912000    
2011      7         27        2.09      642000    
2011      8         17        1.72      546000    
2011      10        19        1.17      280000    
2011      12        14        1.45      1140000   
2012      1         19        1.67      616000    
2012      2         22        1.73      660000    
2012      3         7         1.71      540000    
2012      3         28        1.6       1010000   
2012      4         11        1.43      652000    
2012      4         25        1.4       534000    
2012      5         9         1.88      611000    
2012      5         22        2.56      643000    
2012      6         13        1.88      327000    
2012      8         23        0.871     203000    
2012      10        17        1.0       211000    
2012      12        6         1.17      190000    
2013      1         24        1.87      890000    
2013      2         5         1.56      708000    
2013      3         4         1.92      539000    
2013      3         20        2.83      910000    
2013      4         12        2.17      613000    
2013      4         25        2.6       1030000   
2013      5         9         2.91      1280000   
2013      5         28        2.69      1160000   
2013      6         5         2.58      903000    
2013      6         26        3.39      1000000   
2013      7         18        3.18      1000000   
2013      8         2         2.47      555000    
2013      10        30        1.15      248000    
2013      12        3         1.5       372000    
2014      1         9         1.73      946000    
2014      2         5         1.65      433000    
2014      3         5         2.16      891000    
2014      3         19        1.74      659000    
2014      4         9         2.21      742000    
2014      4         23        2.06      1000000   
2014      5         7         2.06      840000    
2014      5         22        2.15      803000    
2014      6         18        2.74      849000    
2014      6         24        2.68      709000    
2014      7         23        4.11      769000    
2014      8         22        1.64      381000    
2014      10        15        1.82      493000    
2014      12        3         1.49      384000    
2015      1         29        1.81      372000    
2015      2         11        2.07      425000    
2015      3         19        1.82      1120000   
2015      3         31        1.61      1290000   
2015      4         15        2.13      984000    
2015      4         30        1.42      1210000   
2015      5         13        1.81      674000    
2015      5         27        2.53      787000    
2015      6         9         2.61      957000    
2015      6         25        3.52      995000    
2015      7         28        1.81      1350000   
2015      8         18        1.82      548000    
2015      10        19        1.77      261000    
2015      12        15        2.3       1000000   
2016      2         3         2.55      837000    
2016      3         15        2.1       1200000   
2016      3         29        2.29      968000    
2016      4         13        2.53      781000    
2016      4         25        2.7       752000    
2016      5         13        3.54      882000    
2016      5         31        3.15      849000    
2016      6         8         2.99      816000    
2016      6         21        3.11      539000    
2016      7         26        2.28      473000    
2016      8         23        1.87      592000    
2016      10        26        2.79      409000    
2016      12        1         2.65      273000    
2017      1         26        2.97      789000    
2017      2         21        2.48      553000    
2017      3         8         2.7       542000    
2017      3         22        2.46      730000    
2017      4         5         2.24      681000    
2017      4         20        3.45      950000    
2017      5         2         2.31      1020000   
2017      5         18        2.45      1660000   
2017      6         14        2.65      1110000   
2017      6         29        2.34      752000    
2017      7         12        2.96      755000    
2017      8         17        1.57      460000    
2017      10        17        1.27      335000    
2017      12        7         2.1       386000    
2018      1         25        1.98      556000    
2018      2         26        1.73      1180000   
2018      3         8         1.62      1700000   
2018      3         16        1.67      1790000   
2018      4         11        1.83      1210000   
2018      4         24        1.83      1190000   
2018      5         8         1.87      1060000   
2018      5         30        2.51      806000    
2018      6         12        1.91      667000    
2018      6         27        2.67      561000    
2018      7         12        3.64      723000    
2018      9         20        2.5       848000    
2018      10        4         1.82      842000    
2018      12        6         2.13      856000       
