Year      Month     Day       Conc_mg/l Q_cfs         
2008      2         5         7.4       5970      
2008      3         3         4.86      11100     
2008      4         1         5.78      22800     
2008      5         1         6.82      64800     
2008      6         2         7.02      33100     
2008      6         12        6.08      90500     
2008      6         16        6.17      159000    
2008      7         1         6.46      34400     
2008      8         4         6.38      16800     
2008      9         2         4.01      6920      
2008      10        1         3.64      5140      
2008      11        3         3.98      4330      
2008      12        2         6.31      5600      
2009      1         6         5.94      7810      
2009      2         2         6.18      4380      
2009      3         10        6.77      49700     
2009      4         2         7.32      15400     
2009      5         5         7.82      28800     
2009      5         28        7.86      17000     
2009      6         9         9.3       17800     
2009      6         25        8.61      30100     
2009      7         6         7.74      17200     
2009      7         23        7.21      21000     
2009      8         3         5.17      7310      
2009      8         19        4.51      11700     
2009      9         1         3.92      32600     
2009      10        7         5.43      10900     
2009      11        2         5.2       39300     
2009      12        1         6.44      14300     
2010      1         5         7.22      10100     
2010      2         1         6.05      12500     
2010      3         2         5.44      7660      
2010      4         1         6.47      24500     
2010      5         3         7.1       18700     
2010      5         17        8.84      31800     
2010      6         1         7.32      15500     
2010      6         22        6.73      45900     
2010      7         7         6.78      37200     
2010      7         20        5.56      21800     
2010      8         5         4.76      34300     
2010      8         16        4.63      35900     
2010      9         1         4.17      9100      
2010      10        5         6.73      15700     
2010      11        2         5.17      5740      
2010      12        1         7.16      7330      
2011      1         4         6.8       7680      
2011      1         31        6.22      4820      
2011      3         2         7.45      15700     
2011      3         17        7.13      11300     
2011      4         14        6.64      10600     
2011      5         2         9.28      27900     
2011      5         23        7.68      13700     
2011      6         6         10.3      22000     
2011      6         20        9.99      22000     
2011      7         7         9.99      14400     
2011      7         18        6.36      7880      
2011      8         1         5.04      8120      
2011      8         15        2.96      4330      
2011      9         1         2.45      3190      
2011      10        4         3.02      2210      
2011      11        2         3.31      1880      
2011      12        5         3.86      3390      
2012      1         11        5.59      3780      
2012      2         15        5.59      3500      
2012      3         6         5.54      5980      
2012      3         19        5.39      5660      
2012      4         3         4.88      5560      
2012      4         19        7.88      11200     
2012      5         1         9.0       10100     
2012      5         14        12.4      12300     
2012      6         4         6.21      6050      
2012      6         20        3.8       3550      
2012      7         10        2.81      2220      
2012      7         24        2.07      1600      
2012      8         2         2.0       1340      
2012      8         15        2.54      1430      
2012      9         5         2.21      1070      
2012      10        9         3.1       875       
2012      11        29        3.79      1170      
2012      12        10        4.11      1170      
2013      1         14        5.19      1020      
2013      2         11        5.83      9210      
2013      3         4         4.99      1840      
2013      3         19        3.6       28100     
2013      4         1         4.29      10100     
2013      4         15        8.41      21600     
2013      5         2         11.7      19800     
2013      5         15        14.6      30900     
2013      6         3         10.5      81800     
2013      6         17        11.4      31300     
2013      7         1         9.72      49700     
2013      7         15        8.53      10100     
2013      8         12        6.17      5630      
2013      9         16        3.57      2150      
2013      10        21        3.42      1990      
2013      11        12        4.42      2090      
2013      12        10        2.92      1840      
2014      1         8         6.65      1690      
2014      2         11        6.05      1130      
2014      3         5         5.11      2210      
2014      3         18        4.68      22000     
2014      4         8         4.95      9760      
2014      4         23        6.87      9240      
2014      5         7         12.9      23000     
2014      5         20        12.0      19100     
2014      6         11        11.5      10600     
2014      6         24        10.7      32700     
2014      7         3         5.3       106000    
2014      7         22        7.14      18400     
2014      8         13        4.6       4990      
2014      9         17        5.79      10000     
2014      10        8         5.53      5360      
2014      12        11        6.79      4680      
2015      2         11        6.16      4850      
2015      3         11        6.12      10400     
2015      3         26        5.1       5550      
2015      4         8         4.69      5490      
2015      4         22        8.77      12400     
2015      5         6         10.2      20000     
2015      5         20        8.05      10100     
2015      6         3         12.1      15100     
2015      6         18        9.41      31800     
2015      7         7         8.24      28800     
2015      7         22        6.99      13100     
2015      8         12        5.53      16500     
2015      10        14        6.39      5290      
2015      11        19        7.2       10800     
2016      2         17        8.02      7840      
2016      3         9         9.82      16000     
2016      3         24        9.97      18000     
2016      4         6         11.6      20500     
2016      4         19        9.61      12100     
2016      5         11        11.7      20600     
2016      5         24        8.91      10100     
2016      6         8         13.5      16700     
2016      6         22        11.6      23800     
2016      7         13        7.51      11200     
2016      7         27        7.39      19400     
2016      8         10        6.57      9120      
2016      9         30        4.02      76000     
2016      10        19        6.09      17000     
2016      12        6         7.13      10300     
2017      2         15        6.65      8790      
2017      3         8         8.96      18200     
2017      3         22        8.24      12900     
2017      4         12        9.2       24100     
2017      4         26        9.57      22300     
2017      5         17        9.38      15400     
2017      6         1         11.1      21600     
2017      6         14        8.4       9330      
2017      6         28        8.52      9840      
2017      7         12        8.06      9640      
2017      7         26        5.18      9510      
2017      8         16        2.55      3150      
2017      10        26        5.59      5770      
2017      12        5         5.19      3100      
2018      2         21        8.21      22100     
2018      3         5         4.99      13600     
2018      3         21        5.53      7920      
2018      4         12        7.64      8980      
2018      4         25        9.26      19400     
2018      5         9         7.71      20900     
2018      5         23        8.38      18000     
2018      6         6         7.02      8650      
2018      6         20        8.81      22500     
2018      7         11        8.87      20300     
2018      7         25        6.33      10300     
2018      8         8         3.69      6130      
2018      9         10        4.38      57800     
2018      10        24        5.6       32500     
2018      12        6         6.48      17100     
