Year      Month     Day       Conc_mg/l Q_cfs          
2008      1         8         1.71      5820      
2008      1         14        1.62      16800     
2008      2         5         2.03      18300     
2008      2         12        1.7       13300     
2008      3         4         1.61      8340      
2008      3         7         3.73      71700     
2008      4         2         1.52      7830      
2008      4         22        2.98      71800     
2008      5         6         1.57      18800     
2008      5         13        2.46      128000    
2008      5         15        1.66      61500     
2008      6         4         1.52      13400     
2008      6         10        1.44      9850      
2008      7         1         1.31      3930      
2008      8         4         0.995     2180      
2008      9         4         1.05      2320      
2008      9         8         1.18      7580      
2008      10        1         1.8       7020      
2008      11        4         1.1       2030      
2008      12        3         1.13      3790      
2008      12        15        1.87      22200     
2009      1         12        1.6       17500     
2009      3         3         3.36      4810      
2009      4         1         1.44      14300     
2009      4         22        2.32      36800     
2009      5         5         1.61      50800     
2009      5         6         2.94      117000    
2009      5         14        1.62      17900     
2009      6         3         1.59      10200     
2009      6         15        1.63      11300     
2009      6         25        1.83      10500     
2009      7         1         1.27      5140      
2009      7         15        0.877     2590      
2009      8         11        1.26      2350      
2009      9         2         1.35      1960      
2009      10        6         0.858     1690      
2009      11        3         1.78      6900      
2010      1         27        3.7       147000    
2010      3         4         1.92      24100     
2010      4         6         1.6       17500     
2010      5         4         1.41      7880      
2010      5         11        1.38      6180      
2010      5         25        2.13      24500     
2010      6         1         1.44      10400     
2010      6         8         1.37      6730      
2010      6         22        1.17      3060      
2010      7         8         0.678     1330      
2010      7         15        0.946     2790      
2010      7         29        0.826     1390      
2010      8         3         0.673     1000      
2010      8         10        0.507     1080      
2010      8         24        0.664     1260      
2010      9         2         0.403     1020      
2010      10        1         1.16      13100     
2010      10        7         1.65      4930      
2010      11        2         0.922     2040      
2010      12        1         1.43      3850      
2010      12        3         2.55      47900     
2011      1         6         2.06      2460      
2011      2         3         1.78      4660      
2011      3         1         2.14      23600     
2011      3         9         2.51      49700     
2011      3         14        2.31      56300     
2011      4         6         1.56      11700     
2011      4         18        2.64      162000    
2011      5         3         1.61      30800     
2011      5         12        1.59      12300     
2011      5         19        1.77      134000    
2011      6         2         1.55      13300     
2011      6         9         1.32      6520      
2011      7         7         1.32      3240      
2011      8         2         1.01      1430      
2011      9         7         1.17      8000      
2011      9         9         2.54      73500     
2011      10        4         2.17      16200     
2011      11        2         1.58      13400     
2011      12        1         1.96      21500     
2011      12        9         2.11      80800     
2012      1         11        1.94      8730      
2012      2         1         1.76      15500     
2012      3         1         1.73      17800     
2012      3         3         2.13      55900     
2012      3         6         1.55      34500     
2012      4         3         1.33      10400     
2012      5         1         1.34      6290      
2012      5         10        1.19      7710      
2012      5         24        1.78      14000     
2012      6         5         1.85      10400     
2012      6         14        1.45      5570      
2012      6         19        1.31      3720      
2012      7         9         0.874     1950      
2012      7         17        1.07      1770      
2012      7         23        1.43      4920      
2012      8         7         0.84      2620      
2012      8         14        0.831     3650      
2012      8         21        0.951     4250      
2012      9         11        1.01      2680      
2012      9         20        1.52      13100     
2012      10        18        1.18      2430      
2012      10        31        2.42      134000    
2012      11        1         2.67      76800     
2012      11        2         2.55      35100     
2012      12        4         1.79      3690      
2013      1         8         1.76      7880      
2013      1         16        1.66      23300     
2013      1         18        2.17      47500     
2013      2         1         2.51      91400     
2013      2         5         2.01      27800     
2013      2         19        1.93      9590      
2013      2         28        1.87      15800     
2013      3         5         1.59      12200     
2013      3         14        1.86      43600     
2013      3         19        1.51      19600     
2013      4         4         1.2       16500     
2013      4         16        1.26      18800     
2013      4         20        1.38      16400     
2013      5         2         1.14      8670      
2013      5         9         1.88      51400     
2013      5         14        1.31      30700     
2013      6         4         1.05      6970      
2013      6         8         1.24      9130      
2013      6         20        1.42      11400     
2013      7         11        1.08      5160      
2013      7         23        1.47      4580      
2013      8         6         1.1       2770      
2013      9         10        0.732     2320      
2013      11        14        1.06      2240      
2013      11        27        1.32      7430      
2013      12        3         1.49      6080      
2013      12        9         2.56      39200     
2014      1         13        2.53      19100     
2014      2         6         3.05      41700     
2014      2         12        1.85      17500     
2014      2         24        2.26      66500     
2014      2         26        2.08      40500     
2014      3         12        1.88      18900     
2014      3         26        1.37      16000     
2014      3         31        2.61      44000     
2014      4         3         2.16      28500     
2014      4         9         1.67      17600     
2014      4         23        1.53      12400     
2014      5         1         2.93      83900     
2014      5         2         2.08      66900     
2014      5         7         1.57      20200     
2014      5         16        2.58      71100     
2014      5         17        4.52      144000    
2014      5         19        2.1       63000     
2014      6         5         1.69      9200      
2014      6         12        2.28      29100     
2014      6         17        2.14      14600     
2014      7         10        1.56      5020      
2014      7         21        1.32      3500      
2014      8         6         1.43      3570      
2014      9         9         1.22      2430      
2014      10        1         1.1       1850      
