Year    Month   Day     Conc_mg/l Q_cfs     
2008      2         28        0.19      225       
2008      4         28        0.153     695       
2008      5         19        0.0853    649       
2008      6         16        0.107     313       
2008      7         1         0.1       243       
2008      8         13        0.308     221       
2008      8         27        0.0819    2040      
2008      9         10        0.374     1120      
2008      9         24        0.0475    886       
2008      10        29        0.0875    3810      
2008      11        13        0.222     741       
2008      12        3         0.217     318       
2009      2         25        0.179     295       
2009      4         8         0.16      203       
2009      6         17        0.101     214       
2009      7         1         0.181     427       
2009      7         13        0.16      144       
2009      8         11        0.193     78        
2009      8         31        0.168     367       
2009      9         15        0.188     822       
2009      9         30        0.238     656       
2009      10        28        0.262     265       
2009      11        17        0.271     329       
2009      12        16        0.305     490       
2010      2         2         0.36      402       
2010      4         29        0.308     406       
2010      6         23        0.199     198       
2010      8         23        0.191     5370      
2010      8         31        0.272     2360      
2010      9         9         0.138     4340      
2010      9         15        0.142     6430      
2010      9         21        0.144     6390      
2010      9         28        0.176     6220      
2010      11        30        0.167     1460      
2010      12        30        0.142     911       
2011      1         20        0.165     1650      
2011      2         23        0.1       1670      
2011      4         27        0.13      628       
2011      6         21        0.136     238       
2011      7         12        0.204     1310      
2011      7         26        0.119     213       
2011      8         9         0.01      381       
2011      8         24        0.108     203       
2011      9         7         0.11      225       
2011      9         20        0.136     297       
2011      10        12        0.142     558       
2011      11        15        0.143     241       
2011      12        20        0.167     431       
2012      2         16        0.189     533       
2012      4         23        0.15      137       
2012      6         11        0.104     150       
2012      7         17        0.141     299       
2012      7         30        0.132     174       
2012      8         6         0.149     57        
2012      8         21        0.0857    142       
2012      9         5         0.153     335       
2012      9         17        0.159     463       
2012      10        16        0.133     338       
2012      11        13        0.14      321       
2012      12        18        0.189     283       
2013      2         12        0.182     260       
2013      4         23        0.142     110       
2013      6         13        0.157     127       
2013      7         9         0.159     195       
2013      7         23        0.147     335       
2013      8         6         0.146     129       
2013      8         20        0.12      170       
2013      9         4         0.124     214       
2013      9         17        0.169     607       
2013      10        29        0.168     159       
2013      11        13        0.171     336       
2013      12        10        0.258     329       
2014      2         4         0.159     200       
2014      4         11        0.198     32        
2014      6         4         0.203     156       
2014      7         8         0.163     49        
2014      7         22        0.137     121       
2014      8         5         0.169     34        
2014      8         19        0.125     360       
2014      9         3         0.121     420       
2014      9         23        0.175     381       
2014      10        21        0.16      319       
2014      11        18        0.19      237       
2014      12        16        0.2       313       
2015      2         19        0.2       87        
2015      4         15        0.22      291       
2015      6         9         0.27      3710      
2015      7         8         0.26      2210      
2015      7         22        0.15      288       
2015      8         19        0.12      107       
2015      9         10        0.086     133       
2015      9         23        0.099     276       
2015      10        21        0.12      288       
2015      11        18        0.12      267       
2015      12        1         0.14      243       
2016      2         17        0.18      272       
2016      4         20        0.14      547       
2016      6         15        0.14      413       
2016      7         7         0.11      259       
2016      7         20        0.12      232       
2016      8         2         0.11      274       
2016      8         18        0.11      130       
2016      9         8         0.1       181       
2016      9         22        0.095     158       
2016      10        12        0.096     107       
2016      11        8         0.12      135       
2016      12        6         0.11      234       
2017      2         7         0.12      297       
2017      4         4         0.15      35        
2017      6         7         0.092     323       
2017      7         11        0.08      319       
2017      7         25        0.086     158       
2017      8         8         0.098     228       
2017      8         22        0.076     147       
2017      9         6         0.089     173       
2017      9         19        0.069     105       
2017      10        18        0.12      260       
2017      11        14        0.11      215       
2017      12        12        0.12      243       
2018      2         6         0.13      177       
2018      4         10        0.099     395       
2018      6         12        0.07      190       
2018      7         10        0.14      587       
2018      7         25        0.076     49        
2018      8         8         0.098     303       
2018      8         21        0.087     258       
2018      9         7         0.16      246       
2018      9         18        0.16      891       
2018      10        16        0.092     187       
2018      11        14        0.064     56        
2018      12        11        0.13      105       
