Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         0.08      124000    
2008      1         23        0.111     96200     
2008      2         6         0.371     373000    
2008      2         20        0.24      221000    
2008      3         5         0.11      394000    
2008      3         24        0.321     552000    
2008      4         15        0.196     208000    
2008      5         14        0.225     270000    
2008      6         24        0.074     36400     
2008      8         12        0.054     8200      
2008      11        3         0.0623    15300     
2008      12        8         0.0617    38600     
2009      1         12        0.361     301000    
2009      1         26        0.0531    49400     
2009      2         9         0.152     187000    
2009      2         23        0.189     168000    
2009      3         9         0.0802    93200     
2009      3         23        0.0731    114000    
2009      4         6         0.162     222000    
2009      5         11        0.455     458000    
2009      6         1         0.0717    136000    
2009      8         24        0.0781    64000     
2009      11        3         0.241     155000    
2009      12        7         0.116     129000    
2010      1         4         0.133     132000    
2010      1         25        0.31      278000    
2010      2         8         0.327     266000    
2010      2         22        0.0838    121000    
2010      3         15        0.308     359000    
2010      3         29        0.232     278000    
2010      4         19        0.0558    64100     
2010      5         24        0.26      244000    
2010      6         14        0.24      213000    
2010      8         2         0.0565    23700     
2010      10        18        0.0599    15200     
2010      12        6         0.868     292000    
2011      1         3         0.126     140000    
2011      1         18        0.0619    49400     
2011      2         7         0.33      174000    
2011      2         22        0.151     180000    
2011      3         7         0.4       528000    
2011      3         28        0.145     281000    
2011      5         10        0.177     421000    
2011      5         23        0.162     302000    
2011      6         13        0.0582    93000     
2011      8         18        0.0716    51300     
2011      10        17        0.108     124000    
2011      12        5         0.244     410000    
2012      1         9         0.0909    125000    
2012      1         23        0.227     277000    
2012      2         6         0.196     216000    
2012      2         21        0.0722    153000    
2012      3         5         0.388     391000    
2012      3         19        0.222     238000    
2012      4         16        0.0422    73300     
2012      5         21        0.0819    92700     
2012      6         4         0.0574    69500     
2012      8         22        0.0428    14200     
2012      10        30        0.0789    25600     
2012      12        11        0.414     247000    
2013      1         28        0.0868    94700     
2013      2         12        0.174     174000    
2013      2         27        0.0531    112000    
2013      3         12        0.178     247000    
2013      3         27        0.227     200000    
2013      4         9         0.0589    116000    
2013      4         24        0.278     194000    
2013      5         7         0.158     197000    
2013      5         21        0.0683    93800     
2013      6         4         0.0369    75800     
2013      8         13        0.124     139000    
2013      10        21        0.13      41400     
2013      12        10        1.06      380000    
2014      1         14        0.266     274000    
2014      1         28        0.0694    62500     
2014      2         10        0.4       383000    
2014      2         25        0.382     462000    
2014      3         5         0.241     174000    
2014      3         25        0.11      144000    
2014      4         8         0.798     472000    
2014      4         30        0.159     240000    
2014      5         12        0.128     172000    
2014      5         29        0.107     131000    
2014      6         17        0.0959    135000    
2014      8         14        0.0743    91500     
2014      10        15        0.0961    119000    
2014      12        16        0.275     102000    
2015      1         13        0.0787    82800     
2015      1         27        0.0606    104000    
2015      3         12        0.386     594000    
2015      4         7         0.926     486000    
2015      4         21        0.246     382000    
2015      5         5         0.0774    110000    
2015      5         29        0.0388    49800     
2015      6         9         0.0557    37000     
2015      7         7         0.33      233000    
2015      8         7         0.0725    41100     
2015      10        21        0.058     24100     
2015      12        8         0.185     130000    
2016      1         4         0.327     303000    
2016      1         21        0.0972    99000     
2016      2         4         0.391     365000    
2016      2         24        0.378     370000    
2016      3         9         0.164     182000    
2016      3         22        0.151     173000    
2016      4         5         0.128     118000    
2016      5         10        0.19      211000    
2016      5         25        0.165     198000    
2016      8         9         0.107     39300     
2016      9         7         0.0854    3820      
2016      9         8         0.0741    19200     
2016      10        25        0.114     117000    
2016      12        6         0.0853    70100     
2017      1         4         0.239     160000    
2017      1         26        0.278     283000    
2017      2         2         0.182     160000    
2017      2         22        0.0969    108000    
2017      3         9         0.399     213000    
2017      3         29        0.134     154000    
2017      4         13        0.178     255000    
2017      4         28        0.146     220000    
2017      5         16        0.184     261000    
2017      5         31        0.248     211000    
2017      6         29        0.25      178000    
2017      8         15        0.068     48200     
2017      10        17        0.13      27900     
2018      2         26        0.499     761000    
2018      3         14        0.152     178000    
2018      3         28        0.207     248000    
2018      4         10        0.382     523000    
2018      4         24        0.204     336000    
2018      5         8         0.115     176000    
2018      6         12        0.0761    93800     
2018      8         7         0.0974    88200     
2018      9         5         0.0961    40000     
2018      10        25        0.0684    79200     
2018      12        6         0.259     322000    
